oci,citing,cited,creation,timespan,journal_sc,author_sc
061502560902-061802978680,10.1145/2647648.2647652,10.1109/icst.2012.190,2014-09-16,P2Y5M,no,yes
061801631270-061802978680,10.1007/978-3-030-89735-2_23,10.1109/icst.2012.190,2021-10-22,P9Y6M,no,no
061902960746-061802978680,10.1109/ser-ip52554.2021.00015,10.1109/icst.2012.190,2021-06,P9Y2M,no,no
062303556220-061802978680,10.1145/3540250.3560883,10.1109/icst.2012.190,2022-11-07,P10Y7M,no,no
061202921592-061802978680,10.1109/cesi.2013.6618469,10.1109/icst.2012.190,2013-05,P1Y1M,no,no
062301003490-061802978680,10.1007/s11219-016-9319-5,10.1109/icst.2012.190,2016-06-01,P4Y2M,no,no
06602716232-061802978680,10.1145/3195546.3195548,10.1109/icst.2012.190,2018-05-29,P6Y1M,no,no
06403315015-061802978680,10.1145/2593690.2593696,10.1109/icst.2012.190,2014,P1Y,no,no
062502435000-061802978680,10.1007/978-3-319-31545-4_12,10.1109/icst.2012.190,2016,P3Y,no,no
06601357278-061802978680,10.1002/smr.2372,10.1109/icst.2012.190,2021-07-29,P9Y3M,no,yes
061402535561-061802978680,10.1145/2647648.2647651,10.1109/icst.2012.190,2014-09-16,P2Y5M,no,yes
061603455732-061802978680,10.1007/s10639-022-11276-1,10.1109/icst.2012.190,2022-08-15,P10Y4M,no,no
061102938567-061802978680,10.1109/cesi.2013.6618476,10.1109/icst.2012.190,2013-05,P1Y1M,no,no
06601357508-061802978680,10.1002/smr.1954,10.1109/icst.2012.190,2018-05-16,P6Y1M,no,no
