Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Transfer of Technical Skills and Non-Technical Skills in the Workplace. An Analysis From the Perspective of Mental Processes of Learning","The main aim of this paper is to analyze the transfer of technical and non-technical skills from the perspective of the mental trilogy of cognition, conation, and affectivity to propose a comprehensive explanatory model. Research on training shows that training is relevant if trainees can transfer what they have learned in the workplace; however, transfer of technical skills differs from the transfer of non-technical skills. The main argument of this research is that the differentiation during the transfer of technical and non-technical skills is due to the mental processes that facilitate learning. From the point of view of practical implications, this work contributes significantly to the understanding of the differentiation between the transfer of hard and soft skills; consequently, companies or organizations can provide specific support to employees who need reinforcement or help for the transfer of skills, considering the singularity of each of them as technical and non-technical skills.","Richard Mababu Mukiur; José Luis Gómez Lega","2025","Human Resource Development Review","10.1177/15344843251403110","-","Include"
"Role of Acceptance Criteria and Developer Expertise in Enhancing the Quality of Robustness Diagrams in Agile Software Development","In agile software development, user stories are a common tool for capturing functional requirements, valued for their simplicity and user-centric approach. Nevertheless, their inherent informality can introduce ambiguity, especially when acceptance criteria are lacking or poorly defined. Such ambiguity may hinder early design activities, including the development of UML robustness diagrams. This study investigates the impact of acceptance criteria and developer experience on the accuracy and efficiency of robustness diagram construction.A controlled experiment was conducted with thirty participants, divided into newbie and advanced developers, who were tasked with creating robustness diagrams from user stories both with and without acceptance criteria. Performance was assessed based on task duration and diagram completeness. Statistical analysis (Mann-Whitney U test) revealed that acceptance criteria significantly reduce errors and improve completion times, particularly among newbie developers. Experienced developers consistently produced higher-quality diagrams more efficiently, underscoring the role of expertise as a moderating factor.The findings suggest that well-specified acceptance criteria mitigate ambiguity, facilitating more accurate requirements interpretation and improving early design outcomes. Additionally, the results highlight the value of structured requirement practices in agile methodologies, especially in teams with varying levels of experience. This research advances the understanding of how requirement clarity and developer expertise collectively influence software modeling, providing actionable recommendations for enhancing agile design processes.","Francisco Antonio Mejía Domínguez; Manuel A. Quintana; Ramón R. Palacio; Gilberto Borrego; Samuel Gonz´alez-L´opez","2025","IEEE Latin America Transactions","10.1109/tla.2025.11231192","-","Include"
"ADKT: a support tool for reducing architectural knowledge evaporation in software projects","Defining software architecture is a complex task that demands technical expertise and business knowledge. Design decisions drive architectural structures throughout development and maintenance. However, this knowledge often dissipates over time, a phenomenon known as architectural knowledge evaporation, leading to increased costs and maintenance difficulties. This paper presents ADKT, a support tool designed to mitigate architectural knowledge evaporation by enabling the documentation and traceability of design decisions. ADKT was evaluated through a case study involving software engineers of different expertise levels. The evaluation assessed the tool’s ease of use, perceived usefulness, and effectiveness in reducing knowledge evaporation. Results indicate that participants found ADKT easy to use and valuable for preserving architectural knowledge. Nonetheless, challenges remain regarding engineers’ commitment to consistently documenting decisions and the need for a designated person to oversee this process. These findings highlight the importance of developing advanced tools and fostering a culture of documentation within development teams.","Santiago Hyun-Dorado; Julio Ariel Hurtado-Alegría; E. Moguel; José Garcia-Alonso","2025","DYNA","10.15446/dyna.v92n239.119675","-","Include"
"Challenges and opportunities in the Kampus Mengajar Program for basic literacy in South Aceh Junior High Schools","The Merdeka Belajar Kampus Merdeka (MBKM) policy is a strategic initiative by the Indonesian government to strengthen the synergy between higher education and primary-secondary education. One of its flagship programs is *Kampus Mengajar* (Teaching Campus), which aims to improve students’ basic literacy, particularly in underdeveloped and remote schools. However, preliminary observations suggest that the implementation of this program in South Aceh still faces significant challenges. Key issues include inadequate planning in teaching and learning, insufficient preparation of human resources, and weak coordination among universities, schools, and local education authorities. Moreover, participating students often lack the required competencies, their activities are not fully aligned with school needs, and teachers are not yet equipped with the skills to integrate literacy into classroom instruction.
This study seeks to explore the challenges and opportunities for enhancing basic literacy in junior high schools through the Teaching campus program. A qualitative descriptive approach was employed, using in-depth interviews, focus group discussions (FGDs) with multiple stakeholders, and document analysis. The findings reveal that although the program holds considerable potential as an alternative strategy for improving basic literacy in secondary education, its implementation in South Aceh has not been optimal. Factors contributing to this include the limited experience and readiness of student-teachers, lack of intensive supervision by university mentors, and insufficient training for school teachers in applying literacy-based learning. Strengthening planning, human resource development, and program alignment between universities, schools, and local governments is essential to achieving the program’s intended outcomes.","Bahrun; Mutmainnah","2025","International Journal of Advances in Educational Research","10.62941/ijaer.v1i4.144","-","Include"
"Hard Skill of Human Resource Enhances Innovation Individual Capability at Coffee Small Medium Entreprises","The purpose is to analyze the effect of hard skills on innovation individual capabilities at coffee small and medium enterprises. Data collection was carried out by census sampling of 45 respondents at 17 coffee SMEs. The results of the questionnaire were returned and valid. Simple regression linear analysis used for data processing. The research results show that individual innovation capability among coffee SMEs in is influenced by hard skills. The ability to use software and the internet, utilize tools and equipment, as well as conceptual thinking, can trigger the implementation of innovations and problem-solving in coffee processing for coffee SMEs. Thus, the actor of coffee SMEs can enhance their hard skills, as these skills play a crucial role in supporting their success, innovation, and sustainable growth in this competitive and rapidly evolving industry.","H. Fauziah; T. Hermina; A. Basit; Muslim Alkautsar; W. Wufron","2025","Jurnal Wacana Ekonomi","10.52434/jwe.v24i2.42357","-","Include"
"Knowledge Management Using Cloud Computing in Higher Educational Institutions","""Knowledge"" is a vital resource for organisation that should be gathered, safeguarded, & disseminated. It should be used to inform decisions. ""Cloud-based Computing"" and “Knowledge Management” solutions help organizations manage their information and boost productivity by fusing traditional organizational methods with cutting-edge technology. This study specifically looks at cloud-based software services to explore how organizations use ubiquitous computing to adopt innovative software development and delivery approaches. The study’s findings show that factors like complexity, compatibility, relative advantage, security, privacy, and trust, as well as reputation and KM practices (knowledge accessibility, storage, application, and sharing), have a significant and positive impact on whether cloud-based software services are adopted. “Coordination and communication” problems are the cornerstone of winning remote “development and innovation” practices. The conclusion also lend credence to the idea that the effects of cloud services and knowledge management practices can be attenuated by spatial (cultural) diversity.","R. Sharma; Girish Lakhera","2024","2024 4th International Conference on Advancement in Electronics & Communication Engineering (AECE)","10.1109/aece62803.2024.10911186","-","Include"
"Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.","Daniela dos Santos Alves; Deivid José Smek; É. Souza; K. Felizardo; N. L. Vijaykumar","2024","Brazilian Symposium on Software Quality","10.1145/3701625.3701652","1","Include"
"The effects of knowledge sharing, self-efficacy and performance: does initiation of structure leadership matter?","
Purpose
This study aims to examine the mediating effect of self-efficacy on the knowledge sharing and management accountant performance relationship. In addition, it also investigates the moderating effect of initiating structure leadership (IS-leadership style) on the relationship between self-efficacy and management accountant performance. In the literature, there is a reciprocal relationship between environmental, cognitive and personal factors, making self-efficacy unable to be maintained without environmental support, which in this research is captured through the construct of leadership style.


Design/methodology/approach
This study uses a quantitative methodology with a self-administration survey. This research involved 100 management accountants in Indonesia. Regression Macro Process carried out data analysis.


Findings
The findings of this study indicate that knowledge sharing in cognitive psychology encourages increased self-efficacy, which has an impact on improving management accountant performance. Self-efficacy mediates the effect of knowledge sharing on management accountant performance. The existence of induced environmental factors in the form of IS-leadership style has the potential to weaken the impact of self-efficacy on management accountant performance.


Practical implications
This study provides recommendations to companies, especially the human resources division, to consider individual psychological factors in the recruitment process. Thus, companies can carry out preventive control to manage management accountant performance behavior.


Originality/value
This study provides new empirical evidence for reducing the overlap between knowledge sharing and performance by applying personal, organizational and environmental factors simultaneously. This study also enriches knowledge-sharing literature on performance from a social cognitive perspective.
","Frida Fanani Rohma; Farah Ramadhani Khoirunnisa","2024","Journal of Asia Business Studies","10.1108/jabs-07-2023-0274","13","Include"
"Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension","Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current state, assessing practices, and understanding applied methodologies in organizations is essential to succeed in KM. Problem: Given the dynamism witnessed in KM, a Systematic Literature Review (SLR) is necessary, and we found an outdated SLR on this topic until 2018. Objective: We extended the SLR to identify the current state-of-the-art KM within organizations and research niches to accurately depict the current management practices. Method: We extended the 2018 SLR, incorporating two additional databases to update this review and allow us to select new studies produced after the original review. IS Theory: This work was conceived under the auspices of the theory of organizational knowledge creation, aiming to understand the influence of KM on the development of information systems (IS) today. Summary of Results: We evidenced 29 studies on KM Diagnosis in software development organizations. Conclusion: Results show significant changes in applying learning to organizational culture through KM. Internal techniques, not tools or literature models, are now prevalent in km development. Agile methodology is a central focus in KM studies. The same holds for software architectures, with minimal application of KM in their selection and development. Contributions and Impact in the IS area: We believe in identifying KM strategies that facilitate the formation of new teams, transmitting knowledge and experiences, developing new products, and maintaining existing ISs.","Wesley Souza; Williamson Silva; G. Guedes","2024","Brazilian Symposium on Information Systems","10.1145/3658271.3658273","-","Include"
"Students’ Perceptions of the Skills in the Labor Market in the 4th Industrial Revolution","The Fourth Industrial Revolution will have a crucial impact on the jobs, the types of skills required to cover them, and the role of Higher Education in obtaining these skills. Among the challenges universities are called upon to face is providing students with the necessary employability skills for their future professional careers. This research aims to investigate the perceptions of students at the University of the Aegean and the University of Patras on the employability skills considered necessary in the future labor market. The research was conducted using a questionnaire answered by 392 students from various faculties of the University of the Aegean and the University of Patras. The results show that participants consider hard skills more important (such as Equipment Selection and troubleshooting) than programming and mathematics. They also consider soft skills (such as active listening and critical thinking) to be more important than negotiation, social perceptiveness, and coordination. In terms of their degree and the skills it offers, the majority consider that they have chosen it for a professional career and that it provides them with the necessary skills for the labor market. However, for the next 10–15 years, they do not consider that their degree will be sufficient regarding the skills requirements for their employability.","Constantine Panayiotis Zogopoulos; Nikolaos Raptis","2024","European Journal of Humanities and Social Sciences","10.24018/ejsocial.2024.4.2.277","3","Include"
