"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IM35G535","journalArticle","2020","Machado, Luís Miguel Oliveira; Almeida, Maurício Barcellos de; Souza, Renato Rocha","What Researchers are Currently Saying about Ontologies: A Review of Recent Web of Science Articles","KNOWLEDGE ORGANIZATION","","","","https://api.semanticscholar.org/CorpusID:226682715","","2020","2026-01-23 21:51:29","2026-01-23 21:51:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L9VUWQHL","journalArticle","2023","Hyun, Santiago; Hurtado, Julio Ariel","Traceability of Architectural Design Decisions and Software Artifacts: A Systematic Mapping Study","Foundations of Computing and Decision Sciences","","","","https://api.semanticscholar.org/CorpusID:266375497","","2023","2026-01-23 21:51:29","2026-01-23 21:51:29","","401 - 423","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37R8H27Z","conferencePaper","2019","Al-Bayati, Z. J. F.","Coupling ontology with reference architectures to facilitate the instantiation process of software system architectures","","","","","https://api.semanticscholar.org/CorpusID:198349604","","2019","2026-01-23 21:51:29","2026-01-23 21:51:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R65YIDBK","journalArticle","2024","Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Kátia Romero; Vijaykumar, Nandamudi Lankalapalli","Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Proceedings of the XXIII Brazilian Symposium on Software Quality","","","","https://api.semanticscholar.org/CorpusID:274967657","","2024","2026-01-23 21:51:29","2026-01-23 21:51:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HVRMEL3","journalArticle","2024","R, Chithambaramani; K, Jayashree; V, Krishna B.; Mohan, Prakash","An Efficient Ontology‐Based Semantic Interoperability Using MSGO‐RNN in Cloud Computing","Journal of Optimization","","","","https://api.semanticscholar.org/CorpusID:272137468","","2024","2026-01-23 21:51:29","2026-01-23 21:51:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5A9J7SIW","journalArticle","2019","Yang, Lan; Cormican, Kathryn; Yu, Ming","Ontology-based systems engineering: A state-of-the-art review","Comput. Ind.","","","","https://api.semanticscholar.org/CorpusID:203036774","","2019","2026-01-23 21:51:29","2026-01-23 21:51:29","","148-171","","","111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GPW72KUH","journalArticle","2023","Rappl, Maximilian; Bergmann, Max Luca; Fay, A.","Formalization of a Product-Process-Resource Model within Aircraft Component Maintenance, Repair, and Overhaul","2023 IEEE 21st International Conference on Industrial Informatics (INDIN)","","","","https://api.semanticscholar.org/CorpusID:261083337","","2023","2026-01-23 21:51:29","2026-01-23 21:51:29","","1-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HK864H25","journalArticle","2022","Dieu, Musengamana Jean de; Liang, Peng; Shahin, Mojtaba; Yang, Chen; Li, Zengyang","Mining architectural information: A systematic mapping study","Empirical Software Engineering","","","","https://api.semanticscholar.org/CorpusID:255125498","","2022","2026-01-23 21:51:29","2026-01-23 21:51:29","","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTDTXGR7","journalArticle","2025","Yan, Dengying; Zheng, Qiguang; Chang, Kai; Hua, Rui; Liu, Yiming; Xue, Jingyan; Shu, Zixin; Hu, Yunhui; Yang, Pengcheng; Wei, Yu; Lang, Jidong; Yu, Haibin; Li, Xiaodong; Zhang, Runshun; Wang, Wenjia; Liu, Baoyan; Zhou, Xuezhong","Artificial intelligence in traditional Chinese medicine: from systems biological mechanism discovery, real-world clinical evidence inference to personalized clinical decision support.","Chinese journal of natural medicines","","","","https://api.semanticscholar.org/CorpusID:283108255","","2025","2026-01-23 21:51:29","2026-01-23 21:51:29","","1310-1328","","","23 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9M3785YG","journalArticle","2022","Osman, Mohamad Amin; Noah, Shahrul Azman Mohd; Saad, Saidah","Ontology-Based Knowledge Management Tools for Knowledge Sharing in Organization—A Review","IEEE Access","","","","https://api.semanticscholar.org/CorpusID:247900245","","2022","2026-01-23 21:51:29","2026-01-23 21:51:29","","43267-43283","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
