"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7HRAIK9N","journalArticle","2018","Wnuk, Krzysztof; Garrepalli, Thrinay","Knowledge Management in Software Testing: A Systematic Snowball Literature Review","e Informatica Softw. Eng. J.","","","","https://api.semanticscholar.org/CorpusID:52275199","","2018","2026-05-02 14:40:03","2026-05-02 14:40:03","","51-78","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ9NTTDX","journalArticle","2015","Souza, Érica Ferreira de; Falbo, Ricardo de Almeida; Vijaykumar, Nandamudi Lankalapalli","Knowledge management initiatives in software testing: A mapping study","Inf. Softw. Technol.","","","","https://api.semanticscholar.org/CorpusID:13058621","","2015","2026-05-02 14:40:03","2026-05-02 14:40:03","","378-391","","","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI9N2ECV","journalArticle","2013","Souza, Érica Ferreira de; Falbo, Ricardo de Almeida; Vijaykumar, Nandamudi Lankalapalli","Using Ontology Patterns for Building a Reference Software Testing Ontology","2013 17th IEEE International Enterprise Distributed Object Computing Conference Workshops","","","","https://api.semanticscholar.org/CorpusID:17843248","","2013","2026-05-02 14:40:03","2026-05-02 14:40:03","","21-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VQ52SH2","journalArticle","2015","Souza, Érica Ferreira de; Falbo, Ricardo de Almeida; Vijaykumar, Nandamudi Lankalapalli","Using the Findings of a Mapping Study to Conduct a Research Project: A Case in Knowledge Management in Software Testing","2015 41st Euromicro Conference on Software Engineering and Advanced Applications","","","","https://api.semanticscholar.org/CorpusID:12068871","","2015","2026-05-02 14:40:03","2026-05-02 14:40:03","","208-215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IS7TFCR7","journalArticle","2015","Santos, Ismayle de Sousa; Andrade, Rossana; Neto, Pedro Santos","Templates for textual use cases of software product lines: results from a systematic mapping study and a controlled experiment","Journal of Software Engineering Research and Development","","","","https://api.semanticscholar.org/CorpusID:881248","","2015","2026-05-02 14:40:03","2026-05-02 14:40:03","","1-29","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PH2ZDAN2","journalArticle","2019","Idrus, Hariaty Mohd; Ali, Nor’ashikin","Tacit Knowledge in Software Testing: A Systematic Review","2019 6th International Conference on Research and Innovation in Information Systems (ICRIIS)","","","","https://api.semanticscholar.org/CorpusID:216106128","","2019","2026-05-02 14:40:03","2026-05-02 14:40:03","","1-6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXBYMM2M","journalArticle","2015","Vasanthapriyan, Shanmuganathan; Tian, Jing; Xiang, Jianwen","A Survey on Knowledge Management in Software Engineering","2015 IEEE International Conference on Software Quality, Reliability and Security - Companion","","","","https://api.semanticscholar.org/CorpusID:16192231","","2015","2026-05-02 14:40:04","2026-05-02 14:40:04","","237-244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL2E48HD","conferencePaper","2021","Yit, Michelle; Jann, H.","Status of Knowledge Management In A Professional Services Firm To Address Turnaround Time and Quality of Service","","","","","https://api.semanticscholar.org/CorpusID:247415570","","2021","2026-05-02 14:40:04","2026-05-02 14:40:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASQ9JLNT","journalArticle","2014","Santos, Ismayle de Sousa; Andrade, Rossana; Neto, Pedro Santos","How to Describe SPL Variabilities in Textual Use Cases: A Systematic Mapping Study","2014 Eighth Brazilian Symposium on Software Components, Architectures and Reuse","","","","https://api.semanticscholar.org/CorpusID:17016749","","2014","2026-05-02 14:40:04","2026-05-02 14:40:04","","64-73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8SEU75A","conferencePaper","2020","Guizzardi, Giancarlo; Paulo, João; Almeida, Alexandre Cláudio de","Engineering Ontologies and Ontologies for Engineering","","","","","https://api.semanticscholar.org/CorpusID:220301897","","2020","2026-05-02 14:40:04","2026-05-02 14:40:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
