id,abstract,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4220698983,"A good search strategy is essential for a successful systematic literature study. Historically, database searches have been the norm, which was later complemented with snowball searches. Our conjecture is that we can perform even better searches if combining these two search approaches, referred to as a hybrid search strategy. Our main objective was to compare and evaluate a hybrid search strategy. Furthermore, we compared four alternative hybrid search strategies to assess whether we could identify more cost-efficient ways of searching for relevant primary studies. To compare and evaluate the hybrid search strategy, we replicated the search procedure in a systematic literature review (SLR) on industry–academia collaboration in software engineering. The SLR used a more “traditional” approach to searching for relevant articles for an SLR, while our replication was executed using a hybrid search strategy. In our evaluation, the hybrid search strategy was superior in identifying relevant primary studies. It identified 30% more primary studies and even more studies when focusing only on peer-reviewed articles. To embrace individual viewpoints when assessing research articles and minimise the risk of missing primary studies, we introduced two new concepts, wild cards and borderline articles, when performing systematic literature studies. The hybrid search strategy is a strong contender for being used when performing systematic literature studies. Furthermore, alternative hybrid search strategies may be viable if selected wisely in relation to the start set for snowballing. Finally, the two new concepts were judged as essential to cater for different individual judgements and to minimise the risk of excluding primary studies that ought to be included.",3350,3350,Claes Wohlin|Marcos Kalinowski|Katia Romero Felizardo|Emília Mendes,https://openalex.org/A5037810527|https://openalex.org/A5062526200|https://openalex.org/A5043877845|https://openalex.org/A5103878525,https://orcid.org/0000-0003-0460-5253|https://orcid.org/0000-0003-1445-3425|https://orcid.org/0000-0001-9080-4165|,SE|BR|BR|SE,Blekinge Institute of Technology|Pontifícia Universidade Católica do Rio de Janeiro|Universidade Tecnológica Federal do Paraná|Blekinge Institute of Technology,https://openalex.org/I52719799|https://openalex.org/I2699952|https://openalex.org/I1283613182|https://openalex.org/I52719799,True|False|False|False,cc-by,0.99982726,362,https://openalex.org/I52719799,Successful combination of database search and snowballing for identification of primary studies in systematic literature studies,https://doi.org/10.1016/j.infsof.2022.106908,Conselho Nacional de Desenvolvimento Científico e Tecnológico,99.5403,,False,en,True,hybrid,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Research,2022-03-28,2022,article
https://openalex.org/W2494902551,,3350,,Vahid Garousi|Kai Petersen|Barış Özkan,https://openalex.org/A5000712015|https://openalex.org/A5071394068|https://openalex.org/A5023204635,https://orcid.org/0000-0001-6590-7576|https://orcid.org/0000-0002-1532-8223|https://orcid.org/0000-0002-5489-6274,TR|SE|TR,Hacettepe University|Blekinge Institute of Technology|Atilim University,https://openalex.org/I66514158|https://openalex.org/I52719799|https://openalex.org/I45542416,True|False|False,other-oa,0.9980928,237,https://openalex.org/I66514158,Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,https://doi.org/10.1016/j.infsof.2016.07.006,,44.8859,,False,en,True,green,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2016-07-30,2016,article
https://openalex.org/W4281607043,"The study has been undertaken to integrate two different aspects of the triple helix model: universities and the industry. Special attention has been paid to the prevailing difference between the two, hampering their working as a coherent unit. Integrating the existing knowledge in the study, we proposed the Academia-Industry Collaboration Plan (AICP) design model. The model comprises processes, methods or approaches, and tools. Processes serve as a road map to third parties for establishing collaboration between academia and the industry. It has all the essential process models and a series of steps that help minimize the organizational complexity of the collaboration process between academia and the industry. Methods or approaches serve the purpose of implementing those processes effectively. Finally, appropriate tools are selected to integrate possible collaboration improvements that lead to innovation.",2950,2950,Farah Ahmed|Muhammad Tahir|Syed Rizwan Ali|Rabia Noor Enam,https://openalex.org/A5009823534|https://openalex.org/A5004084876|https://openalex.org/A5014572442|https://openalex.org/A5066365468,https://orcid.org/0000-0001-7667-6080|https://orcid.org/0000-0003-3153-362X|https://orcid.org/0000-0001-9976-0082|,PK|PK|PK|PK,Sir Syed University of Engineering and Technology|Sir Syed University of Engineering and Technology|Bahria University|Sir Syed University of Engineering and Technology,https://openalex.org/I34478861|https://openalex.org/I34478861|https://openalex.org/I59225215|https://openalex.org/I34478861,False|False|True|False,cc-by,0.99872571,129,https://openalex.org/I59225215,Strengthening the Bridge Between Academic and the Industry Through the Academia-Industry Collaboration Plan Design Model,https://doi.org/10.3389/fpsyg.2022.875940,,34.4715,,False,en,True,gold,Frontiers in Psychology,https://openalex.org/P4310320527,Frontiers Media,https://openalex.org/S9692511,1664-1078,journal,University-Industry-Government Innovation Models,2022-06-06,2022,review
https://openalex.org/W1461307285,"There exists no generally accepted theory in software engineering, and at the same time a scientific discipline needs theories. Some laws, hypotheses and conjectures exist, but yet no generally accepted theory. Several researchers and initiatives emphasize the need for theory in the discipline. The objective of this paper is to formulate a theory of software engineering. The theory is generated from empirical observations of industry practice, including several case studies and many years of experience in working closely between academia and industry. The theory captures the balancing of three different intellectual capitals: human, social and organizational capitals, respectively. The theory is formulated using a method for building theories in software engineering. It results in a theory where the relationships between the three different intellectual capitals are explored and explained. The theory is illustrated based on an industrial case study, where it is shown how decisions made in industry practice are explainable with the formulated theory, and the consequences of the decisions are made explicit. Based on the positive results, it is concluded that the theory may have a good explanatory power, although more evaluations are needed.",3560,3560,Claes Wohlin|Darja Šmite|Nils Brede Moe,https://openalex.org/A5037810527|https://openalex.org/A5054083100|https://openalex.org/A5076436430,https://orcid.org/0000-0003-0460-5253|https://orcid.org/0000-0003-1744-3118|https://orcid.org/0000-0003-2669-0778,SE|SE|NO|SE,Blekinge Institute of Technology|Blekinge Institute of Technology|Blekinge Institute of Technology|SINTEF,https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I173888879,True|False|False,cc-by-nc-nd,0.97806592,63,https://openalex.org/I52719799,"A general theory of software engineering: Balancing human, social and organizational capitals",https://doi.org/10.1016/j.jss.2015.08.009,Norges Forskningsråd,11.5598,,False,en,True,hybrid,Journal of Systems and Software,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S37879656,0164-1212,journal,Innovation and Knowledge Management,2015-08-13,2015,article
https://openalex.org/W2941522337,"Research collaboration between industry and academia supports improvement and innovation in industry and helps ensure the industrial relevance of academic research. However, many researchers and practitioners in the community believe that the level of joint industry-academia collaboration (IAC) projects in Software Engineering (SE) research is relatively low, creating a barrier between research and practice. The goal of the empirical study reported in this paper is to explore and characterize the state of IAC with respect to industrial needs, developed solutions, impacts of the projects and also a set of challenges, patterns and anti-patterns identified by a recent Systematic Literature Review (SLR) study. To address the above goal, we conducted an opinion survey among researchers and practitioners with respect to their experience in IAC. Our dataset includes 101 data points from IAC projects conducted in 21 different countries. Our findings include: (1) the most popular topics of the IAC projects, in the dataset, are: software testing, quality, process, and project managements; (2) over 90% of IAC projects result in at least one publication; (3) almost 50% of IACs are initiated by industry, busting the myth that industry tends to avoid IACs; and (4) 61% of the IAC projects report having a positive impact on their industrial context, while 31% report no noticeable impacts or were “not sure”. To improve this situation, we present evidence-based recommendations to increase the success of IAC projects, such as the importance of testing pilot solutions before using them in industry. This study aims to contribute to the body of evidence in the area of IAC, and benefit researchers and practitioners. Using the data and evidence presented in this paper, they can conduct more successful IAC projects in SE by being aware of the challenges and how to overcome them, by applying best practices (patterns), and by preventing anti-patterns.",2290,2290,Vahid Garousi|Dietmar Pfahl|João M. Fernandes|Michael Felderer|Mika Mäntylä|David Shepherd|Andrea Arcuri|Ahmet Coşkunçay|Bedir Teki̇nerdoğan,https://openalex.org/A5000712015|https://openalex.org/A5022214666|https://openalex.org/A5044261645|https://openalex.org/A5055476405|https://openalex.org/A5078824435|https://openalex.org/A5063468623|https://openalex.org/A5052735480|https://openalex.org/A5005744603|https://openalex.org/A5002683918,https://orcid.org/0000-0001-6590-7576|https://orcid.org/0000-0003-2400-501X|https://orcid.org/0000-0003-1174-1966|https://orcid.org/0000-0003-3818-4442|https://orcid.org/0000-0002-2841-5879|https://orcid.org/0000-0003-2017-7842|https://orcid.org/0000-0003-0799-2930|https://orcid.org/0000-0002-7411-310X|https://orcid.org/0000-0002-8538-7261,NL|CA|EE|PT|AT|SE|FI|US|NO|TR|NL,Wageningen University & Research|University of Calgary|University of Tartu|University of Minho|Universität Innsbruck|Blekinge Institute of Technology|University of Oulu|AbbVie (United States)|Høyskolen Kristiania|Atatürk University|Wageningen University & Research,https://openalex.org/I913481162|https://openalex.org/I168635309|https://openalex.org/I56085075|https://openalex.org/I99682543|https://openalex.org/I190249584|https://openalex.org/I52719799|https://openalex.org/I98381234|https://openalex.org/I2948539688|https://openalex.org/I2800207870|https://openalex.org/I64134780|https://openalex.org/I913481162,True|False|False|False|False|False|False|False|False,cc-by,0.97707459,61,https://openalex.org/I913481162,Characterizing industry-academia collaborations in software engineering: evidence from 101 projects,https://doi.org/10.1007/s10664-019-09711-y,University of Calgary|ITEA|Eesti Teadusagentuur|Tekes|Norges Forskningsråd|Universidade Federal de Santa Catarina|Tartu Ülikool|Åbo Akademi|Universidade do Minho|ITEA3|Fundação para a Ciência e a Tecnologia|Estonian Research Competency Council|Strategic Research Council,8.8129,,False,en,True,hybrid,Empirical Software Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S109852484,1382-3256,journal,Software Engineering Techniques and Practices,2019-04-23,2019,article
https://openalex.org/W3005357594,"Abstract Context Software testing is an important and costly software engineering activity in the industry. Despite the efforts of the software testing research community in the last several decades, various studies show that still many practitioners in the industry report challenges in their software testing tasks. Objective To shed light on industry's challenges in software testing, we characterize and synthesize the challenges reported by practitioners. Such concrete challenges can then be used for a variety of purposes, eg, research collaborations between industry and academia. Method Our empirical research method is opinion survey. By designing an online survey, we solicited practitioners' opinions about their challenges in different testing activities. Our dataset includes data from 72 practitioners from eight different countries. Results Our results show that test management and test automation are considered the most challenging among all testing activities by practitioners. Our results also include a set of 104 concrete challenges in software testing that may need further investigations by the research community. Conclusion We conclude that the focal points of industrial work and academic research in software testing differ. Furthermore, the paper at hand provides valuable insights concerning practitioners' “pain” points and, thus, provides researchers with a source of important research topics of high practical relevance.",,,Vahid Garousi|Michael Felderer|Marco Kuhrmann|Kadir Herkiloğlu|Sigrid Eldh,https://openalex.org/A5000712015|https://openalex.org/A5055476405|https://openalex.org/A5074982063|https://openalex.org/A5023268747|https://openalex.org/A5057870704,https://orcid.org/0000-0001-6590-7576|https://orcid.org/0000-0003-3818-4442|https://orcid.org/0000-0001-6101-8931|https://orcid.org/0000-0003-3258-7240|https://orcid.org/0000-0002-5070-9312,GB|AT|SE|DE|TR|SE,Queen's University Belfast|Universität Innsbruck|Blekinge Institute of Technology|Clausthal University of Technology|Aselsan (Turkey)|Ericsson (Sweden)|Mälardalen University,https://openalex.org/I126231945|https://openalex.org/I190249584|https://openalex.org/I52719799|https://openalex.org/I43980791|https://openalex.org/I56303344|https://openalex.org/I1306339040|https://openalex.org/I82509713,True|False|False|False|False,other-oa,0.96997017,51,https://openalex.org/I126231945,Exploring the industry's challenges in software testing: An empirical study,https://doi.org/10.1002/smr.2251,Knowledge Foundation|ITEA|Eurostars,6.959,,False,en,True,green,Journal of Software Evolution and Process,https://openalex.org/P4310320595,Wiley,https://openalex.org/S4210172359,2047-7473,journal,Software Engineering Research,2020-02-06,2020,article
https://openalex.org/W4239828870,,,,Claes Wohlin,https://openalex.org/A5037810527,https://orcid.org/0000-0003-0460-5253,SE,Blekinge Institute of Technology,https://openalex.org/I52719799,True,,0.98285348,48,https://openalex.org/I52719799,Empirical software engineering research with industry: Top 10 challenges,https://doi.org/10.1109/cesi.2013.6618469,,12.1342,,False,en,False,closed,,,,,,,Software Engineering Research,2013-05-01,2013,article
https://openalex.org/W62432342,,,,Claes Wohlin|Per Runeson|Martin Höst|Magnus C. Ohlsson|Björn Regnell|Anders Wesslén,https://openalex.org/A5037810527|https://openalex.org/A5087032437|https://openalex.org/A5045592913|https://openalex.org/A5023636611|https://openalex.org/A5040743852|https://openalex.org/A5000942850,https://orcid.org/0000-0003-0460-5253|https://orcid.org/0000-0003-2795-4851|https://orcid.org/0000-0002-9360-8693|https://orcid.org/0009-0007-5548-4486|https://orcid.org/0000-0002-9380-6120|,SE|SE|SE||SE|SE,Blekinge Institute of Technology|Lund University|Lund University||Lund University|Ericsson (Sweden),https://openalex.org/I52719799|https://openalex.org/I187531555|https://openalex.org/I187531555||https://openalex.org/I187531555|https://openalex.org/I1306339040,True|False|False|False|False|False,,0.89998794,47,https://openalex.org/I52719799,Systematic Literature Reviews,https://doi.org/10.1007/978-3-642-29044-2_4,,3.0438,,False,en,False,closed,,,,,,,Software Engineering Techniques and Practices,2012-01-01,2012,book-chapter
https://openalex.org/W4224313548,"Abstract In Industry-Academia Collaborations (IAC) both academic, scientific research results and industrial practitioner findings and experiences are produced. Both types of knowledge should be gathered, codified, and disseminated efficiently and effectively. This paper investigates a recent (2014–2017) large-scale IAC R&amp;D&amp;I program case (Need for Speed, N4S) from a learning perspective. It was one of the programs in the Finnish SHOK (Strategic Centres of Science, Technology, and Innovation) system. The theoretical bases are in innovation management, knowledge management, and higher education (university) pedagogy. In the future, IAC projects should be more and more commonplace since major innovations are hardly ever done in isolation, not even by the largest companies. Both intra-organizational and inter-organizational learning networks are increasingly critical success factors. Collaborative learning capabilities will thus be required more often from all the participating parties. Efficient and effective knowledge creation and sharing are underpinning future core competencies. In this paper, we present and evaluate a collaboratively created and publicly shared digital knowledge repository called “Treasure Chest” produced during our case program. The starting point was a jointly created Strategic Research and Innovation Agenda (SRIA), which defined the main research themes and listed motivating research questions to begin with—i.e., intended learning outcomes (ILO). During the 4-year program, our collaborative industry-academia (I-A) learning process produced a range of theoretical and empirical results, which were iteratively collected and packaged into the Treasure Chest repository. Outstandingly, it contained, in addition to traditional research documents, narratives of the industrial learning experiences and more than 100 actionable knowledge items. In conclusion, our vision of the future is that such transparently shared, ambitious, and versatile outcome goals with a continuous integrative collection of the results are keys to effective networked I-A collaboration and learning. In that way, the N4S largely avoided the general problem of often conflicting motives between industrial firms seeking answers and applied solutions to their immediate practical problems and academic researchers aiming at more generalizable knowledge creation and high-quality scientific publications.",990,1359,Petri Kettunen|Janne Järvinen|Tommi Mikkonen|Tomi Männistö,https://openalex.org/A5025498304|https://openalex.org/A5043467989|https://openalex.org/A5074223722|https://openalex.org/A5057718373,https://orcid.org/0000-0002-2928-5885|https://orcid.org/0000-0002-2000-6552|https://orcid.org/0000-0002-8540-9918|https://orcid.org/0000-0001-7470-5183,FI|FI|FI|FI,University of Helsinki|Business Finland|University of Helsinki|University of Jyväskylä|University of Helsinki,https://openalex.org/I133731052|https://openalex.org/I4387155832|https://openalex.org/I133731052|https://openalex.org/I94722563|https://openalex.org/I133731052,True|False|False|False,cc-by,0.98875688,45,https://openalex.org/I133731052,Energizing collaborative industry-academia learning: a present case and future visions,https://doi.org/10.1186/s40309-022-00196-5,,13.0319,,False,en,True,gold,European Journal of Futures Research,https://openalex.org/P4310319965,Springer Nature,https://openalex.org/S2737130822,2195-2248,journal,University-Industry-Government Innovation Models,2022-04-25,2022,article
https://openalex.org/W3179432987,"The literature concerning research methodologies and methods has increased in software engineering in the last decade. However, there is limited guidance on selecting an appropriate research methodology for a given research study or project. Based on a selection of research methodologies suitable for software engineering research in collaboration between industry and academia, we present, discuss and compare the methodologies aiming to provide guidance on which research methodology to choose in a given situation to ensure successful industry–academia collaboration in research. Three research methodologies were chosen for two main reasons. Design Science and Action Research were selected for their usage in software engineering. We also chose a model emanating from software engineering, i.e., the Technology Transfer Model. An overview of each methodology is provided. It is followed by a discussion and an illustration concerning their use in industry–academia collaborative research. The three methodologies are then compared using a set of criteria as a basis for our guidance. The discussion and comparison of the three research methodologies revealed general similarities and distinct differences. All three research methodologies are easily mapped to the general research process describe–solve–practice, while the main driver behind the formulation of the research methodologies is different. Thus, we guide in selecting a research methodology given the primary research objective for a given research study or project in collaboration between industry and academia. We observe that the three research methodologies have different main objectives and differ in some characteristics, although still having a lot in common. We conclude that it is vital to make an informed decision concerning which research methodology to use. The presentation and comparison aim to guide selecting an appropriate research methodology when conducting research in collaboration between industry and academia.",3350,3350,Claes Wohlin|Per Runeson,https://openalex.org/A5037810527|https://openalex.org/A5087032437,https://orcid.org/0000-0003-0460-5253|https://orcid.org/0000-0003-2795-4851,SE|SE,Blekinge Institute of Technology|Lund University,https://openalex.org/I52719799|https://openalex.org/I187531555,True|False,cc-by,0.97815662,44,https://openalex.org/I52719799,Guiding the selection of research methodology in industry–academia collaboration in software engineering,https://doi.org/10.1016/j.infsof.2021.106678,,9.1118,,False,en,True,hybrid,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2021-07-13,2021,article
