oci,citing,cited,creation,timespan,journal_sc,author_sc
061203901147-0652046544,10.1111/exsy.13452,10.1108/09593840210453115,2023-09-18,P20Y9M17D,no,no
061401030328-0652046544,10.1007/s10664-020-09849-0 10.20944/preprints202006.0218.v1,10.1108/09593840210453115,2020-08-04,P17Y8M3D,no,no
06180557996-0652046544,10.1057/ejis.2011.32,10.1108/09593840210453115,2011-11,P8Y11M,no,no
0640816110-0652046544,10.1057/palgrave.jit.2000086,10.1108/09593840210453115,2007-03,P4Y3M,no,no
061301340364-0652046544,10.1109/tem.2005.850737,10.1108/09593840210453115,2005-08,P2Y8M,no,no
061603314978-0652046544,10.1007/1-4020-8000-x_6,10.1108/09593840210453115,,,no,no
061902528721-0652046544,10.1109/hicss.2015.556,10.1108/09593840210453115,2015-01,P12Y1M,no,no
062102185469-0652046544,10.1007/978-3-319-91800-6_5,10.1108/09593840210453115,2018,P15Y,no,no
06120796354-0652046544,10.1680/ensu.2011.164.2.129,10.1108/09593840210453115,2011-06,P8Y6M,no,no
06903131202-0652046544,10.1007/978-0-387-72804-9_14,10.1108/09593840210453115,,,no,no
061403002956-0652046544,10.1007/978-3-642-14874-3_1,10.1108/09593840210453115,2010,P7Y,no,no
061303108613-0652046544,10.1016/j.infsof.2006.05.007,10.1108/09593840210453115,2007-04,P4Y4M,no,no
062303860452-0652046544,,10.1108/09593840210453115,2020-10-07,P17Y10M6D,no,no
061402607128-0652046544,10.4018/jitpm.2012070102,10.1108/09593840210453115,2012-07-01,P9Y7M0D,no,no
0620817320-0652046544,10.1057/jit.2011.29,10.1108/09593840210453115,2012-03,P9Y3M,no,no
06403561390-0652046544,10.1007/0-387-34410-1_17,10.1108/09593840210453115,,,no,no
06402512497-0652046544,10.1007/978-3-030-19504-5_7,10.1108/09593840210453115,2019,P16Y,no,no
0620817240-0652046544,10.1057/jit.2014.9,10.1108/09593840210453115,2015-09,P12Y9M,no,no
061203107444-0652046544,10.1007/978-0-387-36402-5_21,10.1108/09593840210453115,2006,P3Y,no,no
061401773203-0652046544,10.1108/ijmpb-07-2021-0196,10.1108/09593840210453115,2022-05-10,P19Y5M9D,no,no
061604174738-0652046544,10.21529/recadm.2024017,10.1108/09593840210453115,2024-09-01,P21Y9M0D,no,no
061102349106-0652046544,10.4018/978-1-5225-5366-3.ch010,10.1108/09593840210453115,2019,P16Y,no,no
06201910228-0652046544,10.23919/i-society.2017.8354664,10.1108/09593840210453115,2017-07,P14Y7M,no,no
06250761260-0652046544,10.1080/07421222.2017.1373005,10.1108/09593840210453115,2017-07-03,P14Y7M2D,no,no
