id,abstract,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4214678347,"With organizational environments becoming increasingly complex and volatile, the concept of “organizational resilience” has become the “new normal”. Organizational resilience is a complex and multidimensional concept which builds on the myriad of capabilities that an organization develops during its lifecycle. As learning is an inherent and essential part of these developments, it has become a central theme in literature on organizational resilience. Although organizational resilience and organizational learning are inherently interrelated, little is known of the dynamics of effective learning that may enhance organizational resilience. This study explores how to achieve organizational learning that can serve to promote organizational resilience. Our aim is to contribute to a more comprehensive knowledge of the relation between organizational resilience and organizational learning. We present the results of a systematic literature review to assess how organizational learning may make organizations more resilient. As both organizational resilience and organizational learning are topics of practical importance, our study offers a specifically targeted investigation of this relation. We examine the relevant literature on organizational learning and resilience, identifying core themes and the connection between the two concepts. Further, we provide a detailed description of data collection and analysis. Data were analyzed thematically using the qualitative research software NVivo. Our review covered 41 empirical, 12 conceptual and 6 literature review articles, all indicating learning as mainly linked to adaptation capabilities. However, we find that learning is connected to all three stages of resilience that organizations need to develop resilience: anticipation, coping, and adaptation. Effective learning depends upon appropriate management of experiential learning, on a systemic approach to learning, on the organizational ability to unlearn, and on the existence of the context that facilitates organizational learning.",Lise Lotte Evenseth|Maria Sydnes|Anne Haugen Gausdal,https://openalex.org/A5021291148|https://openalex.org/A5057626023|https://openalex.org/A5090556542,https://orcid.org/0009-0002-8873-1061|https://orcid.org/0000-0002-1430-9004|https://orcid.org/0000-0002-4382-219X,NO|NO|NO,UiT The Arctic University of Norway|UiT The Arctic University of Norway|Høyskolen Kristiania,https://openalex.org/I78037679|https://openalex.org/I78037679|https://openalex.org/I2800207870,True|True|False,cc-by,88,https://openalex.org/I78037679,Building Organizational Resilience Through Organizational Learning: A Systematic Review,https://doi.org/10.3389/fcomm.2022.837386,,18.829746,,False,en,True,gold,Frontiers in Communication,https://openalex.org/S2596093566,2297-900X,journal,Supply Chain Resilience and Risk Management,2022-02-25,2022,review
https://openalex.org/W2999135213,,Louis G. Michael|James Donohue|James C. Davis|Dongyoon Lee|Francisco Servant,https://openalex.org/A5078891338|https://openalex.org/A5007703227|https://openalex.org/A5013948143|https://openalex.org/A5065310265|https://openalex.org/A5039701716,||https://orcid.org/0000-0003-2495-686X|https://orcid.org/0000-0002-2240-3316|https://orcid.org/0000-0002-6493-9389,US|GB|US|US|US,Virginia Tech|University of Bradford|Virginia Tech|Virginia Tech|Stony Brook University|Virginia Tech,https://openalex.org/I859038795|https://openalex.org/I139894009|https://openalex.org/I859038795|https://openalex.org/I859038795|https://openalex.org/I59553526|https://openalex.org/I859038795,True|False|False|False|False,,55,https://openalex.org/I859038795,"Regexes are Hard: Decision-Making, Difficulties, and Risks in Programming Regular Expressions",https://doi.org/10.1109/ase.2019.00047,,8.00822083,,False,en,False,closed,,,,,Software Engineering Research,2019-11-01,2019,article
https://openalex.org/W3037778009,,Per Lenberg|Robert Feldt|Lucas Gren|Lars Göran Wallgren Tengberg|Inga Tidefors|Daniel Graziotin,https://openalex.org/A5003880895|https://openalex.org/A5063787358|https://openalex.org/A5038403447|https://openalex.org/A5030723793|https://openalex.org/A5056618204|https://openalex.org/A5050191675,https://orcid.org/0000-0002-3186-3947|https://orcid.org/0000-0002-5179-4205|https://orcid.org/0000-0001-5488-9894|https://orcid.org/0000-0002-1826-0148||https://orcid.org/0000-0002-9107-7681,SE|SE|SE|SE|SE|DE,University of Gothenburg|University of Gothenburg|Blekinge Institute of Technology|University of Gothenburg|University of Gothenburg|University of Gothenburg|University of Stuttgart,https://openalex.org/I881427289|https://openalex.org/I881427289|https://openalex.org/I52719799|https://openalex.org/I881427289|https://openalex.org/I881427289|https://openalex.org/I881427289|https://openalex.org/I100066346,True|False|False|False|False|False,,24,https://openalex.org/I881427289,Qualitative software engineering research: Reflections and guidelines,https://doi.org/10.1002/smr.2607,Alexander von Humboldt-Stiftung|VINNOVA|Försvarsmakten,14.84370304,,False,en,False,closed,Journal of Software Evolution and Process,https://openalex.org/S4210172359,2047-7473,journal,Software Engineering Techniques and Practices,2023-09-12,2023,article
https://openalex.org/W4321843868,,Qiongqiong Yang|Wei Zhou,https://openalex.org/A5013396410|https://openalex.org/A5065110635,|,CN|CN,Dalian University of Foreign Languages|Dalian University|Dalian University of Technology|Dalian University of Foreign Languages|Dalian University of Technology|Dalian University,https://openalex.org/I156292868|https://openalex.org/I4210092944|https://openalex.org/I27357992|https://openalex.org/I156292868|https://openalex.org/I27357992|https://openalex.org/I4210092944,True|False,,2,https://openalex.org/I156292868|https://openalex.org/I4210092944|https://openalex.org/I27357992,English Online Learning Platform Based on Mobile Android App,https://doi.org/10.1109/icatiece56365.2022.10047519,,0.19579882,,False,en,False,closed,,,,,Educational Technology and Pedagogy,2022-12-16,2022,article
https://openalex.org/W4367682543,,P. Arunprasad|Chitra Dey|Nivethitha Santhanam|Kamarul Zaman Ahmad,https://openalex.org/A5037067579|https://openalex.org/A5028581891|https://openalex.org/A5013297287|https://openalex.org/A5100921512,|https://orcid.org/0000-0002-9344-6698||https://orcid.org/0000-0001-7772-3571,AE|IN|IN|AE,University of Dubai|Vellore Institute of Technology University|National Institute of Technology Tiruchirappalli|University of Dubai,https://openalex.org/I132806614|https://openalex.org/I876193797|https://openalex.org/I122964287|https://openalex.org/I132806614,True|False|False|False,,7,https://openalex.org/I132806614,"Strategic HRM practices, learning orientation and learning competence: study from retail industry",https://doi.org/10.1108/tlo-05-2022-0066,,1.78810021,,False,en,False,closed,The Learning Organization,https://openalex.org/S102624508,0969-6474,journal,Organizational and Employee Performance,2023-05-02,2023,article
https://openalex.org/W4377091087,,Elizabeth Cornelia Annan-Prah|Florence Baffoe|Raphael Papa Kweku Andoh,https://openalex.org/A5061583954|https://openalex.org/A5063504056|https://openalex.org/A5013852764,||https://orcid.org/0000-0003-1981-7398,GH|GH|GH,University of Cape Coast|University of Cape Coast|University of Cape Coast,https://openalex.org/I133771110|https://openalex.org/I133771110|https://openalex.org/I133771110,True|False|False,,5,https://openalex.org/I133771110,People aspect of learning organisation and performance of administrative staff in a public university context,https://doi.org/10.1108/tlo-12-2022-0162,,2.3441273,,False,en,False,closed,The Learning Organization,https://openalex.org/S102624508,0969-6474,journal,Organizational Learning and Leadership,2023-05-19,2023,article
https://openalex.org/W4392131744,,Elene Igoa-Iraola|Fernando Díez,https://openalex.org/A5093995459|https://openalex.org/A5103263315,https://orcid.org/0000-0001-6383-0798|https://orcid.org/0000-0002-7522-5189,ES|ES,Universidad de Deusto|Universidad de Deusto,https://openalex.org/I136040515|https://openalex.org/I136040515,True|True,cc-by,3,https://openalex.org/I136040515,Procedures for transferring organizational knowledge during generational change: A systematic review,https://doi.org/10.1016/j.heliyon.2024.e27092,Universidad de Deusto,5.66507617,https://pubmed.ncbi.nlm.nih.gov/38439887,False,en,True,gold,Heliyon,https://openalex.org/S2898612692,2405-8440,journal,Knowledge Management and Sharing,2024-02-24,2024,review
https://openalex.org/W2989827219,,Cynthia Denise McGowan Poole,https://openalex.org/A5089556273,,US,University of Phoenix,https://openalex.org/I176279760,True,,7,https://openalex.org/I176279760,"IT outsourcing, knowledge transfer and project transition phases",https://doi.org/10.1108/vjikms-04-2019-0053,,1.28000339,,False,en,False,closed,VINE Journal of Information and Knowledge Management Systems,https://openalex.org/S4210228535,2059-5891,journal,Outsourcing and Supply Chain Management,2019-11-11,2019,article
https://openalex.org/W3004199961,,Laurie Field,https://openalex.org/A5023085438,https://orcid.org/0000-0002-1916-6831,AU,Macquarie University,https://openalex.org/I99043593,True,,6,https://openalex.org/I99043593,Using fieldwork to deepen understanding of organizational learning and/or the learning organization,https://doi.org/10.1108/tlo-11-2019-0166,,1.16759156,,False,en,False,closed,The Learning Organization,https://openalex.org/S102624508,0969-6474,journal,Organizational Learning and Leadership,2020-01-02,2020,article
https://openalex.org/W4405672011,,Daniela de Castro Pereira Alves|Deivid José Smek|Érica Ferreira de Souza|Katia Romero Felizardo|Nandamudi L. Vijaykumar,https://openalex.org/A5023050521|https://openalex.org/A5115578628|https://openalex.org/A5013949373|https://openalex.org/A5043877845|https://openalex.org/A5042368174,|https://orcid.org/0000-0003-1865-8620|https://orcid.org/0000-0001-7262-7863|https://orcid.org/0000-0001-9080-4165|https://orcid.org/0000-0002-9025-0841,BR|BR|BR|BR|BR,Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|National Institute for Space Research,https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I80849659,True|False|False|False|False,,1,https://openalex.org/I1283613182,Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,https://doi.org/10.1145/3701625.3701652,,1.52765026,,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2024-11-05,2024,article
