Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Evenseth, Lise L; Sydnes, Maria; Gausdal, Anne H; ",Building organizational resilience through organizational learning: A systematic review,Frontiers in Communication,7,,837386,2022,Frontiers Media SA
"Lenberg, Per; Feldt, Robert; Gren, Lucas; Wallgren Tengberg, Lars Göran; Tidefors, Inga; Graziotin, Daniel; ",Qualitative software engineering research: Reflections and guidelines,Journal of Software: Evolution and Process,36,6,e2607,2024,Wiley Online Library
"Michael, Louis G; Donohue, James; Davis, James C; Lee, Dongyoon; Servant, Francisco; ","Regexes are hard: Decision-making, difficulties, and risks in programming regular expressions",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),,,415-426,2019,IEEE
"Igoa-Iraola, Elene; Díez, Fernando; ",Procedures for transferring organizational knowledge during generational change: A systematic review,Heliyon,10,5,,2024,Elsevier
"Annan-Prah, Elizabeth Cornelia; Baffoe, Florence; Andoh, Raphael Papa Kweku; ",People aspect of learning organisation and performance of administrative staff in a public university context,The Learning Organization,30,5,590-606,2023,Emerald Publishing Limited
"Beke, Diána Dóra; Sólyom, Andrea; Juhászné Klér, Andrea; ",What managers can learn from knowledge intensive technology startups?•: Exploring the skillset for developing adaptive organizational learning capabilities of a successful start-up enterprise in management education,Society and Economy,45,1,68-90,2023,Akadémiai Kiadó Budapest
"Dey, Chitra; Santhanam, Nivethitha; Bin Ahmad, Kamarul Zaman; ","Strategic HRM practices, learning orientation and learning competence: study from retail industry",The Learning Organization: An International Journal,30,4,406-425,2023,Emerald Publishing
"McGowan Poole, Cynthia Denise; ","IT outsourcing, knowledge transfer and project transition phases",VINE Journal of Information and Knowledge Management Systems,50,2,219-246,2020,Emerald Publishing Limited
"Field, Laurie; ",Using fieldwork to deepen understanding of organizational learning and/or the learning organization,The Learning Organization,27,3,211-222,2020,Emerald Publishing Limited
"Pratiwi, Maharani Eka; Ramadhan, Yudistira; Sensuse, Dana Indra; Lusa, Sofian; Safitri, Nadya; Elisabeth, Damayanti; ",Knowledge Capture in Agile Organizations: Methods and Strategies for Enhancing Effective and Efficient Process,International Journal of Artificial Intelligence Research,8,1,65-74,2024,
"Watson III, Harlee E; ",Small business strategies in pandemics and economic crises: A qualitative descriptive multiple case study,,,,,2020,University of Phoenix
"Ali, Rozaina; Latiff, Ahmad Shaharudin Abdul; Wahab, Sazali Abdul; ",Exploring the Black Box of Knowledge Capture in Public Complaint Management,Malaysian Journal of Social Sciences and Humanities (MJSSH),9,9,e002998-e002998,2024,
