Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Towards a Unified Framework for Digital Platforms and Knowledge Sharing in Agile IT Environments","Effective Knowledge sharing is essential for agile teams and yet its implementation remains a critical challenge in the fast-paced IT industry. While existing digital platforms are widely adopted to facilitate this process, their success varies significantly. This paper illustrates a novel integrated socio-technical framework which moves beyond a purely technological perspective. Further this paper argues that the efficacy of digital platforms is contingent upon and moderated by two main enabling factors. Thus, this paper synthesizes existing knowledge to delineate how the interplay among people, processes and technology drives successful knowledge sharing, within agile teams.","Vimeshi Silva; T. Sandanayake; Dinesh Samarasinghe; Chathura Ranaweera","2025","2025 10th International Conference on Information Technology Research (ICITR)","10.1109/icitr69413.2025.11353873","-","Include"
"Challenges and Practices for Knowledge Transfer in Global Software Development: An Updated Literature Review","In recent years, the evolution of technology and the increasing globalization of work have significantly transformed the software development industry. Global Software Development (GSD) has become a prevalent practice, enabling companies to reduce costs, leverage time zone differences for continuous development, and access diverse talent pools worldwide. However, knowledge transfer among distributed teams remains a significant challenge, often resulting in inefficiencies, project delays, and decreased software quality. As organizations increasingly rely on geographically dispersed teams, understanding the barriers to effective knowledge transfer in GSD is essential. This study is motivated by the need to reassess knowledge transfer in GSD, especially considering recent advancements in communication tools, collaboration platforms, and the widespread shift to remote work. While previous studies, such as those conducted by Zahedi et al. (2016), have examined knowledge transfer challenges and practices in GSD, the rapid technological and organizational shifts over the past decade necessitate an updated literature review. This work aims to provide a comprehensive overview of distributed teams’ challenges in knowledge transfer and the emerging practices to address these issues. A systematic literature review was conducted, building on the work of Zahedi et al. (2016) by analyzing research published between 2014 and 2024. The study followed a rigorous research protocol, utilizing the Scopus database to identify relevant papers and extract key insights. The findings highlight persistent challenges, including communication barriers, cultural differences, time zone constraints, and difficulties managing knowledge within distributed teams. Social and organizational factors hinder effective knowledge transfer, such as a lack of trust and inadequate coordination. The literature points to several best practices for facilitating knowledge transfer, including on-site visits for remote employees, synchronous and asynchronous communication tools, structured documentation, training programs, and establishing communities of practice. This study contributes to the field by offering an updated perspective on knowledge transfer in GSD, providing valuable insights for organizations aiming to optimize their global collaboration strategies. Future work should compare these findings with previous studies to track the evolution of knowledge transfer practices over time and explore new organizational approaches that have emerged in response to the changing dynamics of distributed software development.","Marcos Vinícius Benigno; M. Argôlo; C. E. Barbosa; Lucas Nóbrega; Luiz Felipe Martinez; Yuri Oliveira; Jano Moreira de Souza","2025","European Conference on Knowledge Management","10.34190/eckm.26.1.3663","-","Include"
"Information Technology Management System of Sharing Knowledge Between Universities Using Systematic Literature Review","Knowledge is a vital resource for academic institutions, driving innovation dan development. However, universities face challenges in effective knowledge sharing due to cultural barriers, lack of trust, and technological constraints. This research, conducted using a Systematic Literature Review (SLR), identifies key variables influencing knowledge sharing, highlights challenges, and proposes solutions to foster collaboration. The findings reveal that cultural barriers, such as competitive organizational environments and technological constraints, including high costs and user-friendly systems, significantly hinder knowledge sharing. To address these issues, the study recommends implementing user-friendly technologies, promoting collaboration through seminars and workshops, and encouraging cross-departmental projects. These solutions provide actionable insights to enhance knowledge sharing frameworks and support innovation across academic institutions","R. Fernando; Hendi Sama","2025","Jurnal Teknologi  Dan Sistem Informasi Bisnis","10.47233/jteksis.v7i1.1733","-","Include"
"Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.","Daniela dos Santos Alves; Deivid José Smek; É. Souza; K. Felizardo; N. L. Vijaykumar","2024","Brazilian Symposium on Software Quality","10.1145/3701625.3701652","1","Include"
"Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension","Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current state, assessing practices, and understanding applied methodologies in organizations is essential to succeed in KM. Problem: Given the dynamism witnessed in KM, a Systematic Literature Review (SLR) is necessary, and we found an outdated SLR on this topic until 2018. Objective: We extended the SLR to identify the current state-of-the-art KM within organizations and research niches to accurately depict the current management practices. Method: We extended the 2018 SLR, incorporating two additional databases to update this review and allow us to select new studies produced after the original review. IS Theory: This work was conceived under the auspices of the theory of organizational knowledge creation, aiming to understand the influence of KM on the development of information systems (IS) today. Summary of Results: We evidenced 29 studies on KM Diagnosis in software development organizations. Conclusion: Results show significant changes in applying learning to organizational culture through KM. Internal techniques, not tools or literature models, are now prevalent in km development. Agile methodology is a central focus in KM studies. The same holds for software architectures, with minimal application of KM in their selection and development. Contributions and Impact in the IS area: We believe in identifying KM strategies that facilitate the formation of new teams, transmitting knowledge and experiences, developing new products, and maintaining existing ISs.","Wesley Souza; Williamson Silva; G. Guedes","2024","Brazilian Symposium on Information Systems","10.1145/3658271.3658273","-","Include"
"Implementing a Simplified Risk Management Approach in Agile Software Development: An Experience Report","Agile software development projects often overlook risk management. Besides that, the lack of risk management could lead to problems such as delays, budget overruns, and even project termination, especially in distributed software development. In this paper, we address this topic in an industrial context. We implemented a simplified method to manage risks in distributed agile software development projects at Betabit company. The risk management approach proposed includes identifying, recording, and monitoring the risks faced by the company during its projects, enabling the creation of action plans to handle the risks. We assessed the acceptance of the method by applying the Technology Acceptance Model (TAM) questionnaire and open questions among the professionals who used it. The research results showed that the model was well accepted, with 90.1% of participants agreeing that it was useful in risk prevention and management. The benefits found were a broader view of projects, effective communication among teams, knowledge sharing, task clarification, and a structured approach to risk management. The challenging part is to learn how to use the method. Besides that, all respondents would recommend the proposed method to other companies, showing the potential of the method to manage risks in agile software projects.","Julio Cesar dos Santos; Vicente Pinto Alves Coelho; Felipe Mello Fonseca; D. S. Mendonça","2023","Brazilian Symposium on Software Quality","10.1145/3629479.3629516","1","Include"
"JavaScript Quiz Game","This paper recounts my experience creating a JavaScript quiz software that contains multiple quiz executions. All of these modules have been enciphered collectively and are structurally distinct from the antedating bones. These were erected in stages, with each bone being distinct from the one before it. Each of them has a score system (in some form) that allows druggies to compare their results to those of others. This, in my opinion, is the primary provocation for taking the quiz, and the stoner is given an objective score grounded on their capability position. HTML (HyperText Markup Language), CSS (Slinging Style Wastes), JS (JavaScript), API (Operation Programming Interface) (Operation Programming Interface)","Gurpartap Singh; Anup Lal Yadav; S. Sehgal","2022","International Conference Control and Robots","10.1109/iccr56254.2022.9996042","-","Include"
"Real Time Object Detection","Introducing YOLO, another way to deal with object identification. Previous object detection function re-uses separators to create location. All things considered, we present the identification object as a repetitive problem in geographically separated jump boxes and related class opportunities. All acquisition pipes are an independent entity, they may be well developed to begin to finish directly on-site operations. Our integrated design is very fast. Our Consequences should be discarded photo rotations continuously at 45 edge every second. An additional moderate practice of the organization, YOLO, processes 155 shocking casings per second. Compared to the best class identification frameworks, YOLO makes many limitations yet very different to expect misleading sides on the basis. Finally, YOLO learns the typical presentation of articles. It overcomes other local techniques, including SSD and R-CNN, while summarizing from conventional images to as diverse as art.","Simranjeet Kaur; Anup Lal Yadav; A. Joshi","2022","International Conference Control and Robots","10.1109/iccr56254.2022.9995738","117","Include"
"Sorting Algorithm visualizer","Visual learning is one of the most effective ways to grasp the knowledge of anything. Algorithm visualization demonstrates operation of logic in a pictorial manner, this enhances the knowledge and simplifies the understanding. In this paper, We address the need for a pictorial explanation of algorithms and suggest solution to visualize sorting algorithms by building a web application and explore probable future directions based on our own findings and observations using objective checklist of the web application.","Aditya Thakkar; Kavita; Sonali Dash; Sanjeev Kumar Joshi","2022","International Conference Control and Robots","10.1109/iccr56254.2022.9996059","8","Include"
"Hospital Management System Based on IoT","An overall organization of the Internet of Things (IoT) will be the future organization, which associates objects of various application fields, usefulness and innovation. These items are remarkably addressable and utilize standard correspondence convention and impart in a heterogeneous network environment. Anytime, wherever interfacing anything, thought got out huge headways in the medical services space. This paper examines the actual situation of a brilliant independent HOSPITAL MANAGEMENT SYSTEM using of IoT. The paper targets clarifying the innovation drivers exhaustively behind the IoT and medical services with the data on information demonstrating clinical gadgets, information approval of basic occurrence information, planning of existing IoT information into various other related framework information, work process or the interaction stream behind the specialized tasks of the distant gadget coordination, the design of the organization, middleware, data sets, application administrations. The difficulties and the related arrangement in this field are examined with the use case.","Meraj Ahmed; Navneet Kaur; S. Gairola","2022","International Conference Control and Robots","10.1109/iccr56254.2022.9995904","1","Include"
