"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YF8F9B24","journalArticle","2024","Souza, Wesley; Silva, Williamson; Guedes, Gilleanes Thorwald Araujo","Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension","Proceedings of the 20th Brazilian Symposium on Information Systems","","","","https://api.semanticscholar.org/CorpusID:269987672","","2024","2026-01-23 17:34:29","2026-01-23 17:34:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RREN3N3V","conferencePaper","2021","Nadim, Muhammad; Latif, Rana Muhammad Amir; Hussain, Khalid; Jhanjhi, Noor Zaman; Masud, Mehedi; Alyahyan, Saleh Yahya; Habeeb, Riyaz Ahamed Ariyaluran","Towards Requirements Elicitation and Analysis Model for Distributed Audience","","","","","https://api.semanticscholar.org/CorpusID:243867270","","2021","2026-01-23 17:34:29","2026-01-23 17:34:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMZHHCQM","journalArticle","2022","Kishore, Kamal; Khare, Shanu; Uniyal, Vaibhav; Verma, Sahil","Performance and stability Comparison of React and Flutter: Cross-platform Application Development","2022 International Conference on Cyber Resilience (ICCR)","","","","https://api.semanticscholar.org/CorpusID:255419928","","2022","2026-01-23 17:34:29","2026-01-23 17:34:29","","1-4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZU77GM6V","conferencePaper","2020","Weixiong, Yong","Securing Software Systems: A Survey","","","","","https://api.semanticscholar.org/CorpusID:219473610","","2020","2026-01-23 17:34:29","2026-01-23 17:34:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H64EFGEJ","journalArticle","2020","Roshaidie, Muhammad Danish; Liang, William Pang Han; Jun, Calvin Goh Kai; Yew, Kok Hong; Fatima-tuz-Zahra","Importance of Secure Software Development Processes and Tools for Developers","ArXiv","","","","https://api.semanticscholar.org/CorpusID:229924068","","2020","2026-01-23 17:34:29","2026-01-23 17:34:29","","","","","abs/2012.15153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GEBHXV28","journalArticle","2022","Thakkar, Aditya; Kavita; Dash, Sonali; Joshi, Sanjeev Kumar","Sorting Algorithm visualizer","2022 International Conference on Cyber Resilience (ICCR)","","","","https://api.semanticscholar.org/CorpusID:255418668","","2022","2026-01-23 17:34:29","2026-01-23 17:34:29","","1-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DN4GUB9P","journalArticle","2022","Singh, Gurpartap; Yadav, Anup Lal; Sehgal, Satbir S.","JavaScript Quiz Game","2022 International Conference on Cyber Resilience (ICCR)","","","","https://api.semanticscholar.org/CorpusID:255418053","","2022","2026-01-23 17:34:29","2026-01-23 17:34:29","","1-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRPTGL7P","journalArticle","2023","Santos, Julio Cesar dos; Coelho, Vicente Pinto Alves; Fonseca, Felipe Mello; Mendonça, Diogo Silveira","Implementing a Simplified Risk Management Approach in Agile Software Development: An Experience Report","Proceedings of the XXII Brazilian Symposium on Software Quality","","","","https://api.semanticscholar.org/CorpusID:265681748","","2023","2026-01-23 17:34:29","2026-01-23 17:34:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7U9HJMZE","journalArticle","2024","Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Kátia Romero; Vijaykumar, Nandamudi Lankalapalli","Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Proceedings of the XXIII Brazilian Symposium on Software Quality","","","","https://api.semanticscholar.org/CorpusID:274967657","","2024","2026-01-23 17:34:29","2026-01-23 17:34:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HR7XBZ5B","journalArticle","2022","Ahmed, Meraj; Kaur, Navneet; Gairola, Shikha Uniyal","Hospital Management System Based on IoT","2022 International Conference on Cyber Resilience (ICCR)","","","","https://api.semanticscholar.org/CorpusID:255419873","","2022","2026-01-23 17:34:29","2026-01-23 17:34:29","","1-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
