oci,citing,cited,creation,timespan,journal_sc,author_sc
06104427843-06402338114,10.1109/iccr56254.2022.9996039,10.14569/ijacsa.2019.0100656,2022-10-06,P3Y,no,no
06104427785-06402338114,10.1109/iccr56254.2022.9995738,10.14569/ijacsa.2019.0100656,2022-10-06,P3Y,no,no
06290510024-06402338114,10.1063/5.0199320,10.14569/ijacsa.2019.0100656,2024,P5Y,no,no
06304801570-06402338114,10.1145/3658271.3658273,10.14569/ijacsa.2019.0100656,2024-05-20,P5Y,no,no
06104427795-06402338114,10.1109/iccr56254.2022.9996042,10.14569/ijacsa.2019.0100656,2022-10-06,P3Y,no,no
061601171601-06402338114,10.3233/wor-211241,10.14569/ijacsa.2019.0100656,2022-08-11,P3Y,no,no
06104427793-06402338114,10.1109/iccr56254.2022.9996014,10.14569/ijacsa.2019.0100656,2022-10-06,P3Y,no,no
0604956648-06402338114,10.1145/3701625.3701652,10.14569/ijacsa.2019.0100656,2024-11-05,P5Y,no,no
0606645870-06402338114,10.1111/epic.12210,10.14569/ijacsa.2019.0100656,2024-11,P5Y,no,no
061404105468-06402338114,10.1063/5.0168813,10.14569/ijacsa.2019.0100656,2024,P5Y,no,no
06304824923-06402338114,10.1145/3629479.3629516,10.14569/ijacsa.2019.0100656,2023-11-07,P4Y,no,no
