Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ouriques, Raquel; Wnuk, Krzysztof; Gorschek, Tony; Svensson, Richard Berntsson; ",The role of knowledge-based resources in Agile Software Development contexts,Journal of systems and software,197,,,2023,Elsevier
"Purwanto, Agus; ",The influence of leadership style on innovation capabilities of islamic school teachers in organizational learning perspective during covid-19 pandemic,Available at SSRN 3986847,,,,2021,
"Neumann, Michael; Bogdanov, Yevgen; Lier, Martin; Baumann, Lars; ",The sars-cov-2 pandemic and agile methodologies in software development: A multiple case study in germany,International Conference on Lean and Agile Software Development,,,40-58,2021,Springer
"Gupta, Chetna; Fernandez-Crehuet, Jose Maria; Gupta, Varun; ",Measuring impact of cloud computing and knowledge management in software development and innovation,Systems,10,5,151,2022,MDPI
"Mulyadi, Mulyadi; Sinaga, Wellty Mely Betesda Br; Nirwana, Dwi; Manulang, Renova; ","Effect of organizational learning on improving hard skills, soft skills, and innovation on performance",Jurnal Prajaiswara,3,2,126-146,2022,
"da Costa Filho, José Romualdo; Penha, Renato; da Silva, Luciano Ferreira; Bizarrias, Flavio Santino; ",Competencies for managing activities in agile projects,Global journal of flexible systems management,23,4,431-452,2022,Springer
"NURJEHAN, RIZKI; ","Did transformational, transactional leadership style and organizational learning influence innovation capabilities of school teachers during covid-19 pandemic?",Systematic Reviews in Pharmacy,,,,2020,
"Waheed, Sara; Hamid, Bushra; Jhanjhi, NZ; Humayun, Mamoona; Malik, Nazir A; ",Improving knowledge sharing in distributed software development,IJACSA) International Journal of Advanced Computer Science and Applications,10,6,,2019,
"Kuciapski, Michal; Marcinkowski, Bartosz; ",Agile software development approach for'ad-hoc'IT projects,International Journal of Information Systems and Project Management,11,4,28-51,2023,
"Martínez-García, Jose R; Castillo-Barrera, Francisco-Edgar; Palacio, Ramon R; Borrego, Gilberto; Cuevas-Tello, Juan C; ",Ontology for knowledge condensation to support expertise location in the code phase during software development process,IET Software,14,3,234-241,2020,Wiley Online Library
"Imron, Moch Ali; Iswadi, Udi; Farida, R Dewi Mutia; Paramarta, Vip; Sunarsi, Denok; Akbar, Irfan Rizka; Effendy, Aidil Amin; Siagian, Ade Onny; Masriah, Imas; ",Effect of organizational culture on innovation capability employees in the knowledge sharing perspective: Evidence from digital industries,Annals of the Romanian Society for Cell Biology,25,2,4189-4203,2021,""" Vasile Goldis"" Western University Arad, Romania"
"Nugroho, Yunianto Agung; Putra, Firdaus; Novitasari, Dewiana; Asbari, Masduki; Purwanto, Agus; ",Developing innovation capability: Between individual and organizational factors,International Journal of Social and Management Studies,1,1,74-88,2020,
"Sugianto, Rahmad; Syaifuddin, Mohammad; Cholily, Yus Mochamad; ",Development of E-LKPD oriented minimum competency assessment (MCA) on 6C’s ability of high school students,Al-Jabar: Jurnal Pendidikan Matematika,13,2,433-453,2022,
"Napoleão, Bianca Minetto; de Souza, Érica Ferreira; Ruiz, Glauco Antonio; Felizardo, Katia Romero; Meinerz, Giovani Volnei; Vijaykumar, Nandamudi Lankalapalli; ",Synthesizing researches on Knowledge Management and Agile Software Development using the Meta-ethnography method,Journal of Systems and Software,178,,110973,2021,Elsevier
"Meuric, Pierre-Louis; Favre-Bonté, Véronique; ",International high-growth of early internationalizing firms: A feedback loop experience,Journal of Small Business Management,62,4,1781-1827,2024,Taylor & Francis
"Ali, Sadia; Hafeez, Yaser; Humayun, Mamoona; Jhanjhi, NZ; Le, Dac-Nhuong; ",Towards aspect based requirements mining for trace retrieval of component-based software management process in globally distributed environment,Information Technology and Management,23,3,151-165,2022,Springer
"Syamsulrizal; Maimun; Razali; Marlina, Yeni; Avcı, Görkem; ",Implementation of the Merdeka Belajar-Kampus Merdeka (MBKM) and the impact on the hard and soft skills of teacher education students,AIP Conference Proceedings,3116,1,040031,2024,AIP Publishing LLC
"Hafeez, Yaser; Ali, Sadia; Jhanjhi, Nz; Humayun, Mamoona; Nayyar, Anand; Masud, Mehedi; ",Role of Fuzzy Approach towards Fault Detection for Distributed Components.,"Computers, Materials & Continua",67,2,,2021,
"Cui, Yanqing; Zada, Islam; Shahzad, Sara; Nazir, Shah; Khan, Shafi Ullah; Hussain, Naveed; Asshad, Muhammad; ",Analysis of Service‐Oriented Architecture and Scrum Software Development Approach for IIoT,Scientific Programming,2021,1,6611407,2021,Wiley Online Library
"Sandra, Jana; Suryana, Ade; Indrayanti, Sri; ",The importance of balance between hard skills and soft skills to improve the quality of higher education graduates,Mudir: Jurnal Manajemen Pendidikan,5,2,464-470,2023,
"Mababu Mukiur, Richard; Gómez Lega, José Luis; ",Transfer of Technical Skills and Non-Technical Skills in the Workplace. An Analysis From the Perspective of Mental Processes of Learning,Human Resource Development Review,,,15344843251403110,2025,"SAGE Publications Sage CA: Los Angeles, CA"
"Chen, Dan; ",Artificial intelligence (AI) in employee selection: how algorithm-based decision aids influence recruiters’ decision-making in resume screening,,,,,2022,The University of Texas at Arlington
"Jean de Dieu, Musengamana; Liang, Peng; Shahin, Mojtaba; Yang, Chen; Li, Zengyang; ",Mining architectural information: A systematic mapping study,Empirical Software Engineering,29,4,79,2024,Springer
"Stray, Viktoria; Moe, Nils Brede; Mikalsen, Marius; Hagen, Elin; ",An empirical investigation of pull requests in partially distributed BizDevOps teams,2021 IEEE/ACM Joint 15th International Conference on Software and System Processes (ICSSP) and 16th ACM/IEEE International Conference on Global Software Engineering (ICGSE),,,110-119,2021,IEEE
"Alshammari, Fahad H; ",Analytical Evaluation of SOA and SCRUM Business Process Management Approaches for IoT‐Based Services Development,Scientific Programming,2022,1,3556809,2022,Wiley Online Library
"Purwanto, Agus; ",Hard Skills versus Soft Skills: Which are More Important for Indonesian Employees Innovation Capability,International Journal of Control and Automation,13,2,156-175,2020,
"Asbari, Masduki; Purwanto, Agus; Wijayanti, Laksmi Mayesti; Hyun, Choi Chi; Kusumaningsih, Sekundina Williana; Yanthy, Evy; Putra, Firdaus; Winanti, Winanti; Imelda, Donna; Pramono, Rudy; ","Pengaruh Hard Skills, Soft Skills dan Mediasi Budaya Sekolah Terhadap Kapabilitas Inovasi Guru di Jawa Barat","Jurnal Kependidikan: Jurnal Hasil Penelitian dan Kajian Kepustakaan di Bidang Pendidikan, Pengajaran, dan Pembelajaran",6,1,67-87,2020,
"Sarwar, Amber; Hafeez, Yaser; Hussain, Shariq; Yang, Shunkun; ",Towards taxonomical-based situational model to improve the quality of agile distributed teams,IEEE Access,8,,6812-6826,2020,IEEE
"Hafeez, Yaser; Asghar, Sohail; Arif, Bisma; Ali, Sadia; ",Role of situational method engineering to improve visual information systems in agile distributed environment,Multimedia Tools and Applications,80,6,8881-8908,2021,Springer
"Zogopoulos, Constantine Panayiotis; Raptis, Nikolaos; ",Students’ Perceptions of the Skills in the Labor Market in the 4th Industrial Revolution,European Journal of Humanities and Social Sciences,4,2,1-17,2024,
"Gupta, Chetna; Gupta, Varun; ",A decentralized framework for managing task allocation in distributed software engineering,Applied Sciences,11,22,10633,2021,MDPI
"Hyun, Santiago; Hurtado, Julio Ariel; ",Traceability of architectural design decisions and software artifacts: A systematic mapping study,Foundations of Computing and Decision Sciences (FCDS),48,4,401-423,2023,
"Dewi, Putu Wulan Karnia; Kusuma, Putu Sri Arta Jaya; ",Pengaruh Soft Skill dan Hard Skill pada Mahasiswa Tingkat Akhir Program Studi Akuntansi Terhadap Kesiapan Kerja Studi Kasus pada Generasi Z di Kota Denpasar,AKUNTANSI 45,5,2,209-221,2024,
"Borrego, Gilberto; Salazar-Lugo, Guillermo; Parra, Mario; Palacio, Ramón; ",Slack's knowledge classification mechanism for architectural knowledge condensation,2019 International Conference on Computational Science and Computational Intelligence (CSCI),,,1121-1126,2019,IEEE
"Sharma, Ruchi; Lakhera, Girish; ",Knowledge Management Using Cloud Computing in Higher Educational Institutions,2024 4th International Conference on Advancement in Electronics & Communication Engineering (AECE),,,956-961,2024,IEEE
"Domínguez, Francisco Antonio Mejía; Quintana, Manuel A; Borrego, Gilberto; Gonz, Samuel; ",The Role of Acceptance Criteria and Developer Expertise in Enhancing the Quality of Robustness Diagrams in Agile Software Development,IEEE Latin America Transactions,23,12,1211-1218,2025,
"Robles, J; Borrego, Gilberto; Palacio, R; Castillo-Barrera, Francisco Edgar; ",Supporting the Architectural Knowledge Condensation in a Co-Localized Agile Environment for Small Entities Using an Ontology,Programming and Computer Software,49,8,775-789,2023,Springer
"Costa Filho, José Romualdo da; ",Proposta de modelo baseado em competências para gerenciamento de atividades em projetos ágeis,,,,,2021,Universidade Nove de Julho
"Ahmad, Ahmad; Wibowo, Teguh Setiawan; Kisno, Kisno; Salim, Nur Agus; Tohir, Ahmad; Putri, Azlin Atika; Mintarsih, Widayat; Sobry, M; Mufid, Abdul; ","Organizational learning, soft skills or hard skills: which are more important to reinforce teachers innovation in early childhood education programs",Psychology And Education,58,1,5052-5076,2021,
"Vital, José Augusto Lajo Vieira; de Lima Fontao, Awdren; ",Explorando Decisoes Intertemporais para Lidar com a Degradaçao de Arquitetura de Software,,,,,2024,Fundação Universidade Federal de Mato Grosso do Sul
"Popoola, Saheed; ",Change Analysis Across Version Histories of Systems Models,,,,,2021,The University of Alabama
"Osadare, Adesegun Francis; ","Relationship between Cost, Schedule Overruns, and Project Success in the Nuclear Construction Industry in the United Kingdom",,,,,2022,Walden University
"TOMMI, TAPANAINEN; Farhan, Ahmad; Salmela, Hannu; Li, Xue; ",Agility in organizations: A bibliographic investigation into the state of the art,신산업경영저널,,,55-90,2024,
"Campoverde Morales, Melina; ",AI-powered Scrum: A systematic literature review of the current trends and the state-of-the-art of Artificial Intelligence capabilities in agile project management,,,,,2024,
"Borrego, Gilberto; González-López, Samuel; Palacio, Ramón R; ",Tags’ Recommender to Classify Architectural Knowledge Applying Language Models,Mathematics,10,3,446,2022,MDPI
"Fauziah, Hanifah; Hermina, Tinneke; Basit, Acep Abdul; Alkautsar, Muslim; Wufron, Wufron; ",Hard Skill of Human Resource Enhances Innovation Individual Capability at Coffee Small Medium Entreprises,Jurnal Wacana Ekonomi,24,2,156-161,2025,
"Stadler, Felix; ","A natural language approach for interacting with software architecture knowledge/Author Ing. Felix Stadler, BSc",,,,,2025,
"Ramadhan, Arief; Setiyani, Lila; ",The Analysis Of Knowledge Management Process On Software Development Process: A Systematic Review,Dinasti International Journal of Digital Business Management,1,4,522-535,2020,
"Gupta, C; Fernandez-Crehuet, JM; Gupta, V; ","Measuring Impact of Cloud Computing and Knowledge Management in Software Development and Innovation. Systems 2022, 10, 151",UNIVERSIDAD POLITÉCNICA DE MADRID,,,58,2022,s Note: MDPI stays neutral with regard to jurisdictional claims in published …
"Martínez-García, José Ramón; Palacio, Ramón René; Castillo-Barrera, Francisco Edgar; Cuevas-Tello, Juan Carlos; Borrego, Gilberto; ",Modelo de condensación de conocimiento para soporte a la localización del expertise en el desarrollo de software,Computación y Sistemas,27,1,183-208,2023,"Instituto Politécnico Nacional, Centro de Investigación en Computación"
"Hyun-Dorado, Santiago; Ariel Hurtado-Alegría, Julio; Moguel, Enrique; Garcia-Alonso, Jose; ",ADKT: a support tool for reducing architectural knowledge evaporation in software projects.,Dyna (0012-7353),92,239,,2025,
"Abidin, Zaenal; Astuti, Yuseva Gita Ari; Adha, Suhroji; Asrori, Khasan; Subroto, Desty Endrawati; Zahara, Vadilla Mutia; Kahpi, Heri Sapari; Purwanto, Agus; Julyanto, Octoberry; Azizi, Enji; ",Effect of Transformational and Transactional Leadership Toward Iso 22000: 2018 Food Safety Certified Company Performance.,Systematic Reviews in Pharmacy,11,7,,2020,
"Asbari, Masduki; Hyun, Choi Chi; Wijayanti, Laksmi Mayesti; Imelda, Donna; Yanthy, Evy; Purwanto, Agus; Kusumaningsih, Sekundina Williana; Putra, Firdaus; ",Diskursus Soft Skills dan Hard Skills: Apa yang Membangun Inovasi Guru Sekolah,,,,,2020,
"Borrego, G; González-López, S; Palacio, RR; ","Tags Recommender to Classify Architectural Knowledge Applying Language Models. Mathematics 2022, 10, 446",Computational Intelligence and Human–Computer Interaction,,,109,2022,s Note: MDPI stays neutral with regard to jurisdictional claims in published …
"Jiménez-Rodríguez, Luis Alfredo; Gamboa-Suárez, Ramiro; Durán, Omaira Manzano; ",Oportunidad para potenciar las habilidades gerenciales con la inteligencia artificial,,,,,,
"Tripathi, Rajeev; Dwivedi, Santosh Kumar; ",QR code and RFID agile tags provide secure data extraction,The American Journal of Humanities and Social Science Research,4,6,70-77,2021,
"Silitonga, Nelson; Sutardi, Didi; Novitasari, Dewiana; ",Exploring the Impact of Knowledge Sharing and Organizational Culture on Teacher Innovation Capability,,,,,2020,
"Роблес, Хосе Луис; Боррего, Хильберто; Паласио, Рамон Рене; Кастильо-Боррера, Франсиско; ",Онтология архитектурных знаний в совместно локализованной “живой” среде,Труды Института системного программирования РАН,35,6,76-95,2023,Федеральное государственное бюджетное учреждение науки Институт системного …
"Yanto, Heri; Baroroh, Niswah; Kiswanto, Kiswanto; Hajawiyah, Ain; ",KELANGSUNGAN BISNIS UMKM DI TENGAH PENDEMI COVID 19,Bookchapter Ekonomi Universitas Negeri Semarang,,1,73-94,2022,
"Sharma, Pawankumar; Chetti, Prasad; Dash, Bibhu; Ansari, Meraj; ",Data Modeling Best Practices Key to Data Mining and Data Standardization,Available at SSRN 4337595,,,,2023,
"Dekker, Arjan; ",Exploring Technology Design Decisions in Issue Tracking Systems,,,,,2021,
"Pérez-Castillo, Ricardo; Piattini, Mario; ",Understanding the Impact of Development Efforts in Code Quality.,Journal of Universal Computer Science (JUCS),27,10,,2021,
"Cui, Yanqing; Zada, Islam; Shahzad, Sara; Nazir, Shah; Khan, Shafi Ullah; Hussain, Naveed; Asshad, Muhammad; ",Research Article Analysis of Service-Oriented Architecture and Scrum Software Development Approach for IIoT,,,,,2021,
"Albort Morant, Gema; Perea-Khalifi, David; ","Adaptando la asignatura de Gestión Bancaria a los nuevos tiempos: pasado, presente y futuro de la banca tradicional.",,,,,2021,Dykinson
"Evalina, Rahayu Tri Utami; Darmawan, Denok Sunarsi; VIp Paramarta, Udi Iswadi; Bakri, R; Farida, Dewi Mutia; ","Effect of Organizational Learning on the Hard Skills, Soft Skills and Innovation of Employees: Evidence from Information Technology Industries",,,,,,
"Mulyadi, Wellty Mely Betesda Br Sinaga; Nirwana, Dwi; Manulang, Renova; ",JURNAL PRAJAISWARA,,,,,,
"Purwanto, Agus; ","PENGARUH ORGANIZATIONAL LEARNING TERHADAP PENINGKATAN HARD SKILLS, SOFT SKILLS DAN INOVASI GURU",,,,,2021,EduPsyCouns
"Novitasari, Dewiana; ",Does Knowledge Sharing Increase Innovation Capability? Answer from Indonesian Company,,,,,2020,
"Martínez-Garcia, Jose R; Palacio, Ramón R; Castillo-Barrera, Francisco-Edgar; Borrego, Gilberto; Marquez-Encinas, Hector D; ",Towards a Knowledge Condensation Tool to Capture Expertise,International Conference on Software Process Improvement,,,154-165,2020,Springer
"Morant, Gema Albort; El Khalifi, David Perea; ","ADAPTANDO LA ASIGNATURA DE GESTIÓN BANCARIA A LOS NUEVOS TIEMPOS: PASADO, PRESENTE Y FUTURO DE LA BANCA TRADICIONAL","Innovación en la docencia e investigación de las Ciencias Jurídicas, Económicas y Empresariales",,,188-212,2021,Dykinson
"Hjermann, Elida; Øxnevad, Håvard Utne; ",Distribuerte team; agil metode sin akilleshæl? Forutsetninger for kunnskapsdeling i distribuert agil programvareutvikling,,,,,2021,NTNU
"Fikri, MuhamadAgung Ali; Asbari, Masduki; Purwanto, Agus; Nugroho, YuniantoAgung; Waruwu, Hatoli; Fauji, Ahmad; Shobihi, Abdul WahidImam; Singgih, Eman; Sudiyono, RachmaNadhila; Agistiawati, Eva; ",UNIVERSITAS MUHAMMADIYAH ENRE,,,,,,
"Purwanto, Agus; Ahmad, Arman Hj; Asbari, Masduki; Santoso, Priyono Budi; ",INNOVATION CAPABILITY TOWARDS INDUSTRIAL REVOLUTION 4.0: A CASE OF INDONESIAN HVAC INDUSTRY,,,,,,
"Firdaus, Robby Anzil; ",Hard Skills or Soft Skills: Which are More Important for Indonesian Teachers Innovation,,,,,2020,
"Style, MLA; ","Eva Agistiawati, Masduki Asbari, Sucipto Basuki, Teguh Yuwono, Gusli Chidir, Mustofa, Nelson Silitonga, Didi Sutardi, Dewiana Novitasari"" Exploring the Impact of Knowledge Sharing and Organizational Culture on Teacher Innovation Capability",International Journal of Science and Management Studies (IJSMS),3,,I3,2020,
"Bisotti, Marc-Antonio; ",Research Software Engineering in Micromagnetics,,,,,2020,University of Southampton
"Style, MLA; ","Arman Syah Putra, Dewiana Novitasari, Masduki Asbari, Agus Purwanto, Joni Iskandar, Dhaniel Hutagalung, Suroso, Yoyok Cahyono"" Examine Relationship of Soft Skills, Hard Skills, Innovation and Performance: the Mediation Effect of Organizational Learning",International Journal of Science and Management Studies (IJSMS),3,,I3,2020,
"Novitasari, Dewiana; ","Dewiana Novitasari"" Does Knowledge Sharing Increase Innovation Capability? Answer from Indonesian Company",International Journal of Science and Management Studies (IJSMS),3,,I4,2020,
"Asbari, Masduki; Wijayanti, Laksmi Mayesti; Hyun, Choi Chi; Purwanto, Agus; Santoso, Priyono Budi; ",Dinamika Pendidikan,,,,,2019,
"Forsberg Ehn, Sofia; Mossberg, Filippa; ",Från kaffeautomaten till digitala mötesrum: Mjukvaruutvecklares upplevelser av att arbeta med agila utvecklingsmetoder under rådande pandemi,,,,,2021,
"Baumgartner, Axel; ",Ketterän ohjelmistokehitysryhmän siirtyminen lähityöskente-lystä etätyöskentelyyn–tapaustutkimus COVID-19-pandemian aikana,,,,,2021,Helsingin yliopisto
"Martínez-García, José Ramón; Palacio, Ramón René; Castillo-Barrera, Francisco Edgar; Cuevas-Tello, Juan Carlos; Borrego, Gilberto; ",Knowledge Condensation Model for Support of Expertise Location in Software Development,Computación y Sistemas,27,1,183-208,2023,
