title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Exploring the under-explored terrain of non-open source data for software engineering through the lens of federated learning,"The availability of open source projects on platforms like GitHub has led to the wide use of the artifacts from these projects in software engineering research. These publicly available artifacts have been used to train artificial intelligence models used in various empirical studies and the development of tools. However, these advancements have missed out on the artifacts from non-open source projects due to the unavailability of the data. A major cause for the unavailability of the data from non-open source repositories is the issue concerning data privacy. In this paper, we propose using federated learning to address the issue of data privacy to enable the use of data from non-open source to train AI models used in software engineering research. We believe that this can potentially enable industries to collaborate with software engineering researchers without concerns about privacy. We present the preliminary evaluation of the use of federated learning to train a classifier to label bug-fix commits from an existing study to demonstrate its feasibility. The federated approach achieved an F1 score of 0.83 compared to a score of 0.84 using the centralized approach. We also present our vision of the potential implications of the use of federated learning in software engineering research.","[{'authorId': '2169794374', 'name': 'Shriram Shanbhag'}, {'authorId': '1926332', 'name': 'S. Chimalakonda'}]",2022.0,ESEC/SIGSOFT FSE,{'name': 'Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering'},https://www.semanticscholar.org/paper/4c2d7678b3899e84f1c40eb3375007dc84225636,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3540250.3560883?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3540250.3560883, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",9,39,,"['Book', 'JournalArticle']",['Computer Science'],"{'DBLP': 'conf/sigsoft/ShanbhagC22', 'DOI': '10.1145/3540250.3560883', 'CorpusId': 253421872}",2,"Shriram Shanbhag, S. Chimalakonda","Book, JournalArticle","DBLP:conf/sigsoft/ShanbhagC22, DOI:10.1145/3540250.3560883, CorpusId:253421872"
An alumni-based collaborative model to strengthen academia and industry partnership: The current challenges and strengths,,"[{'authorId': '1944388', 'name': 'R. Malhotra'}, {'authorId': '2051690017', 'name': 'M. Massoudi'}, {'authorId': '34432300', 'name': 'Rajni Jindal'}]",2022.0,Education and Information Technologies : Official Journal of the IFIP technical committee on Education,"{'volume': '28', 'pages': '2263-2289', 'name': 'Education and Information Technologies'}",https://www.semanticscholar.org/paper/fec5ab0593e55d511094a96737d879ddccbe18b3,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/s10639-022-11276-1?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/s10639-022-11276-1, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",27,84,,['JournalArticle'],['Computer Science'],"{'DBLP': 'journals/eait/MalhotraMJ23', 'DOI': '10.1007/s10639-022-11276-1', 'CorpusId': 251607270}",0,"R. Malhotra, M. Massoudi, Rajni Jindal",JournalArticle,"DBLP:journals/eait/MalhotraMJ23, DOI:10.1007/s10639-022-11276-1, CorpusId:251607270"
"An Industry-Academia, Multidisciplinary and Expertise-Heterogeneous Design Approach: A Case Study on Designing for Mobility",,"[{'authorId': '2056649786', 'name': 'F. Lima'}, {'authorId': '9831441', 'name': 'A. Burrows'}, {'authorId': '2133891978', 'name': 'Lídia Lemos'}, {'authorId': '2134697534', 'name': 'Priscila Lucena'}, {'authorId': '2091710809', 'name': 'Ricardo Pessoa'}, {'authorId': '143745532', 'name': 'R. Jose'}, {'authorId': '2741502', 'name': 'P. Trigueiros'}]",2021.0,Springer Series in Design and Innovation,{'name': 'Springer Series in Design and Innovation'},https://www.semanticscholar.org/paper/af55c1f96c208331fdd2dd95167e07fa7f8adb15,True,"{'url': 'https://repositorium.sdum.uminho.pt/bitstream/1822/74974/1/IAC_MULTIDISCIPLINAR_HETEROGENEOUS_DIGICOM2022.pdf', 'status': 'GREEN', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/978-3-030-89735-2_23?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/978-3-030-89735-2_23, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",0,41,,,,"{'DOI': '10.1007/978-3-030-89735-2_23', 'CorpusId': 239512100}",0,"F. Lima, A. Burrows, Lídia Lemos, Priscila Lucena, Ricardo Pessoa, R. Jose, P. Trigueiros",,"DOI:10.1007/978-3-030-89735-2_23, CorpusId:239512100"
A case study of industry–academia communication in a joint software engineering research project,"Empirical software engineering research relies on good communication with industrial partners. Conducting joint research both requires and contributes to bridging the communication gap between industry and academia (IA) in software engineering. This study aims to explore communication between the two parties in such a setting. To better understand what facilitates good IA communication and what project outcomes such communication promotes, we performed a case study, in the context of a long‐term IA joint project, followed by a validating survey among practitioners and researchers with experience of working in similar settings. We identified five facilitators of IA communication and nine project outcomes related to this communication. The facilitators concern the relevance of the research, practitioners' attitude and involvement in research, frequency of communication and longevity of the collaboration. The project outcomes promoted by this communication include, for researchers, changes in teaching and new scientific venues, and for practitioners, increased awareness, changes to practice, and new tools and source code. Besides, both parties gain new knowledge and develop social‐networks through IA communication. Our study presents empirically based insights that can provide advise on how to improve communication in IA research projects and thus the co‐creation of software engineering knowledge that is anchored in both practice and research.","[{'authorId': '2074904105', 'name': 'Sergio Rico'}, {'authorId': '143654344', 'name': 'E. Bjarnason'}, {'authorId': '1777300', 'name': 'Emelie Engström'}, {'authorId': '1686793', 'name': 'Martin Höst'}, {'authorId': '1785952', 'name': 'P. Runeson'}]",2021.0,J. Softw. Evol. Process.,"{'volume': '33', 'name': 'Journal of Software: Evolution and Process'}",https://www.semanticscholar.org/paper/1790a15010d4c29d1e4300855983bd7e325bbe5c,True,"{'url': 'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smr.2372', 'status': 'HYBRID', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1002/smr.2372?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1002/smr.2372, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",8,41,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'journals/smr/RicoBEHR21', 'DOI': '10.1002/smr.2372', 'CorpusId': 238254593}",0,"Sergio Rico, E. Bjarnason, Emelie Engström, Martin Höst, P. Runeson","JournalArticle, Review","DBLP:journals/smr/RicoBEHR21, DOI:10.1002/smr.2372, CorpusId:238254593"
On The Gap Between Software Maintenance Theory and Practitioners’ Approaches,"The way practitioners perform maintenance tasks in practice is little known by researchers. In turn, practitioners are not always up to date with the proposals provided by the research community. This work investigates the gap between software maintenance techniques proposed by the research community and the software maintenance practice. We carried out a survey with 112 practitioners from 92 companies and 12 countries. We concentrate on analyzing if and how practitioners understand and apply the following subjects: bad smells, refactoring, software metrics, and change impact analysis. This study shows that there is a large gap between research approaches and industry practice in those subjects, especially in change impact analysis and software metrics.","[{'authorId': '40056271', 'name': 'Mívian M. Ferreira'}, {'authorId': '8575857', 'name': 'Mariza Bigonha'}, {'authorId': '2066477104', 'name': 'K. Ferreira'}]",2021.0,2021 IEEE/ACM 8th International Workshop on Software Engineering Research and Industrial Practice (SER&IP),"{'pages': '41-48', 'name': '2021 IEEE/ACM 8th International Workshop on Software Engineering Research and Industrial Practice (SER&IP)'}",https://www.semanticscholar.org/paper/b4756cd18a799112d6b7522edee2f357bc818d0e,True,"{'url': 'https://arxiv.org/pdf/2104.03824', 'status': 'GREEN', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2104.03824, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",5,15,,"['JournalArticle', 'Review']",['Computer Science'],"{'ArXiv': '2104.03824', 'DBLP': 'conf/serip-ws/FerreiraBF21', 'DOI': '10.1109/SER-IP52554.2021.00015', 'CorpusId': 233181981}",0,"Mívian M. Ferreira, Mariza Bigonha, K. Ferreira","JournalArticle, Review","ArXiv:2104.03824, DBLP:conf/serip-ws/FerreiraBF21, DOI:10.1109/SER-IP52554.2021.00015, CorpusId:233181981"
"Scaling agile in large organizations: Practices, challenges, and success factors",,"[{'authorId': '51995527', 'name': 'Martin Kalenda'}, {'authorId': '52017683', 'name': 'Petr Hyna'}, {'authorId': '36811031', 'name': 'B. Rossi'}]",2018.0,J. Softw. Evol. Process.,"{'volume': '30', 'name': 'Journal of Software: Evolution and Process'}",https://www.semanticscholar.org/paper/dca35a6c09c8f787aa457d15d7910f12fe6d92a1,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1002/smr.1954?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1002/smr.1954, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",184,106,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'journals/smr/KalendaHR18', 'MAG': '2803356988', 'DOI': '10.1002/smr.1954', 'CorpusId': 53717635}",19,"Martin Kalenda, Petr Hyna, B. Rossi","JournalArticle, Review","DBLP:journals/smr/KalendaHR18, MAG:2803356988, DOI:10.1002/smr.1954, CorpusId:53717635"
Toward Improving Industrial Adoption: The Choice of Programming Languages and Development Environments,"While promising software engineering approaches are proposed every day, only few are adapted by professional developers. There are many potential reasons for this, such as, problems in identifying helpful approaches, missing tools, or lacking practical relevance. With our current research, we are concerned to improve the knowledge transfer from research to practice. In this paper, we discuss the impact of development environments and programming languages on knowledge transfer – considering that many scientific approaches and tools are interesting for professional developers, but rarely adopted by them. We base our discussion mainly on our personal experiences with industry-academia collaborations. To determine whether these experiences also apply to other developers, we additionally conducted a survey with 89 participants from academia and industry. The first results of our on-going work indicate a gap between the development environments and programming languages that are supported or used by researchers and those that are applied in industry. Based on our results, we describe initial discussions that can help to improve collaborations between industry and research.","[{'authorId': '1411071289', 'name': 'Ivonne von Nostitz-Wallwitz'}, {'authorId': '38256069', 'name': 'J. Krüger'}, {'authorId': '1744147', 'name': 'Thomas Leich'}]",2018.0,2018 IEEE/ACM 5th International Workshop on Software Engineering Research and Industrial Practice (SER&IP),"{'pages': '10-17', 'name': '2018 IEEE/ACM 5th International Workshop on Software Engineering Research and Industrial Practice (SER&IP)'}",https://www.semanticscholar.org/paper/5e3e37d9620dff0c2aa01a322c3d5f4f238a8b8c,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3195546.3195548?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3195546.3195548, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",5,36,,"['JournalArticle', 'Book', 'Review']",['Computer Science'],"{'DBLP': 'conf/icse/Nostitz-Wallwitz18a', 'MAG': '2884718919', 'DOI': '10.1145/3195546.3195548', 'CorpusId': 49868002}",0,"Ivonne von Nostitz-Wallwitz, J. Krüger, Thomas Leich","JournalArticle, Book, Review","DBLP:conf/icse/Nostitz-Wallwitz18a, MAG:2884718919, DOI:10.1145/3195546.3195548, CorpusId:49868002"
Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,,"[{'authorId': '1761511', 'name': 'V. Garousi'}, {'authorId': '1737649', 'name': 'K. Petersen'}, {'authorId': '153469005', 'name': 'B. Ozkan'}]",2016.0,Information and Software Technology,"{'volume': '79', 'pages': '106-127', 'name': 'Inf. Softw. Technol.'}",https://www.semanticscholar.org/paper/4409464a4a08f9f2d44253b7dd631f8619f2871e,True,"{'url': 'https://pure.tue.nl/ws/files/93075532/ChallengesandbestPracticesinIAColloborationsinSE.pdf', 'status': 'GREEN', 'license': 'other-oa', 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1016/J.INFSOF.2016.07.006?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/J.INFSOF.2016.07.006, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",220,80,,"['JournalArticle', 'Review']","['Computer Science', 'Engineering']","{'DBLP': 'journals/infsof/GarousiPO16', 'MAG': '2494902551', 'DOI': '10.1016/J.INFSOF.2016.07.006', 'CorpusId': 29012577}",17,"V. Garousi, K. Petersen, B. Ozkan","JournalArticle, Review","DBLP:journals/infsof/GarousiPO16, MAG:2494902551, DOI:10.1016/J.INFSOF.2016.07.006, CorpusId:29012577"
Gathering empirical evidence and building a business case for software reference architectures in industry,"Background: Software reference architectures are becoming widely adopted by organizations that need to support the design and maintenance of software applications of a shared domain. For organizations that plan to adopt this architecture-centric approach, it becomes fundamental to understand how software reference architectures are engineered, and to know their return on investment. Unfortunately, there is a lack of evidence-based support to help organizations with these challenges. 
Goal: The main goal of this PhD thesis is to support organizations making informed decisions about software reference architecture acquisition, design, and use based on empirical evidence. 
Methods: To accomplish this goal, we have conducted an action research approach in an industry-academia collaboration between everis (a multinational IT consulting firm based in Spain) and our Research Group of Software and Service Engineering (GESSI). 
Results: The results from our industry-academia collaboration led to uncover novel evidence on the use of software reference architectures in practice. The procedures and evidence obtained have been packaged to design guidelines that could be used in similar contexts as the one of everis. 
Conclusions: This PhD thesis supports organizations to acquire and engineer software reference architectures by providing evidence-based support. Such evidence-based support consists of the results of the empirical studies conducted in this PhD thesis, and the presented guidelines for gathering new corporate evidence.
 Context: Les arquitectures del software de referència estan sent àmpliament adoptades per les organitzacions que necessiten dissenyar i mantenir aplicacions software d’un domini compartit. Per les organitzacions que tenen previst adoptar aquest enfocament centrat en l’arquitectura, esdevé fonamental entendre com es dissenyen les arquitectures del software de referència, i conèixer el seu retorn d’inversió. Desafortunadament, hi ha una manca de recolzament basat en l’evidència per ajudar aquestes organitzacions a afrontar aquests reptes. Objectiu: L’objectiu principal d’aquesta tesi doctoral és recolzar les organitzacions a prendre decisions informades i basades en l’evidència empírica sobre l’adquisició, disseny i ús d’arquitectures del software de referència. Mètodes: Per aconseguir aquest objectiu, s’ha portat a terme un enfocament d’investigació-acció en una col·laboració empresa-universitat entre “everis” (una empresa multinacional de consultoria tecnològica amb seu a Espanya) i el nostre Grup d’investigació en Enginyeria del Software i Serveis (GESSI). Resultats: Fruït de la nostra col·laboració empresa-universitat, s’han descobert noves evidències sobre l’ús d’arquitectures del software de referència a la pràctica. Els procediments i les evidències obtingudes han estat empaquetades per dissenyar directrius que podrien ser utilitzades en contextos similars com el d’everis. Conclusions: Aquesta tesi doctoral és una contribució per les organitzacions que adopten i dissenyen arquitectures del software de referència, proporcionant recolzament basat en l’evidència empírica. Aquest recolzament es constitueix dels resultats dels estudis empírics realitzats en aquesta tesi doctoral, i les directrius que es presenten per la recol·lecció de noves evidències corporatives.","[{'authorId': '1382277338', 'name': 'Silverio Martínez-Fernández'}]",2016.0,,"{'volume': '', 'name': ''}",https://www.semanticscholar.org/paper/d32756ee9fd37955c01c073715d1820e62548788,True,"{'url': 'https://upcommons.upc.edu/bitstream/2117/96382/1/TSMF1de1.pdf', 'status': 'HYBRID', 'license': 'CCBYNC', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.5821/dissertation-2117-96382?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.5821/dissertation-2117-96382, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",3,132,,,"['Engineering', 'Computer Science']","{'MAG': '2584624964', 'DBLP': 'phd/es/Martinez-Fernandez16', 'DOI': '10.5821/dissertation-2117-96382', 'CorpusId': 113605037}",1,Silverio Martínez-Fernández,,"MAG:2584624964, DBLP:phd/es/Martinez-Fernandez16, DOI:10.5821/dissertation-2117-96382, CorpusId:113605037"
Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey,,"[{'authorId': '1761511', 'name': 'V. Garousi'}, {'authorId': '2860304', 'name': 'M. M. Eskandar'}, {'authorId': '2251408', 'name': 'Kadir Herkiloglu'}]",2016.0,Software quality journal,"{'volume': '25', 'pages': '1091 - 1143', 'name': 'Software Quality Journal'}",https://www.semanticscholar.org/paper/7f78ebc6585dc6aefc4c7e91cd8f471704d867c6,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/s11219-016-9319-5?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/s11219-016-9319-5, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",48,89,,"['JournalArticle', 'Review']","['Computer Science', 'Engineering']","{'MAG': '2466590866', 'DBLP': 'journals/sqj/GarousiEH17', 'DOI': '10.1007/s11219-016-9319-5', 'CorpusId': 3251058}",1,"V. Garousi, M. M. Eskandar, Kadir Herkiloglu","JournalArticle, Review","MAG:2466590866, DBLP:journals/sqj/GarousiEH17, DOI:10.1007/s11219-016-9319-5, CorpusId:3251058"
