id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W1973637110,Ossi Taipale|Jussi Kasurinen|Katja Karhu|Kari Smolander,https://openalex.org/A5007467260|https://openalex.org/A5008725198|https://openalex.org/A5085976996|https://openalex.org/A5056964643,|https://orcid.org/0000-0001-9454-8664||https://orcid.org/0000-0002-7043-0458,FI|FI||FI,Lappeenranta-Lahti University of Technology|Lappeenranta-Lahti University of Technology||Lappeenranta-Lahti University of Technology,https://openalex.org/I63548447|https://openalex.org/I63548447||https://openalex.org/I63548447,True|False|False|False,,48,https://openalex.org/I63548447,Trade-off between automated and manual software testing,https://doi.org/10.1007/s13198-011-0065-6,,4.48491898,False,en,False,closed,International Journal of Systems Assurance Engineering and Management,https://openalex.org/S40280859,0975-6809,journal,Software Engineering Techniques and Practices,2011-06-01,2011,article
https://openalex.org/W1971776044,Javier Andrade|Juan Ares|María A. Martínez|Juan Pazos|Santiago Rodríguez|Julio Romera|Sonia Suárez,https://openalex.org/A5107465971|https://openalex.org/A5072920120|https://openalex.org/A5101722729|https://openalex.org/A5103386488|https://openalex.org/A5101584644|https://openalex.org/A5033458993|https://openalex.org/A5101908985,|https://orcid.org/0000-0002-4497-2114|https://orcid.org/0000-0002-0036-1442||https://orcid.org/0000-0002-6781-7838||https://orcid.org/0000-0003-3709-6766,ES|ES|ES|GB|ES|ES|ES|ES,Universidade da Coruña|Universidade da Coruña|Universidad a Distancia de Madrid|The Open University|Universidad Politécnica de Madrid|Universidade da Coruña|Universidad Politécnica de Madrid|Universidade da Coruña,https://openalex.org/I11019714|https://openalex.org/I11019714|https://openalex.org/I4210108168|https://openalex.org/I204136569|https://openalex.org/I88060688|https://openalex.org/I11019714|https://openalex.org/I88060688|https://openalex.org/I11019714,False|False|False|False|False|False|True,cc-by-nc-nd,32,https://openalex.org/I11019714,An architectural model for software testing lesson learned systems,https://doi.org/10.1016/j.infsof.2012.03.003,,9.12623599,False,en,True,gold,Information and Software Technology,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Research,2012-03-23,2012,article
https://openalex.org/W1979610121,Jussi Kasurinen|Ossi Taipale|Kari Smolander,https://openalex.org/A5008725198|https://openalex.org/A5007467260|https://openalex.org/A5056964643,https://orcid.org/0000-0001-9454-8664||https://orcid.org/0000-0002-7043-0458,FI|FI|FI,Lappeenranta-Lahti University of Technology|Lappeenranta-Lahti University of Technology|Lappeenranta-Lahti University of Technology,https://openalex.org/I63548447|https://openalex.org/I63548447|https://openalex.org/I63548447,True|False|False,,27,https://openalex.org/I63548447,Test case selection and prioritization,https://doi.org/10.1145/1852786.1852800,,6.26798354,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2010-09-14,2010,article
https://openalex.org/W2026748126,Katja Karhu|Ossi Taipale|Kari Smolander,https://openalex.org/A5085976996|https://openalex.org/A5007467260|https://openalex.org/A5056964643,||https://orcid.org/0000-0002-7043-0458,FI|FI|FI,Lappeenranta-Lahti University of Technology|Lappeenranta-Lahti University of Technology|Lappeenranta-Lahti University of Technology,https://openalex.org/I63548447|https://openalex.org/I63548447|https://openalex.org/I63548447,False|False|True,,17,https://openalex.org/I63548447,Investigating the relationship between schedules and knowledge transfer in software testing,https://doi.org/10.1016/j.infsof.2008.09.001,,0.79494268,False,en,False,closed,Information and Software Technology,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2008-10-27,2008,article
https://openalex.org/W2276169632,Jussi Kasurinen,https://openalex.org/A5008725198,https://orcid.org/0000-0001-9454-8664,,,,True,,10,,Software Test Process Development,,,3.50487201,False,en,True,green,LUTPub (LUT University),https://openalex.org/S4306402474,,repository,Software Testing and Debugging Techniques,2011-11-18,2011,article
https://openalex.org/W2152823912,Amelia Sanz|J. Daniel García|José Saldaña|Antonio de Amescua Seco,https://openalex.org/A5110257487|https://openalex.org/A5100747301|https://openalex.org/A5070599813|https://openalex.org/A5102719829,|https://orcid.org/0000-0002-1873-9706|https://orcid.org/0000-0002-6977-6363|https://orcid.org/0000-0003-4355-6896,ES|ES|ES|ES,Universidad Carlos III de Madrid|Universidad Carlos III de Madrid|Universidad Carlos III de Madrid|Universidad Carlos III de Madrid,https://openalex.org/I50357001|https://openalex.org/I50357001|https://openalex.org/I50357001|https://openalex.org/I50357001,True|False|False|False,,17,https://openalex.org/I50357001,A proposal of a process model to create a test factory,https://doi.org/10.1109/wosq.2009.5071559,,0.75294346,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2009-05-01,2009,article
https://openalex.org/W4318827793,I. GORBATIUK|I. GORBATIUK,https://openalex.org/A5007261438|,https://orcid.org/0000-0002-9391-3364|https://orcid.org/0000-0002-9391-3364,UA|,Berdyansk State Pedagogical University|,https://openalex.org/I4210137086|,True|False,,4,https://openalex.org/I4210137086,PECULIARITIES OF PROJECT MANAGEMENT IN THE CONTEXT OF SOFTWARE ENGINEERING,https://doi.org/10.31494/2412-9208-2022-1-3-267-274,,1.36892391,False,en,True,diamond,Scientific papers of Berdiansk State Pedagogical University Series Pedagogical sciences,https://openalex.org/S4210221785,2412-9208,journal,Enterprise Management and Information Systems,2022-12-07,2022,article
https://openalex.org/W2532547073,Jiang Qian|Hu Guo-Jie,https://openalex.org/A5108612360|https://openalex.org/A5035443101,https://orcid.org/0009-0004-7029-6879|,CN|CN,Liaoning University of Technology|Liaoning University of Technology,https://openalex.org/I2898894|https://openalex.org/I2898894,True|False,,6,https://openalex.org/I2898894,The Impact of Knowledge Acquisition and Knowledge Integration of IT Outsourcing Supplier on Outsourcing Success -- Knowledge Sticky's Moderating Effect,https://doi.org/10.1109/icss.2015.9,,1.01794244,False,en,False,closed,,,,,Outsourcing and Supply Chain Management,2015-05-01,2015,article
https://openalex.org/W2556370996,Jianbin Chen|Yanli Guo|Kaibo Xu,https://openalex.org/A5100628518|https://openalex.org/A5035043836|https://openalex.org/A5073384505,https://orcid.org/0000-0002-6965-119X|https://orcid.org/0000-0003-4831-1003|https://orcid.org/0000-0002-8107-4743,||,,,True|False|False,cc-by,6,,Value Added from Knowledge Collaboration: Convergence of Intellectual Capital and Social Capital,https://doi.org/10.14257/ijunesst.2014.7.2.02,Beijing Union University,2.18424166,False,en,True,hybrid,International Journal of u- and e- Service Science and Technology,https://openalex.org/S2764485078,2005-4246,journal,Knowledge Management and Sharing,2014-04-30,2014,article
https://openalex.org/W1222446325,Maduka Subasingha|Darshana Sedera|Glen D. Murphy,https://openalex.org/A5081939820|https://openalex.org/A5045442223|https://openalex.org/A5023419902,|https://orcid.org/0000-0002-4656-1108|https://orcid.org/0000-0003-2186-5225,||,,,True|False|False,,5,,MULTI -LEVEL KNOWLEDGE TRANSFER IN SOFTWARE DEVELOPMENT OUTSOURCING PROJECTS : THE AGENCY THEORY VIEW,,,0.99603247,False,en,False,closed,Swinburne Research Bank (Swinburne University of Technology),https://openalex.org/S4306401157,,repository,Outsourcing and Supply Chain Management,2012-12-14,2012,article
https://openalex.org/W2188283906,A Venkatasubramanian,https://openalex.org/A5003244642,,,,,True,,3,,Software Test Factory (A proposal of a process model to create a Test Factory),,,1.39288523,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2010-01-01,2010,article
https://openalex.org/W2767937109,Fatin Filzahti Ismail|Rozilawati Razali,https://openalex.org/A5023882581|https://openalex.org/A5023998767,https://orcid.org/0000-0003-4008-6411|https://orcid.org/0000-0002-3658-5819,MY|MY,National University of Malaysia|National University of Malaysia,https://openalex.org/I885383172|https://openalex.org/I885383172,True|False,,2,https://openalex.org/I885383172,A Framework for Managing Software Testing Outsourcing Projects,,,0.39402407,False,en,False,closed,Journal of Telecommunication Electronic and Computer Engineering (JTEC),https://openalex.org/S2764808276,2180-1843,journal,Outsourcing and Supply Chain Management,2017-10-20,2017,article
https://openalex.org/W2526743108,Maduka Subasingha|Darshana Sedera|Glen D. Murphy,https://openalex.org/A5081939820|https://openalex.org/A5045442223|https://openalex.org/A5023419902,|https://orcid.org/0000-0002-4656-1108|https://orcid.org/0000-0003-2186-5225,||,,,True|False|False,,0,,MULTI-LEVEL KNOWLEDGE TRANSFER IN SOFTWARE DEVELOPMENT OUTSOURCING PROJECTS: THE AGENCY THEORY VIEW Research-in-Progress,,,0.0,False,en,False,closed,,,,,Outsourcing and Supply Chain Management,2012-01-01,2012,article
https://openalex.org/W64192590,Michal Doležel,https://openalex.org/A5003662221,https://orcid.org/0000-0002-5963-5145,CZ,Prague University of Economics and Business,https://openalex.org/I35913352,True,,0,https://openalex.org/I35913352,An Initial Proposal for a Test Governance Framework in Business Organizations,,,0.0,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2013-01-01,2013,article
