Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"A Comprehensive Study on Knowledge Management Applied to Embedded System Testing Processes","Numerous commercial electronic devices such as computers and mobile phones are composed of embedded systems. In general, these systems present complex functionalities, making the process of developing and testing a challenging task for engineers and designers. Testing is essential for validating any embedded device in order to guarantee that their features are operational and reliable. Improved testing methods could increase the reliability and quality of the devices. In this paper, a test methodology for evaluating commercial embedded devices is proposed. The proposed approach is based on the use of historical knowledge acquired by analyzing and modeling a growing test database composed by information on prior regular test routines. This approach aims to track the similarities among test cases applied in past products in order to optimize the analysis of test cases necessary for the evaluation of recent products that will be submitted to testing processes. A comparative case study was conducted involving the proposed test methodology and a standard test methodology based on test cases in a test routine involving embedded devices produced by a company in the energy solutions business. The empirical results showed a significant improvement in the efficiency of failure and defect detection in the embedded devices, allowing improved management of the processes of development, test, and production.","Gabriel Habib Medeiros Oliveira; R. Albuquerque; A. Albuquerque","2019","2019 IEEE International Conference on Computational Science and Engineering (CSE) and IEEE International Conference on Embedded and Ubiquitous Computing (EUC)","10.1109/cse/euc.2019.00083","-","Include"
"An Ontology for Guiding Performance Testing","Software test is a technique to obtain information about software systems quality. Performance test is a type of software test that aims at evaluating software performance at a given load scenario, but it requires specialized knowledge about tools, activities and metrics of the domain. Since ontology is a promising knowledge representation technique, this paper presents a literature review to identify trends and compare researches of ontologies in the fields of software testing and software performance. Also, to investigate this issue from a practical perspective, it was developed an ontology for representing the core knowledge of performance testing. This paper presents the ontology and compare it with related ones. Then, semantic technologies are explored to demonstrate the practical feasibility of developing ontology-based applications for assisting testers with performance test planning and management.","Artur Freitas; R. Vieira","2014","2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT)","10.1109/wi-iat.2014.62","19","Include"
"Simulation-Based Optimization for Software Dynamic Testing Processes","Abstract- Managing software development projects requires the coordination of different processes that may be performed by different teams, e.g., a development team and a separate testing team. This coordination aims at optimizing the trade-off between cost, schedule and delivered quality. Simulation models are a powerful tool to explore what-if scenarios that help managers to achieve this trade-off and to fine-tune different project parameters. This paper presents a simulation model based on a multi-paradigm approach that connects development and testing processes. The testing process model is based on the process model described in the ISO/IEC/IEEE 29119-2:2013 standard. The simulation model is built using two different methods: the discrete-event approach, to simulate the execution of the dynamic testing processes, and the agent-based approach, to in-depth simulate defects life cycle. Results show how the simulation model is used to explore the evolution of a number of process metrics. Then, the simulation model is used to determine the resource distributions in order to optimize two relevant process metrics: the efficiency of the testing process and the average defect life.","M. Ruiz; J. Tuya; D. Crespo","2014","Consultation of the Doctoral Thesis Database (TESEO) (Ministerio de Educación, Cultura y Deporte)","-","4","Include"
"Gestión de conocimiento: la solución para disminuir el reproceso en las pruebas de software","La gestion de conocimiento se ha convertido en una clave fundamental en los procesos de la ingenieria de software, permitiendo mejorar y optimizar cada una de las actividades que se ejecutan durante todo el ciclo de desarrollo de software. Cada una de las etapas de la ingenieria de software ha adoptado de la gestion de conocimiento algunas caracteristicas, de acuerdo con las necesidades que se presentan, adecuandolos y fortaleciendolos para reducir los tiempos y disminuir la fuga de informacion dentro de las organizaciones. Es por esto que las pruebas de software han adoptado la gestion de conocimiento como la alternativa para disminuir el reproceso en las pruebas de software.","Luz Ángela Perona Ossaba; Juan Manuel Velásquez Isaza","2012","Ingenierías USBmed","10.21500/20275846.274","2","Include"
"SRAD: a semantic rapid method for software development","Using the Semantic Web (SW) technologies in Software Engineering (SE) is one way of overcoming current SE problems. In this article, we have proposed a semantic method for rapid software development, namely SRAD. From the SRAD point of view, static and dynamic models of software are described in domain ontology and application ontology, respectively. The domain ontology can be a strong substitute for data model and the application ontology contains formal description and implementation of the software functionalities. We have also proposed a method for implementing the software functionalities in the application ontology by using the SW technologies. To execute the software functionalities, any Java compatible rule engine can be used, but for efficiency reasons, we have developed a Running Engine (RE) that supports all types of SWRL atoms. By using the SRAD method, opposed to the current development methods that try to generate code from models, we can produce a formal runnable model of software which encompasses both business logic and program control logic.","M. Noroozi; Shima Saedi; M. Taherian; Khosro Ghadipasha","2012","Canadian Conference on Computer Science & Software Engineering","10.1145/2347583.2347597","-","Include"
"Method for Determining the Level of Criticality Elements when Ensuring the Functional Stability of the System based on Role Analysis of Elements","-","H. Hnatiienko; V. Hnatiienko; Ravshanbek Zulunov; T. Babenko; Larysa Myrutenko","2024","Cybersecurity Providing in Information and Telecommunication Systems","-","2","Include"
"Domain Ontology Construction and Evaluation for the Entire Process of Software Testing","As an important part of software engineering, software testing is a knowledge-intensive work. In the process of software testing, inconsistent knowledge expression, diverse knowledge carriers, and a few experienced people have mastered most of the knowledge, which hinders the transfer and sharing of domain knowledge. Ontology is widely used in various stages of software engineering to define the semantic relationship between relevant information and knowledge. To solve the problem of knowledge silo in the process of software testing, this article forms an Entire Process Ontology on Software Testing (EPOST). EPOST covers the concepts and relationships of software testing process information, software test object information, and software defect information. The concepts and terms in the ontology are extracted from ISTQB, SWEBOK, IEEE std.829-2008 standard, and IEEE std.610.12-1990 standard. We adopt a comprehensive ontology construction method based on Dev. 101 method and Methontology method. The developed ontology is successfully evaluated by using validation and verification tests. Ontology verification uses an improved FOCA evaluation method by adding a cohesion metric. The evaluation result infers that EPOST has a high quality of ontology and good domain coverage, and achieves the purpose of ontology construction. Finally, we make a case study on the role of EPOST in software testing process. The results show that ontology-based application in the software testing process can promote the sharing and transmission of domain knowledge, and improve the testing process and testing quality.","Zhe Sun; Chi Hu; Chunlei Li; Linbo Wu","2020","IEEE Access","10.1109/access.2020.3037188","11","Include"
"Knowledge Management in Software Testing: A Systematic Snowball Literature Review","Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core processes and attain the benefits that it provides in terms of cost, quality, etc. Aim: To investigate the usage and implementation of KM for software testing. The major objectives include 1. To identify various software testing aspects that receive more attention while applying KM. 2. To analyse multiple software testing techniques, i.e. test design, test execution and test result analysis and highlight KM involvement in these. 3. To gather challenges faced by industry due to the lack of KM initiatives in software testing. Method: A Systematic Literature Review (SLR) was conducted utilizing the guidelines for snowballing reviews by Wohlin. The identified studies were analysed in relation to their rigor and relevance to assess the quality of the results. Results: The initial resulting set provided 4832 studies. From these, 35 peer-reviewed papers were chosen among which 31 are primary, and 4 are secondary studies. The literature review results indicated nine testing aspects being in focus when applying KM within various adaptation contexts and some benefits from KM application. Several challenges were identified, e.g., improper selection and application of better-suited techniques, a low reuse rate of software testing knowledge, barriers in software testing knowledge transfer, no possibility to quickly achieve the most optimum distribution of human resources during testing, etc. Conclusions: The study brings supporting evidence that the application of KM in software testing is necessary, e.g., to increase test effectiveness, select and apply testing techniques. The study outlines the testing aspects and testing techniques that benefit their users.","K. Wnuk; Thrinay Garrepalli","2018","e-Informatica Software Engineering Journal","10.5277/e-inf180103","35","Include"
"Modelo de gestión de conocimiento aplicado a las pruebas de software","Las pruebas de software son una actividad intensiva en conocimiento y relevante para asegurar la calidad del producto de software. Por otro lado, la gestion de conocimiento es una disciplina transversal en las organizaciones que contribuye al aprendizaje organizacional y a la mejora continua de los procesos. A nivel academico y empresarial, existen varias iniciativas para articular la gestion del conocimiento a las pruebas de software, siendo la adopcion de estas practicas costosas y con largos periodos de implementacion, y en algunos casos, el esfuerzo invertido resulta infructuoso. Partiendo que el individuo es el principal dinamizador de cualquier estrategia para gestionar el conocimiento, las organizaciones intensivas en conocimiento deben ser analizadas como un sistema multicapa que integran tres niveles individual, grupal y organizacional. En consecuencia, en esta tesis se presenta un modelo de gestion de conocimiento que articula las practicas y actividades de las pruebas de software desde una estrategia individual basada en los principios de mejora continua y aprendizaje organizacional. El modelo se soporta en la definicion de un proceso de prueba personal basado en conocimiento (PTPk) que instancia la estructura e intencionalidad del proceso de software personal (PSP) e integra practicas de calidad a traves del aprendizaje basado en experiencias que inciden en la cultura y la conducta del profesional de pruebas de software.","D. Duran","2018","-","-","1","Include"
"Aplicación de la Gestión de Conocimiento al proceso de pruebas de software Applying Knowledge Management to the software testing process","-","D. Duran; Adriana Xiomara Reyes Gamboa; J. Builes","2017","-","-","-","Include"
