DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1111/caim.12525,Big data and innovative organizational performance: Evidence from a moderated-mediated model,"Mahmut Demir, Şirvan Şen Demir, Emre Yaşar, Mahmut Demir, Şirvan Şen Demir, Emre Yaşar",Creativity and Innovation Management,2022,"Big data in hotels is crucial in new business models, processes and methods for improving innovative organizational performance. This study investigates how big data and its sharing directly impact innovative organizational performance through big data analytics capabilities. Research data collected from 438 participants at 36 five-star hotels were analysed using structural equation models. The analysis found that using and sharing big data in hotels directly affects big data analytics capabilities and innovative organizational performance. Furthermore, analytical capacities mediate between using and sharing big data and creative organizational performance. These results have some theoretical and practical implications.",251535889,11,100,,
10.29407/intensif.v8i1.22058,Unveiling Insights: A Knowledge Discovery Approach to Comparing Topic Modeling Techniques in Digital Health Research,"Siti Rohajawati, Puji Rahayu, Afny Tazkiyatul Misky, Khansha Nafi Rasyidatus Sholehah, Normala Rahim, R.R. Hutanti Setyodewi",INTENSIF: Jurnal Ilmiah Penelitian dan Penerapan Teknologi Sistem Informasi,2024,"This paper introduces a knowledge discovery approach focused on comparing topic modeling techniques within the realm of digital health research. Knowledge discovery has been applied in massive data repositories (databases) and also in various field studies, which use these techniques for finding patterns in the data, determining which models and parameters might be suitable, and looking for patterns of interest in a specific representational. Unfortunately, the investigation delves into the utilization of Latent Dirichlet Allocation (LDA) and Pachinko Allocation Models (PAM) as generative probabilistic models in knowledge discovery, which is still limited. The study's findings position PAM as the superior technique, showcasing the greatest number of distinctive tokens per topic and the fastest processing time. Notably, PAM identifies 87 unique tokens across 10 topics, surpassing LDA Gensim's identification of only 27 unique tokens. Furthermore, PAM demonstrates remarkable efficiency by swiftly processing 404 documents within an incredibly short span of 0.000118970870 seconds, in contrast to LDA Gensim's considerably longer processing time of 0.368770837783 seconds. Ultimately, PAM emerges as the optimum method for digital health research's topic modeling, boasting unmatched efficiency in analyzing extensive digital health text data.",269438574,5,40,,
10.1109/icaccs57279.2023.10112828,A Critical Analysis of the Block Chain in Manufacturing System Implementation,"G. Gokilakrishnan, D. Prabha, S. Srinivasan, S. Thirumurugaveerakumar, Vigneshkumar M, A. H",2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS),2023,"As component of the industry 4.0 project, a novel concept of Cyber-Physical Systems (CPS), fog computing, big data analytics, cloud manufacturing, the Internet of Things (IoT), and other technologies have been brought to the manufacturing sector. Some of the projected benefits and possibilities that these innovations might provide include self-prediction, self-maintenance, self-comparison, self-configuration, and self-awareness. In these concepts, the centralised corporate system and third-party trust operations are still in use. However, contemporary manufacturing has a slew of problems, including data security and reliability, adaptability, security, trust, and privacy. This paper provides an analysis of the Blockchain Technology (BT), reviews the application of blockchain in Artificial Intelligence (AI), proposes a model for blockchain-enabled CPS and discusses the potential challenges that face the implementation of blockchain in manufacturing systems.",260770016,5,27,,
10.1177/02666669241257188,Challenges and strategies for open access in South Africa: A knowledge management approach,"Kwame Kodua-Ntim, Madeleine C. Fombad",Information Development,2024,"This paper explores the challenges of open access in South Africa and draws from knowledge management concepts and principles to suggest strategies to enhance open access. A comprehensive analysis of the existing literature was undertaken to address these challenges. A systematic review was undertaken to address the obstacles associated with open access using a well-defined search protocol. Some of the challenges were limited funding, inequality in access to technology, limited awareness, resistance from publishers, copyright issues, and lack of infrastructure. The article suggests that knowledge management initiatives such as knowledge awareness of open access, knowledge sharing, leadership, rewards and incentives, and a positive culture will enhance open access.",271912401,3,28,,
10.34190/eckm.24.1.1811,Learning Problems in a Remote Working Situation: A Generation Z Perspective,Anna Albrychiewicz-Słocińska,European Conference on Knowledge Management,2023,"The transformations on the labour market related to the work modes, but also to the fact of new pension arrangements allowing early retirement, as well as the massive entry of the youngest generation of workers, known as generation Z, into the labour market, create numerous risks related to the irreversible loss of organisational knowledge, which cannot be replaced by external knowledge. New challenges that appear in modern companies are also connected with the massive implementation of remote work as a result of COVID pandemic. In these circumstances knowledge management and particularly knowledge transfer from employee to employee faced with new obstacles. In the context of the outlined econo-socio-demographic changes, the author of this paper focuses her analysis on answering the question of how remote working influences selected aspects of learning processes in organisations as experienced by Generation Z. The research was conducted in December 2022 on a sample of the Generation Z representatives with the aim to identify their experiences and opinions about the remote type of work. For the research purposes, the Likert scale-based questionnaire technique was applied. The data was analysed in the STATISTICA program using Kruskal-Wallis ANOVA on ranks test, Mann-Whitney test, and the Pearson's chi-square test. The results of the research reveal interesting dependencies between the respondents’ opinions and variables such as gender, the industry in which the remote work was conducted, size of the organisation, experience in remote working and the preferred form of work in the future.",265046623,2,32,,
10.52466/ijamb.v6i1.121,Managing Knowledge for Pharma and Biotech Innovation,"Sophia Cavicchioli, Leonardo Miziara, Camila Pinheiro, Hernane da Silva Barud, Cibele Coury",International Journal of Advances in Medical Biotechnology - IJAMB,2024,"Knowledge Management (KM) involves a deliberate and systematic organization of people, processes, structure, and technology with the main objective of creating value for innovation from the reuse of data and information. Although there are several models for KM in various types of organizations, there is nothing concrete to integrate the knowledge generated in collaborative University-Industry projects. This work aimed to gather elements for the creation of a sustainable model of effective articulation in this scenario. It is a strategic action that can bring benefits of intellectual, economic, and social impact. This research used different instruments: systematic mapping, questionnaires, and experience reports. The mapping highlighted the need to consider the following aspects for the development of KM models: collaborative/competitive arrangements, tacit/explicit knowledge managers and change screening. The questionnaire and report demonstrated that the challenges go beyond aspects such as data organization. They must prioritize the social aspect of knowledge sharing, using safe coordination to prevent misconduct.",276870395,1,24,,
10.35784/acs-2024-11,KNOWLEDGE MANAGEMENT APPROACH IN COMPARATIVE STUDY OF AIR POLLUTION PREDICTION MODEL,"Siti Rohajawati, RR Hutanti Setyodewi, Ferryansyah Muji Agustian TRESNANTO, Debora MARIANTHI, Maruli Tua Baja Sihotang",Applied Computer Science (Bielsko-Biała),2024,"This study utilizes knowledge management (KM) to highlight a documentation-centric approach that is enhanced through artificial intelligence. Knowledge management can improve the decision-making process for predicting models that involved datasets, such as air pollution. Currently, air pollution has become a serious global issue, impacting almost every major city worldwide. As the capital and a central hub for various activities, Jakarta experiences heightened levels of activity, resulting in increased vehicular traffic and elevated air pollution levels. The comparative study aims to measure the accuracy levels of the naïve bayes, decision trees, and random forest prediction models. Additionally, the study uses evaluation measurements to assess how well the machine learning performs, utilizing a confusion matrix. The dataset’s duration is three years, from 2019 until 2021, obtained through Jakarta Open Data. The study found that the random forest achieved the best results with an accuracy rate of 94%, followed by the decision tree at 93%, and the naïve bayes had the lowest at 81%. Hence, the random forest emerges as a reliable predictive model for prediction of air pollution.",270992413,1,3,,
10.1007/s12065-025-01047-5,Machine learning methodologies: history and challenges,"Cecilia-Irene Loeza-Mejía, Eddy Sánchez-DelaCruz, Irahan Otoniel José Guzmán",Evolutionary Intelligence,2025,(missing abstract),287249309,1,206,,
10.1016/j.digbus.2025.100132,The interplay between business analytics capabilities and decision-making performance in Indonesia's public sector,"Ikhsan A. Fattah, Harjanto Prabowo, Viany Utami Tjhin, Rano Kartono Rahim",Digital Business,2025,(missing abstract),287787488,1,122,,
10.1145/3701625.3701652,Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,"Daniela dos Santos Alves, Deivid José Smek, Érica Ferreira de Souza, K. Felizardo, N. L. Vijaykumar",Proceedings of the XXIII Brazilian Symposium on Software Quality,2024,"Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.",282731425,0,45,,
