oci,citing,cited,creation,timespan,journal_sc,author_sc
06320175841-061103131093,10.1002/rhc3.12270,10.1016/j.infsof.2022.106908,2023-05-07,P0Y10M,no,no
06204745688-061103131093,10.59899/eco-inno-c3,10.1016/j.infsof.2022.106908,2024-07-31,P2Y0M,no,no
062304355676-061103131093,10.1109/eiecs59936.2023.10435574,10.1016/j.infsof.2022.106908,2023-09-22,P1Y2M,no,no
06803849751-061103131093,10.1016/j.jclepro.2022.133805,10.1016/j.infsof.2022.106908,2022-11,P0Y4M,no,no
06010973750-061103131093,10.1007/978-3-032-04200-2_29,10.1016/j.infsof.2022.106908,2025-09-09,P3Y2M,no,yes
06430141745-061103131093,10.3390/s23094259,10.1016/j.infsof.2022.106908,2023-04-25,P0Y9M,no,no
0642086189-061103131093,10.3390/agriengineering5010006,10.1016/j.infsof.2022.106908,2023-01-09,P0Y6M,no,no
06503977548-061103131093,10.33736/jcshd.4745.2022,10.1016/j.infsof.2022.106908,2022-09-29,P0Y2M,no,no
06270479882-061103131093,10.1097/nor.0000000000001059,10.1016/j.infsof.2022.106908,2024-09,P2Y2M,no,no
06011074262-061103131093,10.1007/s10661-025-14157-5,10.1016/j.infsof.2022.106908,2025-06-05,P2Y11M,no,no
061504270632-061103131093,10.33141/po.2023.04.02,10.1016/j.infsof.2022.106908,2023-12-30,P1Y5M,no,no
0606807156-061103131093,10.1093/iwc/iwaf001,10.1016/j.infsof.2022.106908,2025-02-01,P2Y7M,no,no
06280564440-061103131093,10.1108/mrr-05-2023-0377,10.1016/j.infsof.2022.106908,2023-11-22,P1Y4M,no,no
06011382994-061103131093,10.5753/jserd.2025.3696,10.1016/j.infsof.2022.106908,2025-04-14,P2Y9M,no,no
0604980948-061103131093,10.1016/j.cbrev.2024.100183,10.1016/j.infsof.2022.106908,2025-03,P2Y8M,no,no
062104201725-061103131093,10.3389/ffgc.2024.1322087,10.1016/j.infsof.2022.106908,2024-02-28,P1Y7M,no,no
0604997043-061103131093,10.1145/3641554.3701904,10.1016/j.infsof.2022.106908,2025-02-12,P2Y7M,no,no
0607198786-061103131093,10.1016/j.rser.2025.115520,10.1016/j.infsof.2022.106908,2025-05,P2Y10M,no,no
06104738100-061103131093,10.3390/polym16050689,10.1016/j.infsof.2022.106908,2024-03-03,P1Y8M,no,no
06410191288-061103131093,10.1016/j.scitotenv.2023.166611,10.1016/j.infsof.2022.106908,2023-12,P1Y5M,no,no
06370193938-061103131093,10.3390/su15021634,10.1016/j.infsof.2022.106908,2023-01-13,P0Y6M,no,no
06012326015-061103131093,10.3390/ijerph22040595,10.1016/j.infsof.2022.106908,2025-04-10,P2Y9M,no,no
06804790418-061103131093,10.1016/j.exis.2024.101552,10.1016/j.infsof.2022.106908,2024-12,P2Y5M,no,no
0609038251-061103131093,10.1016/j.ijnurstu.2025.105103,10.1016/j.infsof.2022.106908,2025-08,P3Y1M,no,no
062304366454-061103131093,10.1016/j.infsof.2024.107586,10.1016/j.infsof.2022.106908,2025-01,P2Y6M,yes,no
0606193174-061103131093,10.1016/j.erss.2025.103938,10.1016/j.infsof.2022.106908,2025-03,P2Y8M,no,no
06010777819-061103131093,10.2196/preprints.79762,10.1016/j.infsof.2022.106908,2025-06-27,P2Y11M,no,no
06012520635-061103131093,10.1111/cen.70042,10.1016/j.infsof.2022.106908,2025-09-25,P3Y2M,no,no
061804266293-061103131093,10.5753/webmedia.2024.241929,10.1016/j.infsof.2022.106908,2024-10-14,P2Y3M,no,no
0609396867-061103131093,10.1016/j.ejmp.2025.105037,10.1016/j.infsof.2022.106908,2025-08,P3Y1M,no,no
062604247676-061103131093,10.1007/978-3-031-50590-4_21,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
062204378105-061103131093,10.1109/access.2024.3471428,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
0609398768-061103131093,10.1007/s11301-025-00541-5,10.1016/j.infsof.2022.106908,2025-07-07,P3Y0M,no,no
06304870704-061103131093,10.2139/ssrn.4950029,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
06403876457-061103131093,10.1109/access.2022.3200694,10.1016/j.infsof.2022.106908,2022,P0Y,no,no
06330605102-061103131093,10.1007/s10462-024-10902-3,10.1016/j.infsof.2022.106908,2024-08-17,P2Y1M,no,no
061204270568-061103131093,10.1080/09644016.2024.2372236,10.1016/j.infsof.2022.106908,2024-06-27,P1Y11M,no,no
06011748697-061103131093,10.1080/26410397.2025.2520682,10.1016/j.infsof.2022.106908,2025-08,P3Y1M,no,no
06012397903-061103131093,10.5753/sbsi.2025.245959,10.1016/j.infsof.2022.106908,2025-05-19,P2Y10M,no,no
0605108412-061103131093,10.1007/978-981-97-8681-7_3,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
06104830595-061103131093,10.48058/urms/81.2024.1,10.1016/j.infsof.2022.106908,2024-06-28,P1Y11M,no,no
06012502987-061103131093,10.3390/su17093912,10.1016/j.infsof.2022.106908,2025-04-26,P2Y9M,no,no
06104820062-061103131093,10.1109/comsci59259.2023.10315829,10.1016/j.infsof.2022.106908,2023-09-18,P1Y2M,no,no
0607005780-061103131093,10.1016/j.pdisas.2025.100405,10.1016/j.infsof.2022.106908,2025-01,P2Y6M,no,no
06504806504-061103131093,10.3389/fcimb.2024.1431660,10.1016/j.infsof.2022.106908,2024-06-27,P1Y11M,no,no
06330502290-061103131093,10.1145/3630106.3658990,10.1016/j.infsof.2022.106908,2024-06-03,P1Y11M,no,no
0606060188-061103131093,10.1016/j.erss.2025.104036,10.1016/j.infsof.2022.106908,2025-05,P2Y10M,no,no
061104413679-061103131093,10.1061/9780784485286.052,10.1016/j.infsof.2022.106908,2024-03-18,P1Y8M,no,no
0609037848-061103131093,10.1007/s40279-025-02228-z,10.1016/j.infsof.2022.106908,2025-05-03,P2Y10M,no,no
061104344107-061103131093,10.38124/ijisrt/ijisrt24sep312,10.1016/j.infsof.2022.106908,2024-09-19,P2Y2M,no,no
0607915452-061103131093,10.1016/j.jss.2024.112280,10.1016/j.infsof.2022.106908,2025-04,P2Y9M,no,no
061904436885-061103131093,10.1016/j.jestch.2024.101792,10.1016/j.infsof.2022.106908,2024-08,P2Y1M,no,no
06012203137-061103131093,10.1145/3745019,10.1016/j.infsof.2022.106908,2025-09-10,P3Y2M,no,no
06804787149-061103131093,10.1093/dote/doae063,10.1016/j.infsof.2022.106908,2024-08-14,P2Y1M,no,no
06010121525-061103131093,10.1177/00846724251329350,10.1016/j.infsof.2022.106908,2025-04-03,P2Y9M,no,no
06012881347-061103131093,10.1016/bs.irrdd.2025.07.002,10.1016/j.infsof.2022.106908,2025,P2Y,no,no
06904250985-061103131093,10.1145/3623762.3633499,10.1016/j.infsof.2022.106908,2023-12-22,P1Y5M,no,no
061403816835-061103131093,10.1016/j.fhfh.2023.100146,10.1016/j.infsof.2022.106908,2023-12,P1Y5M,no,no
06290153400-061103131093,10.1016/j.jclepro.2023.137974,10.1016/j.infsof.2022.106908,2023-09,P1Y2M,no,no
06010885932-061103131093,10.1016/j.fochx.2025.103009,10.1016/j.infsof.2022.106908,2025-10,P3Y3M,no,no
06350504359-061103131093,10.1186/s12916-024-03471-3,10.1016/j.infsof.2022.106908,2024-06-24,P1Y11M,no,no
06204691217-061103131093,10.1145/3630106.3658939,10.1016/j.infsof.2022.106908,2024-06-03,P1Y11M,no,no
06104753755-061103131093,10.1007/s00423-024-03507-5,10.1016/j.infsof.2022.106908,2024-10-21,P2Y3M,no,no
0605285035-061103131093,10.1177/08854122251330207,10.1016/j.infsof.2022.106908,2025-03-28,P2Y8M,no,no
0605816841-061103131093,10.1145/3702038.3702092,10.1016/j.infsof.2022.106908,2024-10-07,P2Y3M,no,no
0608710853-061103131093,10.1016/j.ssci.2025.106995,10.1016/j.infsof.2022.106908,2025-12,P3Y5M,no,no
06204707645-061103131093,10.3389/fcosc.2024.1383370,10.1016/j.infsof.2022.106908,2024-09-27,P2Y2M,no,no
062503937146-061103131093,10.1109/access.2023.3312716,10.1016/j.infsof.2022.106908,2023,P0Y,no,no
061603813931-061103131093,10.1007/s12144-023-05094-y,10.1016/j.infsof.2022.106908,2023-08-21,P1Y1M,no,no
06310481073-061103131093,10.1002/ldr.4964,10.1016/j.infsof.2022.106908,2023-10-30,P1Y3M,no,no
06290485089-061103131093,10.1007/978-3-031-52272-7_1,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
061804322735-061103131093,10.12688/f1000research.151493.1,10.1016/j.infsof.2022.106908,2024-06-20,P1Y11M,no,no
06904424195-061103131093,10.1080/01924788.2024.2343605,10.1016/j.infsof.2022.106908,2024-05-13,P1Y10M,no,no
0607793102-061103131093,10.1136/bmjopen-2024-087539,10.1016/j.infsof.2022.106908,2025-02,P2Y7M,no,no
0606281136-061103131093,10.18553/jmcp.2025.31.1.69,10.1016/j.infsof.2022.106908,2025-01,P2Y6M,no,no
06012060342-061103131093,10.1016/j.jclepro.2025.146018,10.1016/j.infsof.2022.106908,2025-08,P3Y1M,no,no
0609953178-061103131093,10.1002/rev3.70070,10.1016/j.infsof.2022.106908,2025-06-18,P2Y11M,no,no
062304240155-061103131093,10.1016/j.procir.2023.09.224,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
062204355532-061103131093,10.3389/fpsyt.2024.1303847,10.1016/j.infsof.2022.106908,2024-02-16,P1Y7M,no,no
061404237540-061103131093,10.1007/978-3-031-54256-5_12,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
06011833270-061103131093,10.1016/j.landusepol.2025.107697,10.1016/j.infsof.2022.106908,2025-11,P3Y4M,no,no
0606209770-061103131093,10.1016/j.jclepro.2025.144831,10.1016/j.infsof.2022.106908,2025-02,P2Y7M,no,no
061104360903-061103131093,10.1108/ijopm-04-2023-0270,10.1016/j.infsof.2022.106908,2023-12-19,P1Y5M,no,no
061604177133-061103131093,10.36680/j.itcon.2024.031,10.1016/j.infsof.2022.106908,2024-09-29,P2Y2M,no,no
06011461632-061103131093,10.1109/wsese66602.2025.00015,10.1016/j.infsof.2022.106908,2025-05-03,P2Y10M,no,no
06340172613-061103131093,10.1016/j.tust.2023.105332,10.1016/j.infsof.2022.106908,2023-10,P1Y3M,no,no
06320481342-061103131093,10.18553/jmcp.2024.30.9.1041,10.1016/j.infsof.2022.106908,2024-09,P2Y2M,no,no
0609062794-061103131093,10.1016/j.cesys.2025.100318,10.1016/j.infsof.2022.106908,2025-09,P3Y2M,no,no
06280474030-061103131093,10.1111/jocn.17424,10.1016/j.infsof.2022.106908,2024-09-30,P2Y2M,no,no
0605938801-061103131093,10.1176/appi.psychotherapy.20240008,10.1016/j.infsof.2022.106908,2025-02-20,P2Y7M,no,no
