Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Katia Romero; Vijaykumar, Nandamudi L; ",Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,Proceedings of the XXIII Brazilian Symposium on Software Quality,,,125-135,2024,
"Hyun, Santiago; Hurtado, Julio Ariel; ",Traceability of architectural design decisions and software artifacts: A systematic mapping study,Foundations of Computing and Decision Sciences (FCDS),48,4,401-423,2023,
"Stadler, Felix; ","A natural language approach for interacting with software architecture knowledge/Author Ing. Felix Stadler, BSc",,,,,2025,
"Yang, Lan; Cormican, Kathryn; Yu, Ming; ",Ontology-based systems engineering: A state-of-the-art review,Computers in Industry,111,,148-171,2019,Elsevier
"Osman, Mohamad Amin; Noah, Shahrul Azman Mohd; Saad, Saidah; ",Ontology-based knowledge management tools for knowledge sharing in organization—a review,IEEE access,10,,43267-43283,2022,IEEE
"Yan, Dengying; Zheng, Qiguang; Chang, Kai; Hua, Rui; Liu, Yiming; Xue, Jingyan; Shu, Zixin; Hu, Yunhui; Yang, Pengcheng; Wei, Yu; ","Artificial intelligence in traditional Chinese medicine: from systems biological mechanism discovery, real-world clinical evidence inference to personalized clinical decision support",Chinese Journal of Natural Medicines,23,11,1310-1328,2025,Elsevier
"Yang, Lan; Cormican, Kathryn; Yu, Ming; ",Ontology learning for systems engineering body of knowledge,IEEE Transactions on Industrial Informatics,17,2,1039-1047,2020,IEEE
"BV, Krishna; Mohan, Prakash; Dede, Tayfun; ",An Efficient Ontology‐Based Semantic Interoperability Using MSGO‐RNN in Cloud Computing.,Journal of Optimization,2024,,,2024,
"Patalas-Maliszewska, Justyna; ",Managing manufacturing knowledge in Europe in the era of Industry 4.0,,,,,2022,Routledge
"Rappl, Maximilian; Bergmann, Max Luca; Fay, Alexander; ","Formalization of a Product-Process-Resource Model within Aircraft Component Maintenance, Repair, and Overhaul",2023 IEEE 21st International Conference on Industrial Informatics (INDIN),,,1-7,2023,IEEE
"Al-Bayati, Zaid Jafer Fadi; ",Coupling ontology with reference architectures to facilitate the instantiation process of software system architectures,,,,,2019,University of Salford (United Kingdom)
"료이잉; 류광열; ",스마트 제조환경에서의 온톨로지 기반 지식관리 활용,대한산업공학회 추계학술대회 논문집,,,615-622,2024,
"León, Marlena; Ruiz-Carrera, Juan Carlos; ",Sistema Autónomo Colaborativo de Recuperación de Información,Revista Ibérica de Sistemas e Tecnologias de Informação,,E23,134-144,2019,Associação Ibérica de Sistemas e Tecnologias de Informacao
"Юрчишина, МВ; ",ОНТОЛОГИЧЕСКАЯ МОДЕЛЬ УЧЕБНОГО ПЛАНА КАК ПРЕДПРОЕКТНАЯ ПОДГОТОВКА СППР,"Инновационные, информационные и коммуникационные технологии",,,135-139,2022,
"Юрчишина, МВ; ",ОНТОЛОГИЧЕСКАЯ МОДЕЛЬ УЧЕБНОЙ ДИСЦИПЛИНЫ МАТЕМАТИЧЕСКОГО МОДУЛЯ,"Инновационные, информационные и коммуникационные технологии",,,89-93,2020,
"Юрчишина, Мария Владимировна; ",ПОВЫШЕНИЕ КАЧЕСТВА ПРОВЕРОЧНЫХ ЗАДАНИЙ С ПОМОЩЬЮ ОНТОЛОГИИ В МАТЕМАТИЧЕСКИХ ДИСЦИПЛИНАХ,ЦИФРОВОЕ ОБРАЗОВАНИЕ. XXI ВЕК,,,33-36,2020,
