oci,citing,cited,creation,timespan,journal_sc,author_sc
06430121835-061202921592,10.1109/icse-companion58688.2023.00106,10.1109/cesi.2013.6618469,2023-05,P10Y0M,no,no
061602535615-061202921592,10.1109/cesi.2015.12,10.1109/cesi.2013.6618469,2015-05,P2Y0M,no,no
062303556220-061202921592,10.1145/3540250.3560883,10.1109/cesi.2013.6618469,2022-11-07,P9Y6M,no,no
0608692107-061202921592,10.1109/seigs66664.2025.00017,10.1109/cesi.2013.6618469,2025-05-03,P12Y0M,no,no
061302486034-061202921592,10.1109/icst.2016.7,10.1109/cesi.2013.6618469,2016-04,P2Y11M,no,no
062203921181-061202921592,10.1109/access.2023.3313975,10.1109/cesi.2013.6618469,2023,P9Y,no,no
06602949352-061202921592,10.1109/swan.2015.7070489,10.1109/cesi.2013.6618469,2015-03,P1Y10M,no,no
061803832426-061202921592,,10.1109/cesi.2013.6618469,2015,P1Y,no,no
06280532878-061202921592,10.29121/shodhkosh.v5.i2.2024.2313,10.1109/cesi.2013.6618469,2024-02-29,P10Y9M,no,no
0610441950-061202921592,10.1080/14778238.2020.1789002,10.1109/cesi.2013.6618469,2020-07-07,P7Y2M,no,no
062202963506-061202921592,10.1145/3463274.3463338,10.1109/cesi.2013.6618469,2021-06-21,P8Y1M,no,no
061502644423-061202921592,10.1007/978-3-319-12883-2_28,10.1109/cesi.2013.6618469,2014-11-30,P1Y6M,no,no
062103923686-061202921592,10.23919/cisti58278.2023.10211674,10.1109/cesi.2013.6618469,2023-06-20,P10Y1M,no,no
061602466929-061202921592,10.1109/cesi.2017.6,10.1109/cesi.2013.6618469,2017-05,P4Y0M,no,no
062502417813-061202921592,10.1007/978-3-319-30243-0_5,10.1109/cesi.2013.6618469,2016,P2Y,no,no
06503317997-061202921592,10.1145/2593690.2593694,10.1109/cesi.2013.6618469,2014,P0Y,no,no
06604281116-061202921592,10.5281/zenodo.4327725,10.1109/cesi.2013.6618469,2020-12-16,P7Y7M,no,no
06203068912-061202921592,10.1007/s13198-019-00899-2,10.1109/cesi.2013.6618469,2019-10-28,P6Y5M,no,no
06203566214-061202921592,10.1109/icccs51487.2021.9776343,10.1109/cesi.2013.6618469,2021-10-04,P8Y5M,no,no
061602347883-061202921592,10.1145/3193965.3193970,10.1109/cesi.2013.6618469,2018-05-28,P5Y0M,no,no
062301003490-061202921592,10.1007/s11219-016-9319-5,10.1109/cesi.2013.6618469,2016-06-01,P3Y1M,no,no
06902098978-061202921592,10.1007/978-3-030-29029-0_19,10.1109/cesi.2013.6618469,2019-08-15,P6Y3M,no,no
06240440642-061202921592,10.3390/s22114149,10.1109/cesi.2013.6618469,2022-05-30,P9Y0M,no,no
0605231341-061202921592,10.29121/shodhkosh.v5.i1.2024.2313,10.1109/cesi.2013.6618469,2024-06-30,P11Y1M,no,no
061103131093-061202921592,10.1016/j.infsof.2022.106908,10.1109/cesi.2013.6618469,2022-07,P9Y2M,no,yes
06501939392-061202921592,10.1109/saner.2016.114,10.1109/cesi.2013.6618469,2016-03,P2Y10M,no,no
06602716232-061202921592,10.1145/3195546.3195548,10.1109/cesi.2013.6618469,2018-05-29,P5Y0M,no,no
061401030467-061202921592,10.1007/s10664-018-9670-1,10.1109/cesi.2013.6618469,2019-02-12,P5Y9M,no,no
061302280013-061202921592,10.1109/cesser-ip.2019.00011,10.1109/cesi.2013.6618469,2019-05,P6Y0M,no,no
061203428076-061202921592,10.1007/978-3-031-14343-4_20,10.1109/cesi.2013.6618469,2022,P8Y,no,no
062502435000-061202921592,10.1007/978-3-319-31545-4_12,10.1109/cesi.2013.6618469,2016,P2Y,no,no
061102373405-061202921592,10.4018/978-1-6684-3702-5.ch079,10.1109/cesi.2013.6618469,2022,P8Y,no,no
06301864373-061202921592,10.4018/978-1-7998-3476-2.ch027,10.1109/cesi.2013.6618469,2021,P7Y,no,no
0690439671-061202921592,10.1007/s00766-015-0237-z,10.1109/cesi.2013.6618469,2015-08-22,P2Y3M,no,no
061402112463-061202921592,10.1007/s11192-015-1663-x,10.1109/cesi.2013.6618469,2015-08-12,P2Y3M,no,no
061802351200-061202921592,10.1109/esem.2017.28,10.1109/cesi.2013.6618469,2017-11,P4Y6M,no,no
062301003484-061202921592,10.1007/s11219-016-9322-x,10.1109/cesi.2013.6618469,2016-06-28,P3Y1M,no,no
062204386277-061202921592,10.4018/979-8-3693-1467-8.ch007,10.1109/cesi.2013.6618469,2024-06-21,P11Y1M,no,no
061602534781-061202921592,10.1109/cesi.2015.10,10.1109/cesi.2013.6618469,2015-05,P2Y0M,no,no
061603455732-061202921592,10.1007/s10639-022-11276-1,10.1109/cesi.2013.6618469,2022-08-15,P9Y3M,no,no
06701878780-061202921592,10.4018/978-1-7998-3476-2.ch028,10.1109/cesi.2013.6618469,2021,P7Y,no,no
062402469139-061202921592,10.1109/fie.2016.7757394,10.1109/cesi.2013.6618469,2016-10,P3Y5M,no,no
0609325626-061202921592,10.1109/icca65672.2025.11129770,10.1109/cesi.2013.6618469,2025-06-30,P12Y1M,no,no
06601357508-061202921592,10.1002/smr.1954,10.1109/cesi.2013.6618469,2018-05-16,P5Y0M,no,no
