Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"Awakening: Modern Challenges and Opportunities of Software Engineering Research","Software engineering research benefited for decades from openly available tools, accessible systems, and problems that could be studied at modest scale. Today, many of the most relevant software systems are large, proprietary, and embedded in industrial contexts that are difficult to access or replicate in academia. We review how the field reached this point, identify structural challenges facing contemporary research, and argue that incremental methodological refinement is insufficient. We discuss practical directions forward, including industrial PhDs, long-term industry-academia collaborations, larger research teams, moonshot projects, and changes to funding and evaluation practices.","D. Spinellis; Zoe Kotti","2026","ArXiv.org","10.1145/3793657.3793901","-","true","https://doi.org/10.1145/3793657.3793901","Field (mathematics); Software; Engineering; Software engineering; Engineering management; Engineering ethics; Social software engineering; Replicate; Computer science; Management science","-","-","Include"
"An Advanced Process Control Application Framework: Development and Test-Bench Validation","In this paper, we present a software framework implementing Model Predictive Control (MPC), a widely adopted method in industrial automation. Designed for versatility, it operates with a range of target platforms-such as programmable logic controllers and distributed control systems. Notably, beyond its core MPC functionality, the framework supports multiple real-time simulation models, positioning it not merely as a conventional controller but also as a foundational digital twin for industrial processes. This capability facilitates a seamless transition from academic research to real-world application-an area that often proves challenging due to the gap between laboratory settings and practical industry requirements. The experimental validation on a laboratory test bench demonstrates the effectiveness of the proposed solution, underscoring its role as a bridge between academic developments and industrial implementation.","V. Vansovits; E. Petlenkov; A. Tepljakov; K. Vassiljeva","2025","2025 IEEE 19th International Conference on Control & Automation (ICCA)","10.1109/icca65672.2025.11129770","-","-","https://doi.org/10.1109/icca65672.2025.11129770","","-","-","Include"
"Challenges of Conducting Research in Software Engineering: A case of graduate students in low resource contexts","Software engineering in low-resourced countries is just gaining momentum. A considerable number of students enroll for the masters program at Makerere University in hope of achieving the successful promises that come with undertaking studies in software engineering. However, many find themselves not completing studies, especially during the research year. Based on interviews with 10 of the 24 students opting for software engineering and at different stages of research, this paper presents challenges that graduate students face while undertaking software engineering research. We find challenges relating to the technical aspects of the research being conducted as well as administrative concerns. We conclude by highlighting the need for funding and improved domain support.","Rashidah Kasauli; Hawa Nyende; Chongomweru Halimu; N. Kimbugwe","2025","2025 IEEE/ACM Symposium on Software Engineering in the Global South (SEiGS)","10.1109/seigs66664.2025.00017","-","-","https://doi.org/10.1109/seigs66664.2025.00017","","-","-","Include"
"A Survey for What Developers Require in AI-powered Tools that Aid in Component Selection in CBSD","Although it has been more than four decades that the first components-based software development (CBSD) studies were conducted, there is still no standard method or tool for component selection which is widely accepted by the industry. The gulf between industry and academia contributes to the lack of an accepted tool. We conducted a mixed methods survey of nearly 100 people engaged in component-based software engineering practice or research to better understand the problems facing industry, how these needs could be addressed, and current best practices employed in component selection. We also sought to identify and prioritize quality criteria for component selection from an industry perspective. In response to the call for CBSD component selection tools to incorporate recent technical advances, we also explored the perceptions of professionals about AI-driven tools, present and envisioned.","Mahdi Jaberzadeh Ansari; Ann Barcomb","2025","International Conference on Evaluation & Assessment in Software Engineering","10.1145/3756681.3756952","1","-","https://doi.org/10.1145/3756681.3756952","","-","-","Include"
"AN INTEGRATION OF SOFTWARE TESTING TOOLS AND TECHNIQUES WITH VISUAL GUI INTERFACE IN INDUSTRIAL PRACTICE","Software testing with visual Graphical User Interface (GUI) techniques is being done while maintaining a high level of accuracy with the ever-growing demand for speedier delivery of high-quality software, often known as ""Quality at Speed"". The use of relevant testing methodology(s) and the choice of suitable test automation tools and frameworks are two key components for a successful and efficient software testing project. A mix of numerous distinct testing processes is often necessary when testing software to make sure it is up to par; the use of a single testing method will not be sufficient. Similar to the previous point, finding the right tool combination for automated testing is difficult because no single tool can meet all of the needs. The first step in performing successful and efficient software testing is to familiarize industrial professionals with the various testing techniques, tools, and frameworks. An in-depth examination of the various test automation tools and frameworks is provided in this paper. An explanation of the various frameworks for test automation was delivered after an overview of automated testing and the categories it fits under. Finally, a brief summary of a few of the most popular automation solutions was provided, along with a comparison of those programs.","Priyanka Yadu; Bhawana Narain","2024","ShodhKosh Journal of Visual and Performing Arts","10.29121/shodhkosh.v5.i2.2024.2313","-","-","https://doi.org/10.29121/shodhkosh.v5.i2.2024.2313","","-","-","Include"
"Action Research for Industry Academia Collaboration : A replication Study","Collaboration between industry and academic communities requires considerable work but has the power to foster innovation. This relationship with joint trust promotes knowledge exchange that helps develop more qualified researchers and professionals. The Action Research (AR) method combines theory and practice, and studies involving industry-academia collaboration (IAC) have shown encouraging results. Nevertheless, further investigation is required to verify the effects of applying this method. This research investigates the perceptions of academic master’s and doctoral program students and professionals involved in projects that applied the AR method as a strategy to foster IAC. This article replicates a case study with different projects that conducted an AR in software companies. This study indicated high satisfaction among students (83%) when using action research in the course. All students considered the practical knowledge very relevant and would like to use the method again in other opportunities throughout their academic and professional life. This investigation showed that conducting IAC projects using the AR method within the industry in an educational context was challenging. That occurred due to the lack of experience in using empirical methods. Also, the professional’s unavailability delayed the results and, consequently, the activities in the project that already had a very tight schedule.","Tâmara D. Dallegrave; W. Santos","2023","Iberian Conference on Information Systems and Technologies","10.23919/cisti58278.2023.10211674","1","-","https://doi.org/10.23919/cisti58278.2023.10211674","","-","-","Include"
"Prioritizing Industrial Security Findings in Agile Software Development Projects","Automating repetitive activities is a key principle in most software development approaches employed in the industry. This implies that security activities and all related processes should be investigated for automation capabilities, particularly the management of security findings and vulnerabilities. Consid-ering the limited time available for each release and the vast flood of findings by automated security testing, prioritizing security finding responses is essential. In this paper, we present a partially automated process to prioritize security findings in industrial software development projects. We utilize a two-staged calculation process to produce a prioritization score, representing the finding's severity and factors like stakeholder input alike. This process was evaluated by conducting structured interviews with security professionals while also integrating the approach in ongoing industrial software development projects. The results indicate the potential of the process in terms of usefulness and correctness for agile software development projects.","Markus Voggenreiter; Ulrich Schöpp","2023","2023 IEEE/ACM 45th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)","10.1109/icse-companion58688.2023.00106","1","-","https://doi.org/10.1109/icse-companion58688.2023.00106","","-","-","Include"
"Exploring the under-explored terrain of non-open source data for software engineering through the lens of federated learning","The availability of open source projects on platforms like GitHub has led to the wide use of the artifacts from these projects in software engineering research. These publicly available artifacts have been used to train artificial intelligence models used in various empirical studies and the development of tools. However, these advancements have missed out on the artifacts from non-open source projects due to the unavailability of the data. A major cause for the unavailability of the data from non-open source repositories is the issue concerning data privacy. In this paper, we propose using federated learning to address the issue of data privacy to enable the use of data from non-open source to train AI models used in software engineering research. We believe that this can potentially enable industries to collaborate with software engineering researchers without concerns about privacy. We present the preliminary evaluation of the use of federated learning to train a classifier to label bug-fix commits from an existing study to demonstrate its feasibility. The federated approach achieved an F1 score of 0.83 compared to a score of 0.84 using the centralized approach. We also present our vision of the potential implications of the use of federated learning in software engineering research.","Shriram Shanbhag; S. Chimalakonda","2022","ESEC/SIGSOFT FSE","10.1145/3540250.3560883","9","-","https://doi.org/10.1145/3540250.3560883","","-","-","Include"
"An alumni-based collaborative model to strengthen academia and industry partnership: The current challenges and strengths","-","R. Malhotra; M. Massoudi; Rajni Jindal","2022","Education and Information Technologies : Official Journal of the IFIP technical committee on Education","10.1007/s10639-022-11276-1","27","false","https://doi.org/10.1007/s10639-022-11276-1","General partnership; Internship; Promotion (chess); Public relations; Curriculum; Work (physics); Higher education; Product (mathematics); Business; Marketing","en","27","Include"
"Bridging the Gap in Technology Transfer for Advanced Process Control with Industrial Applications","In the present paper, a software framework comprising the implementation of Model Predictive Control—a popular industrial control method—is presented. The framework is versatile and can be run on a variety of target systems including programmable logic controllers and distributed control system implementations. However, the main attractive property of the framework stems from the goal of achieving smooth technology transfer from the academic setting to real industrial applications. Technology transfer is, in general, difficult to achieve, because of the apparent disconnect between academic studies and actual industry. The proposed software framework aims at bridging this gap for model predictive control—a powerful control technique which can result in substantial performance improvement of industrial control loops, thus adhering to modern trends for reducing energy waste and fulfilling sustainable development goals. In the paper, the proposed solution is motivated and described, and experimental evidence of its successful deployment is provided using a real industrial plant.","V. Vansovits; E. Petlenkov; A. Tepljakov; K. Vassiljeva; J. Belikov","2022","Italian National Conference on Sensors","10.3390/s22114149","7","-","https://doi.org/10.3390/s22114149","","-","-","Include"
