Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Enhancing Decision-Making of Data-Driven Culture: A Vital Turning Point for the Success of Strategic Transformation in Public Sectors","Greater use of business analytics (BA) does not necessarily lead to improved performance unless a data-driven culture (DDC) is embedded throughout the structures and resources within the organization’s work environment. Several studies have shown the transformative power of data to provide actionable insights. However, limited research examines how organizational culture, skills, and knowledge influence the value creation of strategic BA initiatives and whether these factors complement BA complements. To address this gap, this study integrates the literature on DDC, data literacy skills (DLS), knowledge management (KM), and decision-making to explore their interrelationships. Using a quantitative approach, data were collected from 220 experienced managers (administrators and supervisors) directly involved in BA activities within Indonesian public service organizations. Structural equation modeling (SEM) was chosen for data analysis, and SmartPLS 4.0 was used to analyze the research model. The results reveal that DDC, DLS, and KM significantly enhance business analytics capabilities (BAC). While DLS and KM mediate the relationship between DDC and BAC, DDC alone does not directly impact decision-making performance (DMP). Instead, BAC mediates the relationship between DDC and DMP, highlighting the relationship between these factors. By focusing on the public sector, this study highlights how BA serves as a bridge between the visionary potential of data and tangible organizational impacts. This paves the way for successful data-driven transformation and future strategic advantages.","Ikhsan A. Fattah; Harjanto Prabowo; V. U. Tjhin; Rano Kartono Rahim","2026","WSEAS Transactions on Environment and Development","10.37394/232015.2026.22.1","-","Include"
"A model for evaluating how well disaster knowledge management systems work to disseminate information about mitigating the effects of natural disasters","With climate change and global warming currently affecting the Indonesian archipelago, the threat of disasters, both small and large, is a constant. This demonstrates Indonesia’s vulnerability to disasters such as earthquakes, tsunamis, volcanic eruptions, floods, droughts, landslides, and other geological hazards. In conjunction with the 2030 Sustainable Development Agenda, which includes 17 Sustainable Development Goals (SDGs), the SDGs will guide the achievement of the global goal of sustainable development by 2030. This research is crucial because it is based on the development of a model to evaluate the effectiveness of public information distribution regarding natural disaster mitigation. Through the implementation of a Knowledge Management System, the dissemination of autonomous disaster mitigation outreach programs can be enhanced. Factor analysis methods were used in processing respondent data to identify key factors influencing outreach performance, and regression analysis methods were used to construct a model that represents the current state of mitigation outreach and can be used to develop future implementation strategies. The results indicate that disaster knowledge management, strategic outreach, a knowledge transfer paradigm, social empowerment, and community development. The level of respondents’ understanding of disasters gave a score of 6.63 on a scale of 10.00 at this time, which means that it can still be optimized to reach the maximum number so that the community is ready to face disasters.","Wahyu Sardjono; A. Retnowardhani; Maryani; Erma Lusia; Muhammad Zarlis","2025","IOP Conference Series: Earth and Environment","10.1088/1755-1315/1564/1/012100","-","Include"
"Machine learning methodologies: history and challenges","-","Cecilia Irene Loeza Mejía; Eddy Sánchez-Delacruz; Irahan-Otoniel José-Guzmán","2025","Evolutionary Intelligence","10.1007/s12065-025-01047-5","3","Include"
"The Use of Machine Learning in Enhancing Data and Information Management Processes in the Context of Knowledge Management","The aim of this article is to describe how machine learning, including neural networks, is used in improving data and information management processes in the context of knowledge management in organisations. In the Polish literature, research on this topic tends to be fragmented. The empirical study presented in this article addresses the identified research gap concerning the use of machine learning methods in enhancing data and information management processes. The research makes use of critical literature analysis and the author’s own research concerning the application of recurrent neural networks. The novel contribution made through this research in Poland was demonstration of the relationship between use of machine learning and the enhancement of knowledge management processes within organisations.","Robert Pawlak; Paweł Wyrozębski; Ilona Pietras; Joanna Parys","2025","e-mentor","10.15219/em108.1694","-","Include"
"Evaluation Model of Urban Regional Knowledge Management Systems in Indonesia for Natural Disaster Mitigation","Nearly the whole Indonesian Archipelago is threatened by earthquake hazards, both on a small and large scale. This indicates Indonesia's susceptibility to earthquakes, tsunamis, volcanic eruptions, and other geological calamities. With the assistance of other pertinent ministries and institutions, the National Disaster Management Agency (BNPB) in Indonesia is in charge of carrying out disaster management at the national level. In order for mitigation to function effectively and efficiently, this research is vital since it is based on the establishment of an evaluation model for an urban knowledge management system in Indonesia. The goal of the project is to create an assessment model for Indonesian urban knowledge management systems that can be applied to the deployment of autonomous socialization programs for disaster mitigation. Factor analysis and regression analysis are the primary techniques used in this work. Regression analysis is used to create a model that can represent the current state of mitigation socialization and be used to develop implementation strategies in the future. Factor analysis is used to identify dominant factors in the implementation of knowledge management systems that support independent socialization.","Wahyu Sardjono; Maryani; Astari Retnowardhani; Erma Lusia; Muhammad Zarlis; W. Perdana","2024","2024 6th International Conference on Cybernetics and Intelligent System (ICORIS)","10.1109/icoris63540.2024.10903773","2","Include"
"Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.","Daniela dos Santos Alves; Deivid José Smek; É. Souza; K. Felizardo; N. L. Vijaykumar","2024","Brazilian Symposium on Software Quality","10.1145/3701625.3701652","1","Include"
"Challenges and strategies for open access in South Africa: A knowledge management approach","This paper explores the challenges of open access in South Africa and draws from knowledge management concepts and principles to suggest strategies to enhance open access. A comprehensive analysis of the existing literature was undertaken to address these challenges. A systematic review was undertaken to address the obstacles associated with open access using a well-defined search protocol. Some of the challenges were limited funding, inequality in access to technology, limited awareness, resistance from publishers, copyright issues, and lack of infrastructure. The article suggests that knowledge management initiatives such as knowledge awareness of open access, knowledge sharing, leadership, rewards and incentives, and a positive culture will enhance open access.","Kwame Kodua-Ntim; Madeleine C. Fombad","2024","Information Development","10.1177/02666669241257188","4","Include"
"KNOWLEDGE MANAGEMENT APPROACH IN COMPARATIVE STUDY OF AIR POLLUTION PREDICTION MODEL","This study utilizes knowledge management (KM) to highlight a documentation-centric approach that is enhanced through artificial intelligence. Knowledge management can improve the decision-making process for predicting models that involved datasets, such as air pollution. Currently, air pollution has become a serious global issue, impacting almost every major city worldwide. As the capital and a central hub for various activities, Jakarta experiences heightened levels of activity, resulting in increased vehicular traffic and elevated air pollution levels. The comparative study aims to measure the accuracy levels of the naïve bayes, decision trees, and random forest prediction models. Additionally, the study uses evaluation measurements to assess how well the machine learning performs, utilizing a confusion matrix. The dataset’s duration is three years, from 2019 until 2021, obtained through Jakarta Open Data. The study found that the random forest achieved the best results with an accuracy rate of 94%, followed by the decision tree at 93%, and the naïve bayes had the lowest at 81%. Hence, the random forest emerges as a reliable predictive model for prediction of air pollution.","Siti Rohajawati; Hutanti Setyodewi; Ferryansyah Muji Agustian Tresnanto; Debora Marianthi; Maruli Tua Baja Sihotang","2024","Applied Computer Science","10.35784/acs-2024-11","3","Include"
"Managing Knowledge for Pharma and Biotech Innovation","Knowledge Management (KM) involves a deliberate and systematic organization of people, processes, structure, and technology with the main objective of creating value for innovation from the reuse of data and information. Although there are several models for KM in various types of organizations, there is nothing concrete to integrate the knowledge generated in collaborative University-Industry projects. This work aimed to gather elements for the creation of a sustainable model of effective articulation in this scenario. It is a strategic action that can bring benefits of intellectual, economic, and social impact. This research used different instruments: systematic mapping, questionnaires, and experience reports. The mapping highlighted the need to consider the following aspects for the development of KM models: collaborative/competitive arrangements, tacit/explicit knowledge managers and change screening. The questionnaire and report demonstrated that the challenges go beyond aspects such as data organization. They must prioritize the social aspect of knowledge sharing, using safe coordination to prevent misconduct.","Sophia Cavicchioli; Leonardo Miziara; C. Pinheiro; H. Barud; Cibele Coury","2024","International Journal of Advances in Medical Biotechnology - IJAMB","10.52466/ijamb.v6i1.121","1","Include"
"Unveiling Insights: A Knowledge Discovery Approach to Comparing Topic Modeling Techniques in Digital Health Research","This paper introduces a knowledge discovery approach focused on comparing topic modeling techniques within the realm of digital health research. Knowledge discovery has been applied in massive data repositories (databases) and also in various field studies, which use these techniques for finding patterns in the data, determining which models and parameters might be suitable, and looking for patterns of interest in a specific representational. Unfortunately, the investigation delves into the utilization of Latent Dirichlet Allocation (LDA) and Pachinko Allocation Models (PAM) as generative probabilistic models in knowledge discovery, which is still limited. The study's findings position PAM as the superior technique, showcasing the greatest number of distinctive tokens per topic and the fastest processing time. Notably, PAM identifies 87 unique tokens across 10 topics, surpassing LDA Gensim's identification of only 27 unique tokens. Furthermore, PAM demonstrates remarkable efficiency by swiftly processing 404 documents within an incredibly short span of 0.000118970870 seconds, in contrast to LDA Gensim's considerably longer processing time of 0.368770837783 seconds. Ultimately, PAM emerges as the optimum method for digital health research's topic modeling, boasting unmatched efficiency in analyzing extensive digital health text data.","Siti Rohajawati; Puji Rahayu; Afny Tazkiyatul Misky; Khansha Nafi Rasyidatus Sholehah; Normala Rahim; R.R. Hutanti Setyodewi","2024","INTENSIF: Jurnal Ilmiah Penelitian dan Penerapan Teknologi Sistem Informasi","10.29407/intensif.v8i1.22058","6","Include"
