Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"Attributes to Support the Formulation of Practically Relevant Research Problems in Software Engineering","[Background] A well-formulated research problem is essential for achieving practical relevance in Software Engineering (SE), yet there is a lack of structured guidance in this early phase. [Aims] Our goal is to introduce and evaluate seven attributes identified in the SE literature as relevant for formulating research problems (practical problem, context, implications/impacts, practitioners, evidence, objective, and research questions) in terms of their perceived importance and completeness, and learn how they can be applied. [Method] We conducted a workshop with 42 senior SE researchers during the ISERN 2024 meeting. The seven attributes were presented using a Problem Vision board filled with a research example. Participants discussed attributes in groups, shared written feedback, and individually completed a survey assessing their importance, completeness, and suggestions for improvement. [Results] The findings confirm the importance of the seven attributes in the formulation of industry-oriented research problems. Qualitative feedback illustrated how they can be applied in practice and revealed suggestions to refine them, such as incorporating financial criteria (e.g., ROI) into implications/impacts and addressing feasibility and constraints under evidence. [Conclusion] The results reaffirm the importance of the seven attributes in supporting a reflective and context-aware problem formulation. Adapting their use to specific research contexts can help to improve the alignment between academic research and industry needs.","A. F. Pereira; M. T. Baldassarre; Daniel Méndez; Jürgen Börstler; Nauman bin Ali; Rahul Mohanani; Darja Šmite; Stefan Biffl; Rogardt Heldal; Davide Falessi; Daniel Graziotin; Marcos Kalinowski","2025","arXiv.org","10.48550/arxiv.2512.12699","1","-","https://doi.org/10.48550/arxiv.2512.12699","","-","-","Include"
"Towards AI Agents Supported Research Problem Formulation","Poorly formulated research problems can compromise the practical relevance of Software Engineering studies by not reflecting the complexities of industrial practice. This vision paper explores the use of artificial intelligence agents to support SE researchers during the early stage of a research project, the formulation of the research problem. Based on the Lean Research Inception framework and using a published study on code maintainability in machine learning as a reference, we developed a descriptive evaluation of a scenario illustrating how AI agents, integrated into LRI, can support SE researchers by pre filling problem attributes, aligning stakeholder perspectives, refining research questions, simulating multiperspective assessments, and supporting decision making. The descriptive evaluation of the scenario suggests that AI agent support can enrich collaborative discussions and enhance critical reflection on the value, feasibility, and applicability of the research problem. Although the vision of integrating AI agents into LRI was perceived as promising to support the context aware and practice oriented formulation of research problems, empirical validation is needed to confirm and refine the integration of AI agents into problem formulation.","A. F. Pereira; M. T. Baldassarre; Daniel Méndez; Marcos Kalinowski","2025","arXiv.org","10.48550/arxiv.2512.12719","-","-","https://doi.org/10.48550/arxiv.2512.12719","","-","-","Include"
"Applying generative artificial intelligence for vulnerability fixing in a proprietary software ecosystem","-","L. A. Costa; A. Fontão; Rodrigo Pereira dos Santos; Alexander Serebrenik","2025","Journal of Systems and Software","10.1016/j.jss.2025.112723","1","false","https://doi.org/10.1016/j.jss.2025.112723","Computer science; Process management; Automation; Risk analysis (engineering); Software engineering; Vulnerability (computing); Engineering; Resilience (materials science); Interdependence; DevOps","en","-","Include"
"A systematic mapping study of information retrieval-based requirements traceability methods","-","Hongyan Wan; Xinyu He; Yang Deng; Bangchao Wang","2025","Information Processing & Management","10.1016/j.ipm.2025.104287","3","false","https://doi.org/10.1016/j.ipm.2025.104287","Traceability; Requirements traceability; Computer science; Information retrieval; Data mining; Requirements analysis; Software engineering; Programming language; Requirement; Software","en","-","Include"
"An accountability evaluation model for systems-of-information systems","-","Felipe Cordeiro; Aline Vasconcelos; R. Santos; Patricia Lago","2025","Journal of Systems and Software","10.1016/j.jss.2025.112652","1","false","https://doi.org/10.1016/j.jss.2025.112652","Accountability; Context (archaeology); Conceptual model; Process management; Consistency (knowledge bases); Conceptual framework; Management science; Correctness; Quality (philosophy); Cloud computing","en","-","Include"
"Iterative Development of a Semi-Structured Interview Guide to Explore Clinicians’ Experiences with Connected Mental Health","Understanding how connected mental health (CMH) tools affect the work environment of mental health clinicians requires carefully designed qualitative inquiry. This paper presents an experience report detailing the iterative development of a semi-structured interview guide used to explore clinicians’ experiences with CMH. The process involved internal workshops, feedback from experts, and pilot testing. Each stage contributed to refining the guide’s clarity, contextual relevance, and alignment with the study’s objectives. The final guide comprised 9 screening questions, 12 background questions, and 10 main interview questions, which were reduced and refined from an initial set of 21 interview questions across three thematic areas; pilot feedback led to revisions in the form of more concrete prompts and clarified language. While semi-structured interviews are widely used in health technology research, the development process is often underreported. By presenting our iterative design process, we highlight how interview guide development can be conceived, validated, and refined to enhance methodological rigor. This paper offers practical insights for researchers conducting qualitative studies in healthcare and technology settings, particularly those working on eliciting perceptions and experiences with CMH.","Shweta Premanandan; Sofia Ouhbi; M. Stadin; C. Blease; Å. Cajander; M. Hägglund","2025","2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW)","10.1109/rew66121.2025.00088","-","-","https://doi.org/10.1109/rew66121.2025.00088","","-","-","Include"
"An Advanced Process Control Application Framework: Development and Test-Bench Validation","In this paper, we present a software framework implementing Model Predictive Control (MPC), a widely adopted method in industrial automation. Designed for versatility, it operates with a range of target platforms-such as programmable logic controllers and distributed control systems. Notably, beyond its core MPC functionality, the framework supports multiple real-time simulation models, positioning it not merely as a conventional controller but also as a foundational digital twin for industrial processes. This capability facilitates a seamless transition from academic research to real-world application-an area that often proves challenging due to the gap between laboratory settings and practical industry requirements. The experimental validation on a laboratory test bench demonstrates the effectiveness of the proposed solution, underscoring its role as a bridge between academic developments and industrial implementation.","V. Vansovits; E. Petlenkov; A. Tepljakov; K. Vassiljeva","2025","2025 IEEE 19th International Conference on Control & Automation (ICCA)","10.1109/icca65672.2025.11129770","-","-","https://doi.org/10.1109/icca65672.2025.11129770","","-","-","Include"
"Define-ML: An Approach to Ideate Machine Learning-Enabled Systems","[Context] The increasing adoption of machine learning (ML) in software systems demands specialized ideation approaches that address ML-specific challenges, including data dependencies, technical feasibility, and alignment between business objectives and probabilistic system behavior. Traditional ideation methods like Lean Inception lack structured support for these ML considerations, which can result in misaligned product visions and unrealistic expectations. [Goal] This paper presents Define-ML, a framework that extends Lean Inception with tailored activities - Data Source Mapping, Feature-to-Data Source Mapping, and ML Mapping - to systematically integrate data and technical constraints into early-stage ML product ideation. [Method] We developed and validated Define-ML following the Technology Transfer Model, conducting both static validation (with a toy problem) and dynamic validation (in a real-world industrial case study). The analysis combined quantitative surveys with qualitative feedback, assessing utility, ease of use, and intent of adoption. [Results] Participants found Define-ML effective for clarifying data concerns, aligning ML capabilities with business goals, and fostering cross-functional collaboration. The approach's structured activities reduced ideation ambiguity, though some noted a learning curve for ML-specific components, which can be mitigated by expert facilitation. All participants expressed the intention to adopt Define-ML. [Conclusion] Define-ML provides an openly available, validated approach for ML product ideation, building on Lean Inception's agility while aligning features with available data and increasing awareness of technical feasibility.","Silvio Alonso; Antonio Pedro Santos Alves; Lucas Romao; Hélio Lopes; Marcos Kalinowski","2025","EUROMICRO Conference on Software Engineering and Advanced Applications","10.48550/arxiv.2506.20621","1","-","https://doi.org/10.48550/arxiv.2506.20621","","-","-","Include"
"QUPER-MAn: Benchmark-Guided Target Setting for Maintainability Requirements","Maintainable source code is essential for sustainable development. Yet, many studies show that maintainability often receives less attention than it deserves. We argue that requirements engineering can help close this gap by fostering discussions and setting appropriate targets in a responsible manner. In this preliminary work, we explore industry practices related to requirements engineering for maintainability. Our findings confirm previous studies: maintainability remains a second-class quality concern. Explicit requirements often make sweeping references to coding conventions. Tools providing maintainability proxies are common but typically only used in implicit requirements related to engineering practices. To address this, we propose QUPER-MAn, a maintainability adaption of the QUPER model, originally developed for performance requirements. Developed using a design science approach, QUPER-MAn integrates maintainability benchmarks and supports target setting. We posit that it can shift maintainability from an overlooked development consequence to an actively managed goal driven by informed and responsible engineering decisions.","Markus Borg; Martin Larsson; Philip Breid; Nadim Hagatulah","2025","ResponibleSE@SIGSOFT FSE","10.1145/3711919.3728680","-","-","https://doi.org/10.1145/3711919.3728680","","-","-","Include"
"Large Language Models for API Classification: An Explorative Study","Linking APIs to the business functions they implement is crucial for handling software operations, especially during recovery from disasters or outages. In this context, the speed and accuracy of operators in linking them impact response time during mission-critical operation activities. Besides, this linkage is essential to designing preventive actions, such as resilience strategies. Automatic API classification using Large Language Models (LLMs) may simplify and speed up APIs-business function linkage. However, previous studies unveiled the barriers practitioners face when deciding on and adopting LLMs in software engineering (SE) tasks due to a lack of guidance for non-experts. This paper aims to lower barriers to using LLMs by systems operators and site reliability engineers (SREs), focusing on the API classification task in the context of operational activities. Based on three cases from the finance industry, we extracted requirements for LLM usage, and assessed 14 recently released LLMs on this task. Our results demonstrate that LLMs accurately classify APIs using business function targets with an F1–Score of 89.5 for the leading LLM without requiring specific LLM expertise and resource-intensive fine-tuning. Besides, our findings on LLMs’ performance and reliability mark a significant advancement in comparing open and closed-source and general and domain-specific LLMs in an SE classification task. Eventually, our experiments yield practical guidance for implementing LLMs in this context. Artifacts used in and generated by the experiments are publicly available at https://bit.ly/llms4apiclassification.","Gabriel Morais; Edwin Lemelin; Meddi Adda; Dominik Bork","2025","International Conference on Evaluation & Assessment in Software Engineering","10.1145/3756681.3756997","1","-","https://doi.org/10.1145/3756681.3756997","","-","-","Include"
