oci,citing,cited,creation,timespan,journal_sc,author_sc
061502560902-061801207354,10.1145/2647648.2647652,10.1109/ms.2006.147,2014-09-16,P7Y10M,no,no
061902927053-061801207354,10.1109/re.2013.6636722,10.1109/ms.2006.147,2013-07,P6Y8M,no,no
06601357775-061801207354,10.1002/smr.1621,10.1109/ms.2006.147,2013-08-29,P6Y9M,no,no
061602535385-061801207354,10.1109/cesi.2015.9,10.1109/ms.2006.147,2015-05,P8Y6M,no,no
061802947411-061801207354,10.1109/wain52551.2021.00016,10.1109/ms.2006.147,2021-05,P14Y6M,no,no
06102812575-061801207354,10.1007/978-3-319-44902-9_15,10.1109/ms.2006.147,2016,P9Y,no,no
062602492113-061801207354,10.1109/re51729.2021.00033,10.1109/ms.2006.147,2021-09,P14Y10M,no,no
0620588104-061801207354,10.1016/j.jss.2021.110944,10.1109/ms.2006.147,2021-07,P14Y8M,no,no
0608487026-061801207354,10.1007/978-3-031-89277-6_7,10.1109/ms.2006.147,2025,P18Y,no,no
061401030448-061801207354,10.1007/s10664-019-09711-y,10.1109/ms.2006.147,2019-04-23,P12Y5M,no,no
061401031021-061801207354,10.1007/s10664-008-9102-8,10.1109/ms.2006.147,2008-12-19,P2Y1M,no,no
06902284581-061801207354,10.1109/ice/itmc39735.2016.9025866,10.1109/ms.2006.147,2016-06,P9Y7M,no,no
06401712591-061801207354,10.1007/978-3-030-65854-0_9,10.1109/ms.2006.147,2021,P14Y,no,no
062502779872-061801207354,10.1007/978-3-642-29044-2_7,10.1109/ms.2006.147,2012,P5Y,no,no
061303448318-061801207354,10.55643/fcaptp.4.45.2022.3808,10.1109/ms.2006.147,2022-09-05,P15Y10M,no,no
062202594133-061801207354,10.3390/admsci8020019,10.1109/ms.2006.147,2018-06-06,P11Y7M,no,no
062102064284-061801207354,10.1007/978-3-030-29852-4_32,10.1109/ms.2006.147,2019,P12Y,no,no
061103131203-061801207354,10.1016/j.infsof.2021.106678,10.1109/ms.2006.147,2021-12,P15Y1M,no,yes
06303748147-061801207354,10.1109/tr.2019.2927643,10.1109/ms.2006.147,2019-12,P13Y1M,no,no
0690439753-061801207354,10.1007/s00766-012-0148-1,10.1109/ms.2006.147,2012-03-01,P5Y4M,no,no
061602535615-061801207354,10.1109/cesi.2015.12,10.1109/ms.2006.147,2015-05,P8Y6M,no,no
062301003308-061801207354,10.1007/s11219-020-09533-y,10.1109/ms.2006.147,2021-01-17,P14Y2M,no,no
061402535216-061801207354,10.1145/2647648.2647650,10.1109/ms.2006.147,2014-09-16,P7Y10M,no,no
06904283701-061801207354,10.1007/978-3-031-53227-6_16,10.1109/ms.2006.147,2024,P17Y,no,no
06403315171-061801207354,10.1145/2568225.2568233,10.1109/ms.2006.147,2014-05-31,P7Y6M,no,no
06601357883-061801207354,10.1002/smr.535,10.1109/ms.2006.147,2011-03-09,P4Y4M,no,no
06340570144-061801207354,10.1145/3649597,10.1109/ms.2006.147,2024-06-03,P17Y7M,no,no
06301919225-061801207354,10.1109/re.2017.55,10.1109/ms.2006.147,2017-09,P10Y10M,no,no
061101169191-061801207354,10.1007/978-3-662-65116-2_4,10.1109/ms.2006.147,2022,P15Y,no,no
062201957006-061801207354,10.1109/tse.2015.2509970,10.1109/ms.2006.147,2016-06-01,P9Y7M,no,no
0605890202-061801207354,10.1007/978-3-031-73143-3_13,10.1109/ms.2006.147,2025,P18Y,no,no
06601357752-061801207354,10.1002/smr.1653,10.1109/ms.2006.147,2014-05-03,P7Y6M,no,no
0630594021-061801207354,10.1016/j.jss.2015.07.018,10.1109/ms.2006.147,2015-11,P9Y0M,no,no
062502418012-061801207354,10.1007/978-3-319-30282-9_20,10.1109/ms.2006.147,2016,P9Y,no,no
061203116252-061801207354,10.1016/j.infsof.2016.07.006,10.1109/ms.2006.147,2016-11,P10Y0M,no,no
0640593525-061801207354,10.1016/j.jss.2010.02.005,10.1109/ms.2006.147,2010-07,P3Y8M,no,yes
061202127589-061801207354,10.1007/s11192-021-03969-0,10.1109/ms.2006.147,2021-04-08,P14Y5M,no,no
061701212840-061801207354,10.1109/ms.2019.2905228,10.1109/ms.2006.147,2020-09,P13Y10M,yes,no
06403136300-061801207354,10.1007/978-3-642-39259-7_10,10.1109/ms.2006.147,2013,P6Y,no,no
06010417601-061801207354,10.1109/q-se66736.2025.00013,10.1109/ms.2006.147,2025-05-03,P18Y6M,no,no
062201956789-061801207354,10.1109/tse.2018.2846576,10.1109/ms.2006.147,2020-03-01,P13Y4M,no,no
06340376890-061801207354,10.1016/j.iswa.2023.200301,10.1109/ms.2006.147,2024-03,P17Y4M,no,no
061202603679-061801207354,10.1016/j.ijinfomgt.2012.06.002,10.1109/ms.2006.147,2013-02,P6Y3M,no,no
0640592904-061801207354,10.1016/j.jss.2013.01.013,10.1109/ms.2006.147,2013-05,P6Y6M,no,no
06601357768-061801207354,10.1002/smr.1637,10.1109/ms.2006.147,2013-10-10,P6Y11M,no,no
06280387322-061801207354,10.1108/978-1-80382-889-320241012,10.1109/ms.2006.147,2024-03-14,P17Y4M,no,no
061202756072-061801207354,10.1007/978-3-642-33666-9_50,10.1109/ms.2006.147,2012,P5Y,no,no
0605322458-061801207354,10.1007/978-3-031-71769-7_9,10.1109/ms.2006.147,2024,P17Y,no,no
06803537377-061801207354,10.1007/978-3-540-95888-8_9,10.1109/ms.2006.147,2009,P2Y,no,no
0620587987-061801207354,10.1016/j.jss.2021.111106,10.1109/ms.2006.147,2022-02,P15Y3M,no,no
061903280750-061801207354,10.1145/3324884.3416640,10.1109/ms.2006.147,2020-12-21,P14Y1M,no,no
06011720223-061801207354,10.1007/978-3-032-04190-6_6,10.1109/ms.2006.147,2025-09-08,P18Y10M,no,no
06430155145-061801207354,10.1002/spe.3200,10.1109/ms.2006.147,2023-03-14,P16Y4M,no,no
061502341019-061801207354,10.1145/3194733.3194744,10.1109/ms.2006.147,2018-05-28,P11Y6M,no,no
062502031253-061801207354,10.3390/pr7120917,10.1109/ms.2006.147,2019-12-03,P13Y1M,no,no
061302321686-061801207354,10.1109/re.2018.00031,10.1109/ms.2006.147,2018-08,P11Y9M,no,no
061203116141-061801207354,10.1016/j.infsof.2017.08.002,10.1109/ms.2006.147,2017-12,P11Y1M,no,no
06011415511-061801207354,10.1109/scse65633.2025.11031015,10.1109/ms.2006.147,2025-04-03,P18Y5M,no,no
062502779876-061801207354,10.1007/978-3-642-29044-2_8,10.1109/ms.2006.147,2012,P5Y,no,no
06402944656-061801207354,10.1109/icse.2015.198,10.1109/ms.2006.147,2015-05,P8Y6M,no,no
06402459713-061801207354,10.1002/j.2334-5837.2011.tb01249.x,10.1109/ms.2006.147,2011-06,P4Y7M,no,no
062202461433-061801207354,10.1109/icstw.2017.13,10.1109/ms.2006.147,2017-03,P10Y4M,no,no
062102644984-061801207354,10.1007/978-3-662-43839-8_7,10.1109/ms.2006.147,2014,P7Y,no,no
06370193714-061801207354,10.3390/su15086873,10.1109/ms.2006.147,2023-04-19,P16Y5M,no,no
06120675597-061801207354,10.1145/3494519,10.1109/ms.2006.147,2022-07-31,P15Y8M,no,no
062502779877-061801207354,10.1007/978-3-642-29044-2_2,10.1109/ms.2006.147,2012,P5Y,no,no
06603937570-061801207354,10.1002/hyp.14717,10.1109/ms.2006.147,2022-10,P15Y11M,no,no
06601058115-061801207354,10.15826/umpa.2021.01.005,10.1109/ms.2006.147,2021-05-01,P14Y6M,no,no
062202471091-061801207354,10.1109/re.2016.72,10.1109/ms.2006.147,2016-09,P9Y10M,no,no
062302918314-061801207354,10.1109/re.2013.6636751,10.1109/ms.2006.147,2013-07,P6Y8M,no,no
061203116068-061801207354,10.1016/j.infsof.2018.01.001,10.1109/ms.2006.147,2018-05,P11Y6M,no,no
06703373243-061801207354,10.1109/icit46573.2021.9453680,10.1109/ms.2006.147,2021-03-10,P14Y4M,no,no
06310550549-061801207354,10.55905/rcssv13n1-034,10.1109/ms.2006.147,2024-01-31,P17Y2M,no,no
06603379496-061801207354,10.1109/ast52587.2021.00011,10.1109/ms.2006.147,2021-05,P14Y6M,no,no
06302071650-061801207354,10.1145/3377816.3381741,10.1109/ms.2006.147,2020-06-27,P13Y7M,no,no
062301003420-061801207354,10.1007/s11219-017-9401-7,10.1109/ms.2006.147,2018-03-08,P11Y4M,no,no
0630593718-061801207354,10.1016/j.jss.2016.09.030,10.1109/ms.2006.147,2017-01,P10Y2M,no,no
061202921592-061801207354,10.1109/cesi.2013.6618469,10.1109/ms.2006.147,2013-05,P6Y6M,no,yes
0630594239-061801207354,10.1016/j.jss.2014.03.082,10.1109/ms.2006.147,2014-09,P7Y10M,no,no
061401030979-061801207354,10.1007/s10664-010-9146-4,10.1109/ms.2006.147,2010-10-06,P3Y11M,no,no
06902349815-061801207354,10.1145/3239235.3239241,10.1109/ms.2006.147,2018-10-11,P11Y11M,no,no
062202471380-061801207354,10.1109/re.2016.57,10.1109/ms.2006.147,2016-09,P9Y10M,no,no
06104459124-061801207354,10.21728/p2p.2023v9nesp.p188-212,10.1109/ms.2006.147,2023-06-05,P16Y7M,no,no
061702081793-061801207354,10.1007/978-3-030-31280-0_18,10.1109/ms.2006.147,2019,P12Y,no,no
062602292276-061801207354,10.1109/rew.2019.00013,10.1109/ms.2006.147,2019-09,P12Y10M,no,no
061203115995-061801207354,10.1016/j.infsof.2018.06.007,10.1109/ms.2006.147,2018-11,P12Y0M,no,no
0620588310-061801207354,10.1016/j.jss.2020.110520,10.1109/ms.2006.147,2020-05,P13Y6M,no,no
06202067579-061801207354,10.23919/cisti54924.2022.9820166,10.1109/ms.2006.147,2022-06-22,P15Y7M,no,no
0630593431-061801207354,10.1016/j.jss.2018.04.061,10.1109/ms.2006.147,2018-08,P11Y9M,no,no
06601357495-061801207354,10.1002/smr.1981,10.1109/ms.2006.147,2018-08-13,P11Y9M,no,no
062502779882-061801207354,10.1007/978-3-642-29044-2_3,10.1109/ms.2006.147,2012,P5Y,no,no
06420117988-061801207354,10.1186/s13731-023-00311-1,10.1109/ms.2006.147,2023-07-17,P16Y8M,no,no
06203068912-061801207354,10.1007/s13198-019-00899-2,10.1109/ms.2006.147,2019-10-28,P12Y11M,no,no
061401934888-061801207354,10.1007/978-3-030-58802-1_33,10.1109/ms.2006.147,2020,P13Y,no,no
0690439815-061801207354,10.1007/s00766-009-0080-1,10.1109/ms.2006.147,2009-03-07,P2Y4M,no,no
061101935909-061801207354,10.1142/s021819401250009x,10.1109/ms.2006.147,2012-05,P5Y6M,no,no
061602347883-061801207354,10.1145/3193965.3193970,10.1109/ms.2006.147,2018-05-28,P11Y6M,no,no
061902463171-061801207354,10.1109/icse-seip.2017.14,10.1109/ms.2006.147,2017-05,P10Y6M,no,no
06302715665-061801207354,10.1109/icstw.2018.00074,10.1109/ms.2006.147,2018-04,P11Y5M,no,no
06402779923-061801207354,10.1007/978-3-319-54906-4_7,10.1109/ms.2006.147,2017,P10Y,no,no
0620588333-061801207354,10.1016/j.jss.2019.110479,10.1109/ms.2006.147,2020-04,P13Y5M,no,no
061402926697-061801207354,10.1145/2460999.2461020,10.1109/ms.2006.147,2013,P6Y,no,no
0620588220-061801207354,10.1016/j.jss.2020.110699,10.1109/ms.2006.147,2020-11,P14Y0M,no,no
062504287591-061801207354,10.1007/s10664-024-10502-3,10.1109/ms.2006.147,2024-07-31,P17Y8M,no,no
0630594211-061801207354,10.1016/j.jss.2014.06.059,10.1109/ms.2006.147,2014-11,P8Y0M,no,yes
0690439775-061801207354,10.1007/s00766-011-0125-0,10.1109/ms.2006.147,2011-06-25,P4Y7M,no,no
061203428068-061801207354,10.1007/978-3-031-14343-4_21,10.1109/ms.2006.147,2022,P15Y,no,no
062201956783-061801207354,10.1109/tse.2018.2854716,10.1109/ms.2006.147,2020-04-01,P13Y5M,no,no
062102647153-061801207354,10.1007/978-3-319-05843-6_23,10.1109/ms.2006.147,2014,P7Y,no,no
0630593530-061801207354,10.1016/j.jss.2017.09.032,10.1109/ms.2006.147,2018-01,P11Y2M,no,no
062301003490-061801207354,10.1007/s11219-016-9319-5,10.1109/ms.2006.147,2016-06-01,P9Y7M,no,no
062502779875-061801207354,10.1007/978-3-642-29044-2_4,10.1109/ms.2006.147,2012,P5Y,no,no
062502779873-061801207354,10.1007/978-3-642-29044-2_13,10.1109/ms.2006.147,2012,P5Y,no,no
0620168965-061801207354,10.1002/csr.2046,10.1109/ms.2006.147,2020-09-21,P13Y10M,no,no
061203116095-061801207354,10.1016/j.infsof.2017.10.013,10.1109/ms.2006.147,2018-03,P11Y4M,no,no
061502304115-061801207354,10.1145/3319008.3319358,10.1109/ms.2006.147,2019-04-15,P12Y5M,no,no
06902911815-061801207354,10.1109/icstw.2014.34,10.1109/ms.2006.147,2014-03,P7Y4M,no,no
06401880639-061801207354,10.1145/3084226.3084238,10.1109/ms.2006.147,2017-06-15,P10Y7M,no,no
06240440642-061801207354,10.3390/s22114149,10.1109/ms.2006.147,2022-05-30,P15Y6M,no,no
06802902584-061801207354,10.1109/icstw.2016.36,10.1109/ms.2006.147,2016-04,P9Y5M,no,no
0690439676-061801207354,10.1007/s00766-015-0231-5,10.1109/ms.2006.147,2015-06-22,P8Y7M,no,no
061203116386-061801207354,10.1016/j.infsof.2015.06.007,10.1109/ms.2006.147,2015-11,P9Y0M,no,no
061703872275-061801207354,10.1016/j.infsof.2023.107197,10.1109/ms.2006.147,2023-07,P16Y8M,no,no
061802978680-061801207354,10.1109/icst.2012.190,10.1109/ms.2006.147,2012-04,P5Y5M,no,no
061902463012-061801207354,10.1109/icse-seip.2017.20,10.1109/ms.2006.147,2017-05,P10Y6M,no,no
06012745355-061801207354,10.1145/3711919.3728680,10.1109/ms.2006.147,2025-06-23,P18Y7M,no,no
062304366469-061801207354,10.1016/j.infsof.2024.107469,10.1109/ms.2006.147,2024-08,P17Y9M,no,no
0630593989-061801207354,10.1016/j.jss.2015.08.048,10.1109/ms.2006.147,2016-01,P9Y2M,no,no
061101935921-061801207354,10.1142/s0218194012500027,10.1109/ms.2006.147,2012-02,P5Y3M,no,no
061702992290-061801207354,10.1109/icst.2012.120,10.1109/ms.2006.147,2012-04,P5Y5M,no,no
0610925129-061801207354,10.1145/3485952.3485957,10.1109/ms.2006.147,2021-10-27,P14Y11M,no,no
062102644992-061801207354,10.1007/978-3-662-43839-8_3,10.1109/ms.2006.147,2014,P7Y,no,no
0630593358-061801207354,10.1016/j.jss.2018.09.054,10.1109/ms.2006.147,2018-12,P12Y1M,no,no
061801206621-061801207354,10.1109/ms.2011.49,10.1109/ms.2006.147,2011-07,P4Y8M,yes,no
061603014438-061801207354,10.1109/iwspm.2011.6046204,10.1109/ms.2006.147,2011-08,P4Y9M,no,no
061202317512-061801207354,10.1109/re.2018.00040,10.1109/ms.2006.147,2018-08,P11Y9M,no,no
0610442002-061801207354,10.1080/14778238.2019.1678415,10.1109/ms.2006.147,2019-10-21,P12Y11M,no,no
062502779879-061801207354,10.1007/978-3-642-29044-2_5,10.1109/ms.2006.147,2012,P5Y,no,no
062502779883-061801207354,10.1007/978-3-642-29044-2_12,10.1109/ms.2006.147,2012,P5Y,no,no
062302148756-061801207354,10.1007/978-3-030-00761-4_14,10.1109/ms.2006.147,2018,P11Y,no,no
06502459515-061801207354,10.1007/978-3-030-32610-4_8,10.1109/ms.2006.147,2019-11-25,P13Y0M,no,no
061103131093-061801207354,10.1016/j.infsof.2022.106908,10.1109/ms.2006.147,2022-07,P15Y8M,no,yes
06702443274-061801207354,10.1007/978-3-030-32489-6_5,10.1109/ms.2006.147,2020,P13Y,no,no
06702443277-061801207354,10.1007/978-3-030-32489-6_18,10.1109/ms.2006.147,2020,P13Y,no,no
06902348043-061801207354,10.1109/re.2018.00-25,10.1109/ms.2006.147,2018-08,P11Y9M,no,no
062101288911-061801207354,10.1080/09537325.2018.1495836,10.1109/ms.2006.147,2018-07-06,P11Y8M,no,no
062502779881-061801207354,10.1007/978-1-4615-4625-2_8 10.1007/978-3-642-29044-2_10,10.1109/ms.2006.147,2012,P5Y,no,no
062102264954-061801207354,10.1145/3364641.3364673,10.1109/ms.2006.147,2019-10-28,P12Y11M,no,no
061903993525-061801207354,10.1016/j.igd.2023.100076,10.1109/ms.2006.147,2023-12,P17Y1M,no,no
06602957204-061801207354,10.1145/3475716.3484273,10.1109/ms.2006.147,2021-10-11,P14Y11M,no,no
0690439878-061801207354,10.1007/s00766-007-0047-z,10.1109/ms.2006.147,2007-05-03,P0Y6M,no,yes
06602716232-061801207354,10.1145/3195546.3195548,10.1109/ms.2006.147,2018-05-29,P11Y6M,no,no
061202999798-061801207354,10.1109/re.2011.6051652,10.1109/ms.2006.147,2011-08,P4Y9M,no,no
06204407612-061801207354,10.1016/j.procir.2023.04.011,10.1109/ms.2006.147,2023,P16Y,no,no
061401030725-061801207354,10.1007/s10664-015-9410-8,10.1109/ms.2006.147,2015-11-09,P9Y0M,no,no
061802350759-061801207354,10.1109/esem.2017.39,10.1109/ms.2006.147,2017-11,P11Y0M,no,no
061302547882-061801207354,10.1109/re.2014.6912303,10.1109/ms.2006.147,2014-08,P7Y9M,no,no
061203116511-061801207354,10.1016/j.infsof.2014.06.010,10.1109/ms.2006.147,2015-01,P8Y2M,no,no
061702520054-061801207354,10.1109/re.2015.7320462,10.1109/ms.2006.147,2015-08,P8Y9M,no,no
06330526748-061801207354,10.5753/cbsoft_estendido.2024.4131,10.1109/ms.2006.147,2024-09-30,P17Y10M,no,no
06503353569-061801207354,10.1109/empire.2013.6615209,10.1109/ms.2006.147,2013-07,P6Y8M,no,no
06280467202-061801207354,10.1007/978-3-662-69306-3_3,10.1109/ms.2006.147,2024,P17Y,no,no
061203428076-061801207354,10.1007/978-3-031-14343-4_20,10.1109/ms.2006.147,2022,P15Y,no,no
061502641540-061801207354,10.1007/978-3-319-11283-1_3,10.1109/ms.2006.147,2014,P7Y,no,no
062202633386-061801207354,10.1007/978-3-642-55140-6_4,10.1109/ms.2006.147,2017,P10Y,no,no
06902555286-061801207354,10.1109/icstw.2015.7107463,10.1109/ms.2006.147,2015-04,P8Y5M,no,no
062202594004-061801207354,10.3390/admsci9030067,10.1109/ms.2006.147,2019-09-06,P12Y10M,no,no
0620588052-061801207354,10.1016/j.jss.2021.111032,10.1109/ms.2006.147,2021-10,P14Y11M,no,no
062502779874-061801207354,10.1007/978-3-642-29044-2_1,10.1109/ms.2006.147,2012,P5Y,no,no
061102525942-061801207354,10.1109/esem.2015.7321189,10.1109/ms.2006.147,2015-10,P8Y11M,no,no
06502481987-061801207354,10.1007/978-3-030-24305-0_38,10.1109/ms.2006.147,2019,P12Y,no,no
06302565189-061801207354,10.1007/978-3-030-04840-2_5,10.1109/ms.2006.147,2018,P11Y,no,no
061801206592-061801207354,10.1109/ms.2011.92,10.1109/ms.2006.147,2012-03,P5Y4M,yes,yes
06603346740-061801207354,10.1109/qsic.2013.40,10.1109/ms.2006.147,2013-07,P6Y8M,no,no
061802963668-061801207354,10.1109/empire.2012.6347680,10.1109/ms.2006.147,2012-09,P5Y10M,no,no
06802070003-061801207354,10.1145/3387940.3391485,10.1109/ms.2006.147,2020-06-27,P13Y7M,no,no
06803403175-061801207354,10.1002/9781118181034.refs,10.1109/ms.2006.147,2012-02-22,P5Y3M,no,no
061703872239-061801207354,10.1016/j.infsof.2023.107186,10.1109/ms.2006.147,2023-06,P16Y7M,no,no
061203238619-061801207354,10.1145/1363686.1363836,10.1109/ms.2006.147,2008,P1Y,no,no
06504868829-061801207354,10.1016/j.jss.2024.112120,10.1109/ms.2006.147,2024-10,P17Y11M,no,no
061902138662-061801207354,10.1145/3383219.3386125,10.1109/ms.2006.147,2020-04-15,P13Y5M,no,no
0640593631-061801207354,10.1016/j.jss.2009.06.048,10.1109/ms.2006.147,2009-12,P3Y1M,no,no
06103013620-061801207354,10.1007/978-3-319-26844-6_3,10.1109/ms.2006.147,2015,P8Y,no,no
0690797740-061801207354,10.1002/spe.975,10.1109/ms.2006.147,2010-04-29,P3Y5M,no,yes
062502779880-061801207354,10.1007/978-3-642-29044-2_6,10.1109/ms.2006.147,2012,P5Y,no,no
061402839438-061801207354,10.1007/978-3-642-23244-2_52,10.1109/ms.2006.147,2011,P4Y,no,no
