DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1109/ast52587.2021.00011,Model-based Automation of Test Script Generation Across Product Variants: a Railway Perspective,"Alessio Bucaioni, Fabio Di Silvestro, Inderjeet Singh, Mehrdad Saadatmand, Henry Muccini, Thorvaldur Jochumsson",International Conference/Workshop on Automation of Software Test,2021,"In this work, we report on our experience in defining and applying a model-based approach for the automatic generation of test scripts for product variants in software product lines. The proposed approach is the result of an effort leveraging the experiences and results from the technology transfer activities with our industrial partner Bombardier Transportation. The proposed approach employs metamodelling and model transformations for representing different testing artefacts and making their generation automatic. We demonstrate the industrial applicability and efficiency of the proposed approach using the Bombardier Transportation Aventra software product line. We observe that the proposed approach mitigates the development effort, time consumption and consistency drawbacks typical of traditional strategies.",93201199,7,20,,
(missing DOI),A DECISION SUPPORT SYSTEM FOR INTEGRATION TEST SELECTION,Sahar Tahvili,(missing journal),2016,Software testing generally suffers from time and budget limitations. Indiscriminately executing all available test cases leads to sub-optimal exploitation of testing resources. Selecting too few te ...,129008557,7,2,,a
(missing DOI),Analysing and supporting software reuse in practice,Veronika Bauer,(missing journal),2016,"Software reuse is considered a key element to successful software development. To which extent has research improved reuse in practice? This thesis analyses the state of the practice of reuse by means of two empirical investigations. It finds that selecting and adopting an adequate reuse strategy remains a challenge and frequently fails in practice due to underestimation of the required effort. Consequently, this thesis proposes a Reuse Adoption Support Model (RASM) that supports practitioners in selecting an adequate reuse approach with respect to their organizational context and supports its application with methods and tools to identify reuse potential.",85595989,7,107,,
10.1007/978-3-030-65854-0_9,Solving Problems or Enabling Problem-Solving? from Purity in Empirical Software Engineering to Effective Co-production (Invited Keynote),"Tony Gorschek, Daniel Mendez",Lecture notes in business information processing,2021,"Studying and collaborating with any software-intensive organization demands for excellence in empirical software engineering research. The ever-growing complexity and context-dependency of software products, however, demands for more pragmatic and solution-focused research. This is a great opportunity but it also conflicts with the traditional quest for “purity” in research and a very narrow focus of the work. In this short positioning, we elaborate on challenges which emerge from academia-industry collaborations and discuss touch upon pragmatic ways of approaching them along the co-production model which emerged from SERL Sweden.",90733747,7,12,,a
10.1007/978-3-642-23244-2_52,Force-Torque Control Methodology for Industrial Robots Applied on Finishing Operations,"Tomas Kubela, Ales Pochyly, Vladislav Singule, L. Flekal",Springer eBooks,2011,"The paper deals with the force-torque control methodology for industrial robots that can be more or less applied on a variety of industrial applications such as grinding, drilling, automatic assembly or other applications where the key aspect is to control the physical contact between a tool and a workpiece mounted on the robot gripper or vice versa. In other words, contact forces and respective moments need to be controlled in real-time. The experimental set-up is based mainly on a KUKA robot (KR3, KR 16), FTC sensor (SCHUNK FTC-050), external PLC system (Embedded PC Beckhoff) for main control structures and other devices. Main practical results are concerned with determining the contact between a workpiece, grasped in the robot gripper, and the surface while maintaining a constant force during robot motion.",89342364,7,9,,a
10.1145/3193965.3193970,Protocol and tools for conducting agile software engineering research in an industrial-academic setting: a preliminary study,"Katarzyna Biesialska, Xavier Franch, Victor Muntés-Mulero",(missing journal),2018,"Conducting empirical research in software engineering industry is a process, and as such, it should be generalizable. The aim of this paper is to discuss how academic researchers may address some of the challenges they encounter during conducting empirical research in the software industry by means of a systematic and structured approach. The protocol developed in this paper should serve as a practical guide for researchers and help them with conducting empirical research in this complex environment.",151601182,7,30,,
(missing DOI),Measurement-based value alignment and reasoning about organizational goals and strategies : studies with the ICT industry,Vladimir Mandić,(missing journal),2012,"Software and ICT companies fail due less to technological factors than socioorganizational factors, among which the most common is unrealistic goals and objectives. The socioorganizational factors are present in companies and organizations of all sizes. Organizations need to know whether their goals and strategies are working and whether the strategies are effectively providing a reasonable return on investment for the effort that is being applied, i.e. to understand how valuable they are for the organization. In addition, organizations need to recognize what the risks are in achieving those goals and evaluate their probability. And, when goals are set properly then they have directive and energizing functions, they tend to utilize available resources better and serve as activators of cognitive processes and knowledge sharing cycles. In this dissertation the GQM+Strategies approach was used. The approach was designed to help organizations to align goal-driven measurement schemes, i.e. GQM, with organizational goal hierarchy. The extensions developed in this dissertation (i.e., the solution proposed here) evolve the GQM+Strategies approach by providing an organization with capabilities to: (1) apply the work of value-based software engineering to directly address the return on investment (ROI) of their goals and strategies via evaluation of the costs and benefits of the goals and strategies chosen, (2) calculate a set of earned value metrics that allows organizations to effectively monitor the implementation of the organizational goals and strategies, (3) identify the risks associated with not achieving various sub-goals in a grid by analyzing goal risk exposures and acceptable risk levels, and (4) assess the threats of risky goals on other goals in the grid via evaluation of goal dependencies using the formal goal-strategies-goals models. The GQM+Strategies approach was piloted in four different organizations involving more than 60 participants. The feedback from the participants was used to identify the research questions posed in this dissertation. The research approach (solution development process) adopted the design science framework and utilized analytical and empirical paradigms in different phases of the solution development. The analytical paradigms were used for solution development and evaluation, while empirical paradigms where used for evaluating certain aspects of the solution.",57432945,7,216,,a
(missing DOI),Mutual knowledge transfer between industry and academia to improve testing with defect taxonomies,"M. Felderer, Armin Beer",Software Engineering & Management,2015,Software engineering is an applied research area preferably conducted jointly by academia and industry to enable transfer of knowledge in both directions and at the end improvement software engineering in industry. In this paper we present how the required mutual knowledge transfer via empirical evaluation was performed to improve testing with defect taxonomies in industry.,235455150,7,13,,a
10.1109/re.2015.7320462,Technology transfer - Requirements Engineering research to industrial practice an open (ended) debate,"C. H. C. Duarte, T. Gorschek",2015 IEEE 23rd International Requirements Engineering Conference (RE),2015,"Technology and knowledge have been recognized as main sources of competitive advantage of corporations, industries and nations, particularly in the software domain. They have led to the creation of local ecosystems devoted to development and transfer activities, which ensure not only personal and institutional motivation/recognition, but also social and economic gains. An open (ended) debate panel is proposed in order to develop greater awareness and seek deeper understanding of such activities from Requirements Engineering research to industrial practice. The panel involves researchers and practitioners with the perspective of eliciting: (i) experiences in knowledge and technology development and transfer; (ii) awareness and effectiveness of models and patterns; and (iii) factors for having successful collaboration between research institutions and industry. The organizers also plan to run a survey during and after the conference, summarizing their conclusions in specific post-conference reports.",182978672,7,9,,
10.1109/empire.2012.6347680,Towards customer-based requirements engineering practices,"J. Vara, L. Hoyos, Enrique Collado, M. Sabetzadeh",2012 Second IEEE International Workshop on Empirical Requirements Engineering (EmpiRE),2012,"Factors related to the requirements engineering process and customers have been repeatedly reported among those that most strongly influence the success of a software project. However, requirements engineering research has so far barely studied practice from a customer-based perspective. Furthermore, rigorous evidence about customers' perspectives regarding requirements engineering approaches is scarce, and links between customer-based requirements engineering research and the industrial practices are necessary. This paper argues that new research is necessary to tackle the above weaknesses. Our position is that: requirements specification approaches must be validated from a customer-based perspective; the influence of customers' characteristics on the requirements engineering process must be studied in more depth; and potential customer-based improvements in practice must be assessed. We also present situations in which the results from these activities would help practitioners, propose a research agenda to execute these activities, and discuss challenges that might hinder their execution.",154050090,6,25,,a
