DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1007/978-3-642-29044-2,Experimentation in Software Engineering,"C. Wohlin, P. Runeson, Martin Höst, Magnus C. Ohlsson, B. Regnell, Anders Wesslén",Springer Berlin Heidelberg,2012,(missing abstract),274623795,5803,198,,a
10.1007/978-3-642-29044-2,Experimentation in Software Engineering,"C. Wohlin, P. Runeson, Martin Höst, Magnus C. Ohlsson, B. Regnell, Anders Wesslén",Springer Berlin Heidelberg,2012,(missing abstract),276494067,5775,198,,a
10.5860/choice.50-5018,Experimentation in software engineering,"Claes Wohlin, Per Runeson, Martin Hst, Magnus C. Ohlsson, Bjrn Regnell, Anders Wessln",Choice Reviews Online,2013,"Like other sciences and engineering disciplines, software engineering requires a cycle of model building, experimentation, and learning. Experiments are valuable tools for all software engineers who are involved in evaluating and choosing between different methods, techniques, languages and tools. The purpose of Experimentation in Software Engineering is to introduce students, teachers, researchers, and practitioners to empirical studies in software engineering, using controlled experiments. The introduction to experimentation is provided through a process perspective, and the focus is on the steps that we have to go through to perform an experiment. The book is divided into three parts. The first part provides a background of theories and methods used in experimentation. Part II then devotes one chapter to each of the five experiment steps: scoping, planning, execution, analysis, and result presentation. Part III completes the presentation with two examples. Assignments and statistical material are provided in appendixes. Overall the book provides indispensable information regarding empirical studies in particular for experiments, but also for case studies, systematic literature reviews, and surveys. It is a revision of the authors book, which was published in 2000. In addition, substantial new material, e.g. concerning systematic literature reviews and case study research, is introduced. The book is self-contained and it is suitable as a course book in undergraduate or graduate studies where the need for empirical studies in software engineering is stressed. Exercises and assignments are included to combine the more theoretical material with practical aspects. Researchers will also benefit from the book, learning more about how to conduct empirical studies, and likewise practitioners may use it as a cookbook when evaluating new methods or techniques before implementing them in their organization.",261331590,5738,227,,
10.1007/s10664-008-9102-8,Guidelines for conducting and reporting case study research in software engineering,"Per Runeson, Martin Höst",Empirical Software Engineering,2009,"Case study is a suitable research methodology for software engineering research since it studies contemporary phenomena in its natural context. However, the understanding of what constitutes a case study varies, and hence the quality of the resulting studies. This paper aims at providing an introduction to case study methodology and guidelines for researchers conducting case studies and readers studying reports of such studies. The content is based on the authors' own experience from conducting and reading case studies. The terminology and guidelines are compiled from different methodology handbooks in other research domains, in particular social science and information systems, and adapted to the needs in software engineering. We present recommended practices for software engineering case studies as well as empirically derived and evaluated checklists for researchers and readers of case study research.",107005314,4859,91,,a
10.1017/cbo9781139164597.009,Writing Systems: Analysis and interpretation,F. Coulmas,(missing journal),2002,"This chapter deals with analysis and interpretation of data. Firstly, the analysis is carried out for all the samples considered for the study. The change in the profit after tax, price of shares, volume of trade and returns prior and post stock split are analysed and interpreted. To determine the factors influencing stock split decisions for the entire sample, a regression analysis is run to draw results. For the regression analysis, the dependent variable is split ratio. The independent variables are Price of shares (five days prior to stock split), Volume of trade (average thirty days volume of trade prior to split), Profit after tax (two years average profits prior to stock split), run up ( the ratio of price of shares five days prior to split to share price one year prior to stock split) and Price to book ratio (the ratio five days prior to stock split). Finally, the entire sample is divided into various categories of companies according to BSE classification. The samples for the present study consist of companies from Categories A, B and T. For each category, a separate analysis is carried out to study the change in profit after tax, price of shares, volume of trade and returns prior and post stock split. The factors influencing stock split decision for each category is also analysed and interpreted.",112625153,462,343,,a
10.1007/s11192-015-1744-x,"Methodi Ordinatio: a proposed methodology to select and rank relevant scientific papers encompassing the impact factor, number of citation, and year of publication","Regina Negri Pagani, João Luiz Kovaleski, Luis Mauricio Resende",Scientometrics,2015,"An increase in the number of scientific publications in the last few years, which is directly proportional to the appearance of new journals, has made the researchers' job increasingly complex and extensive regarding the selection of bibliographic material to support their research. Not only is it a time consuming task, it also requires suitable criteria, since the researchers need to elect systematically the most relevant literature works. Thus the objective of this paper is to propose the methodology called Methodi Ordinatio, which presents criteria to select scientific articles. This methodology employs an adaptation of the ProKnow-C for selection of publications and the InOrdinatio, which is an index to rank by relevance the works selected. This index crosses the three main factors under evaluation in a paper: impact factor, year of publication and number of citations. When applying the equation, the researchers identify among the works selected the most relevant ones to be in their bibliographic portfolio. As a practical application, it is provided a research sample on the theme technology transfer models comprising papers from 1990 to 2015. The results indicated that the methodology is efficient regarding the objectives proposed, and the most relevant papers on technology transfer models are presented.",743565,375,99,,
10.1016/j.infsof.2022.106908,Successful combination of database search and snowballing for identification of primary studies in systematic literature studies,"Claes Wohlin, Marcos Kalinowski, Katia Romero Felizardo, Emilia Mendes",Information and Software Technology,2022,(missing abstract),49700228,375,42,,a
10.1007/s10664-010-9146-4,A method for evaluating rigor and industrial relevance of technology evaluations,"Martin Ivarsson, Tony Gorschek",Empirical Software Engineering,2011,"One of the main goals of an applied research field such as software engineering is the transfer and widespread use of research results in industry. To impact industry, researchers developing technologies in academia need to provide tangible evidence of the advantages of using them. This can be done trough step-wise validation, enabling researchers to gradually test and evaluate technologies to finally try them in real settings with real users and applications. The evidence obtained, together with detailed information on how the validation was conducted, offers rich decision support material for industry practitioners seeking to adopt new technologies and researchers looking for an empirical basis on which to build new or refined technologies. This paper presents model for evaluating the rigor and industrial relevance of technology evaluations in software engineering. The model is applied and validated in a comprehensive systematic literature review of evaluations of requirements engineering technologies published in software engineering journals. The aim is to show the applicability of the model and to characterize how evaluations are carried out and reported to evaluate the state-of-research. The review shows that the model can be applied to characterize evaluations in requirements engineering. The findings from applying the model also show that the majority of technology evaluations in requirements engineering lack both industrial relevance and rigor. In addition, the research field does not show any improvements in terms of industrial relevance over time.",203227702,371,103,,a
10.1016/j.infsof.2023.107197,Transparency and explainability of AI systems: From ethical guidelines to requirements,"Nagadivya Balasubramaniam, Marjo Kauppinen, Antti Rannisto, Kari Hiekkanen, Sari Kujala",Information and Software Technology,2023,(missing abstract),254933291,320,34,,
10.1016/j.jss.2013.01.013,Towards innovation measurement in the software industry,"Henry Edison, Nauman Bin Ali, Richard Torkar",Journal of Systems and Software,2013,(missing abstract),51055738,310,239,,
