DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Black-Box Testing for Practitioners: A Case of the New ISTQB Test Analyst Syllabus,"Matthias Hamburg, Adam Roman",International Conference on Information Control Systems & Technologies,2025,"The International Software Testing Qualifications Board (ISTQB) is a volunteer organization aiming to qualify software testing and quality assurance practitioners. It issues a certification scheme with many certification products for this subject matter. These products are based on the current state of practice and consist of a syllabus and a set of sample exam questions. They can also serve as a basis for academic courses in software testing. We recently revised and updated the Advanced Level Test Analyst Syllabus, which focuses on black-box test techniques. In this paper, we share our experience in developing the new syllabus. We describe the methodology for shaping the syllabus's content and selecting black-box techniques. We also show how the ISTQB framework is designed to fill the gap left by academic programs regarding black-box techniques by providing structured syllabi with clear learning objectives and business outcomes that align with industry demands.",287270833,0,88,(missing PubMedId)
(missing DOI),Applying empirical software engineering to software architecture: challenges and lessons learned,"D. Falessi, M. Babar, G. Cantone, Philippe B Kruchten",Empirical Software Engineering,2010,(missing abstract),280683443,69,131,(missing PubMedId)
(missing DOI),Scoping Software Process Models - Initial Concepts and Experience from Defining Space Standards,"O. Armbrust, M. Katahira, Yuko Miyamoto, Jürgen Münch, H. Nakao, A. Ocampo",International Conference on the Software Process,2008,(missing abstract),280398755,38,21,(missing PubMedId)
(missing DOI),Complementary test selection criteria for model-based testing of security components,"Julien Botella, Jean-Francois Capuron, Frédéric Dadeau, Elizabeta Fourneret, B. Legeard, Florence Schadle",International Journal on Software Tools for Technology Transfer (STTT),2018,(missing abstract),280395414,3,58,(missing PubMedId)
(missing DOI),Software Testing Technique Selection using the GRA MCDM Method,"Narendra Mohan, Ashish Sharma, Santosh Gore, Swati Sharma, Varsharani D Shelkande, Shubhangi Ravindra Shelar","2024 8th International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)",2024,"Software testing methodologies are crucial for threat validation to applications for efficiency and capabilities from functional and non-functional features. Recent research therefore has highlighted the need to adopt proper testing techniques that can give maximum returns. Such strategies as dynamic testing, structural analysis, and event-driven testing can be named. Top-down, bottom-up, sandwich, high-frequency testing and GRA (Gray Relational Analysis) incremental integration methods are employed to assess parameters such as time to detect errors and the easiness of correcting the errors. In this paper, consideration will be given to the incorporation of different testing methodologies for enhancing software quality. In line with the method mentioned above called GRA, the study examines test events, end users’ perceptions, and error indicators. When comparing and contrasting the two, results reveal that integration testing based on the bottom-up approach is more effective than that based on high-frequency testing. From this analysis, it is clear that the choice of testing methodologies has to be done side by side with software requirements to improve error identification and elimination.",280366928,2,25,(missing PubMedId)
(missing DOI),On (Mis)perceptions of testing effectiveness: an empirical study,"S. Vegas, Patricia Riofrío, E. Marcos, N. Juristo",Empirical Software Engineering,2020,(missing abstract),276258711,6,67,(missing PubMedId)
(missing DOI),Solid Waste Management from a systems perspective using GRA methodology,(missing authors),Journal on Applied and Chemical Physics,2024,"The waste management procedure involves collecting the rubbish from different sources and disposing of it. This process includes the collection, transport, cleaning, analysis, final disposal of waste. This circumstance inspired Hand in Hand India (Hang India), a griddle non-profit organization that supports sustainable development, to work with the inhabitants of Karakul to change mindsets and behavior in their approach to trash management. The necessary infrastructure is lacking in small cities like Karakul to treat its solid waste. It resulted in a significant environmental problem and a lack of understanding among locals, according to Achieved Shekharan from HIHI. By assessing how closely each option resembles the ideal answer, grey relation analysis provides a potent instrument that may environments. A complex decision-making process, design idea evaluation involves a number of elements, including design requirements and limitations including client needs, product prices, and development time. Sanitary landfill (%), Incineration (%), and Open dumps (%), Others (%).Africa, Asia, Europe, North America, Latin America. from the result it is seen that Latin America and is got the first rank whereas is the Asia got is having the lowest rank. The value of the dataset for Sentiment analysis technique in GRA (Gray-related analysis)method shows that it results in Latin America and top ranking.",268144648,3,43,(missing PubMedId)
(missing DOI),Technological aspect factors of E-learning readiness in higher education institutions: Delphi technique,"Asma Ali Mosa Al-araibi, Mohd. Naz'ri bin Mahrin, R. Yusoff",Education and Information Technologies : Official Journal of the IFIP technical committee on Education,2018,"E-learning is an educational method which aims to provide educational or training programs for students or trainees at any time and at any place using information and communication technology (ICT). Increasing numbers of higher education institutions have adopted e-learning in order to take advantage of the opportunities that it offers. Through e-learning, learners can access resources and information from anywhere and at any time. However, the successful implementation of e-learning relies on the readiness to be able to initiate this system because, without proper readiness, the project will probably fail. E-learning readiness refers to the assessment of how ready an institution is to adopt and implement e-learning. E-learning readiness helps higher education institutions to measure their stages of readiness, identify any gaps, and then redesign its strategy in order to adopt the e-learning system. One of the most important aspects of e-learning readiness is the technological aspect, which plays an important role in implementing an effective and efficient e-learning system. There is a lack of agreement about the factors that shape the technological aspects of e-learning readiness; hence, a clear gap has been identified in the knowledge on the technological aspects of e-learning readiness. The aim of this paper is to review the technological factors of e-learning readiness by performing the Delphi technique, and develop an initial model for technological aspects of e-learning readiness in higher education institutions. It is anticipated that this model can help institutions of higher education to identify and understand the technological aspects that must be considered when assessing the readiness to apply an e-learning project.",261443839,137,50,(missing PubMedId)
(missing DOI),Unit Testing Tool Competition -- Round Three,"U. Rueda, T. Vos, I. Prasetya",2015 IEEE/ACM 8th International Workshop on Search-Based Software Testing,2015,"This paper describes the third round of the Java Unit Testing Tool Competition. This edition of the contest evaluates no less than seven automated testing tools! And, like during the second round, test suites written by human testers are also used for comparison. This paper contains the full results of the evaluation.",261043643,31,14,(missing PubMedId)
(missing DOI),A Recommender System for Recovering Relevant JavaScript Packages from Web Repositories,"H. Vázquez, J. A. D. Pace, S. Vidal, C. Marcos",International Conference on Software Architecture,2023,"When developing JavaScript (JS) applications, the assessment of JS packages has become a difficult and time-consuming task for developers, due to the growing number of technology options available. Given a technology need, a common developers’ strategy is to browse software repositories via search engines (e.g., NPM, Google) and identify candidate JS packages. However, these engines might return a long list of results, which often causes information overloading issues in the developer. Furthermore, the results should be ranked according to the developer’s criteria, but weighting the available criteria to choose a JS package is not straightforward. To address these problems, we propose a two-phase recommender system for assisting developers in retrieving and ranking JS packages in a semi-automated fashion. The first phase uses a meta-search technique for collecting JS packages that meet the developer’s needs. Based on criteria used by other projects on the Web, the second phase applies a machine learning technique to infer a ranking of relevant packages for the output of the first phase. We performed an initial evaluation of our approach with the NPM package repository and obtained satisfactory results in terms of both the accuracy of the retrieved packages and the quality of the ranking for the developers.",257996497,5,64,(missing PubMedId)
