DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),When practice and research meet: demonstration of a practice research methodology in co-producing an assessment tool,"Ebenezer Cudjoe, Kwabena Frimpong-Manso, Alhassan Abdullah, Abena Dufie Akonu-Atta, Yvonne Appiah",International Journal of Social Research Methodology,2026,(missing abstract),300507009,0,29,(missing PubMedId)
(missing DOI),Unpacking data democratization - how communities of practice help organizations develop and scale their data practices,"Hippolyte Lefebvre, Christine Legner",European Journal of Information Systems,2026,(missing abstract),299910967,0,66,(missing PubMedId)
(missing DOI),Developing a Digital Construction Supply Chain Payment Management System- An Action Design Research,"Alan J. McNamara, Samad M. E. Sepasgozar",SSRN Electronic Journal,2025,(missing abstract),299889276,0,20,(missing PubMedId)
(missing DOI),The Human-GenAI Value Loop in Human-Centered Innovation: Beyond the Magical Narrative,"Camille Grange, Théophile Demazure, Mickael Ringeval, Simon Bourdeau",Information Systems Journal,2024,"Organisations across various industries are still exploring the potential of Generative Artificial Intelligence (GenAI) to automate a variety of knowledge work processes, including managing innovation. While innovation is often viewed as a product of individual creativity, it more commonly unfolds through a collaborative process where creativity intertwines with knowledge. However, the extent and effectiveness of GenAI in supporting this process remain open questions. Our study investigates this issue using a collaborative practice research approach focused on three GenAI‐enabled innovation projects conducted within different organisations. We explored how, why, and when GenAI could effectively be integrated into design sprints—a highly structured, collaborative process enabling human‐centred innovation. Our research identified challenges and opportunities in synchronising AI capabilities with human intelligence and creativity. To translate these insights into practical strategies, we propose four recommendations for organisations eager to leverage GenAI to both streamline and bring more value to their innovation processes: (1) establish a collaborative intelligence value loop with GenAI; (2) build trust in GenAI; (3) develop robust data collection and curation workflows; and (4) embrace a craftsman's discipline.",287801613,15,116,(missing PubMedId)
(missing DOI),The Human‐<scp>GenAI</scp> Value Loop in Human‐Centered Innovation: Beyond the Magical Narrative,"Camille Grange, Théophile Demazure, Mickaël Ringeval, Simon Bourdeau, Cédric Martineau",Information Systems Journal,2025,"ABSTRACT Organisations across various industries are still exploring the potential of Generative Artificial Intelligence (GenAI) to automate a variety of knowledge work processes, including managing innovation. While innovation is often viewed as a product of individual creativity, it more commonly unfolds through a collaborative process where creativity intertwines with knowledge. However, the extent and effectiveness of GenAI in supporting this process remain open questions. Our study investigates this issue using a collaborative practice research approach focused on three GenAI‐enabled innovation projects conducted within different organisations. We explored how, why, and when GenAI could effectively be integrated into design sprints—a highly structured, collaborative process enabling human‐centred innovation. Our research identified challenges and opportunities in synchronising AI capabilities with human intelligence and creativity. To translate these insights into practical strategies, we propose four recommendations for organisations eager to leverage GenAI to both streamline and bring more value to their innovation processes: (1) establish a collaborative intelligence value loop with GenAI; (2) build trust in GenAI; (3) develop robust data collection and curation workflows; and (4) embrace a craftsman's discipline.",287559426,2,85,(missing PubMedId)
(missing DOI),AI-Enabled Predictive Analytics in Smart Grids: The Case of Sweden,"Theodore Kindong, Björn Johansson, Victoria Paulsson",Complex Systems Informatics and Modeling Quarterly,2025,"Smart grids (SGs) revolutionize existing power grids by using a wide range of developing disruptive technologies to generate clean, efficient, and predictable energy. Our study uses an action research method and focuses solely on the first two stages of the action research process, diagnosis and action planning, to evaluate ways to adopt artificial intelligence (AI) applications in SGs for predictive analytics in practice. The diagnosis stage of the study entails conducting a systematic literature review on AI applications in SGs, highlighting four areas of potential for predictive analytics: power outage prediction, demand response, control and coordination, and AI-enabled security to optimize decision-making, diagnose faults, and improve grid stability and security. The action planning step included a document analysis to devise methods to enable the practical implementation of AI in smart grids for predictive analytics. Finally, we address practical ways for implementing transparent AI for predictive analytics, followed by a conclusion and future research direction. The study’s key conclusion is that more research is needed to complete the action taking (implementing the solution), evaluation (assessing the results), and learning (reflecting on lessons learned) phases of the action research cycle.",286647520,0,71,(missing PubMedId)
(missing DOI),Action Research with Industrial Software Engineering: An Educational Perspective,"Yvonne Dittrich, Johan Bolmsten, Cathrine Seidelin",(missing journal),2023,(missing abstract),282779522,0,41,(missing PubMedId)
(missing DOI),Inovação aberta e estratégia aberta sob a perspectiva da estratégia como prática: um ensaio teórico,"Maria Luciana Trigos, Rosália Aldraci Barbosa Lavarda",Revista Eletrônica de Ciência Administrativa,2024,"A Open Strategy (OS) emerge como um fenômeno que tem permitido à organização se adequar ao conceito que incorpora práticas de Open Innovation (OI) com foco em maior transparência e inclusão nos processos de formação da estratégia. Ainda, há, cada vez mais, interesse em estudar a Strategy as Practice (SAP), isto é, os microprocessos e práticas, que geram resultados estratégicos significativos. Apesar do crescimento das pesquisas sobre OI, OS e SAP, notamos que a teoria ainda é fragmentada e existem lacunas, principalmente tratando-se de uma abordagem conjunta e interconectada dessas temáticas. Por conseguinte, o objetivo deste estudo foi compreender como se relacionam os conceitos Open Inovation (OI) e Open Strategy (OS) a partir da perspectiva de Strategy as Practice (SAP). Assim, realizamos um ensaio teórico a partir de artigos relevantes sobre os referidos temas. Os principais resultados apontam que as práticas de OI podem contribuir para a abertura da estratégia sob a perspectiva das microações executadas pelos participantes intra e extraorganizacionais. Ressaltamos a importância de continuarem os estudos sobre a transferência de conhecimentos e tecnologias externas que podem ser inseridas no processo e práticas da estratégia, pois as interações entre os atores agregados extraorganizacionais e as micro e macropráticas foram amplamente negligenciadas nas pesquisas em estratégia, o que leva a pensar que existem oportunidades para novos estudos.",281479648,0,77,(missing PubMedId)
(missing DOI),Social networks in software process improvement,"Peter Axel Nielsen, Gitte Tjørnehøj",Journal of Software Maintenance and Evolution Research and Practice,2009,"Abstract Software process improvement in small organisation is often problematic and communication and knowledge sharing is more informal. To improve software processes we need to understand how they communicate and share knowledge. In this article have studied the company SmallSoft through action research. In the action research we have applied the framework of social network analysis and we show this can be used to understand the underlying structures of communication and knowledge sharing between software developers and managers. We show in detail how the analysis can be done and how the management can utilise the findings. From this we conclude that social network analysis was a useful framework together with accompanying tools and techniques. Copyright © 2009 John Wiley &amp; Sons, Ltd.",280720602,0,26,(missing PubMedId)
(missing DOI),Assessing the effects of introducing a new software development process: a methodological description,"A. Nilsson, Laura M. Castro, Samuel Rivas, T. Arts",International Journal on Software Tools for Technology Transfer (STTT),2013,(missing abstract),280694103,21,67,(missing PubMedId)
