Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Katia Romero; Vijaykumar, Nandamudi L; ",Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,Proceedings of the XXIII Brazilian Symposium on Software Quality,,,125-135,2024,
"dos Santos, Juliana Oliveira; dos Reis Martins, Guilherme Augusto; de Souza, Erica Ferreira; Felizardo, Katia Romero; Meinerz, Giovani Volnei; ",Perceptions of knowledge management in Brazilian software development companies,Congresso Ibero-Americano em Engenharia de Software (CIbSE),,,233-247,2022,SBC
"Saarikallio, Matti; Tyrväinen, Pasi; ",Quality culture boosts agile transformation—Action research in a business‐to‐business software business,Journal of Software: Evolution and Process,35,1,e2504,2023,Wiley Online Library
"Erhan, Trihadi Pudiawan; Japutra, Arnold; Van Doorn, Sebastiaan; ",Digital product development team external knowledge processes and ambidexterity: a multi-mediation analysis of the absorptive capacity framework,Journal of Knowledge Management,28,9,2610-2634,2024,Emerald Publishing Limited
"Kudyba, Stephan; D Cruz, Agnel; ",Understanding project success involving analytic-based decision support in the digital era: a focus on IC and agile project management,Journal of Intellectual Capital,24,6,1429-1446,2023,Emerald Publishing Limited
"Restrepo-Tamayo, Luz Marcela; Gasca-Hurtado, Gloria Piedad; ",Human aspects in software development: A systematic mapping study,International Conference on Collaboration Technologies and Social Computing,,,1-22,2022,Springer
"Haris, Abdul; Nasri, Ulyan; ",Studi etnografi tentang pendidikan nilai dalam adat pasaji ponan di Sumbawa,Jurnal Ilmiah Profesi Pendidikan,8,2,1278-1285,2023,
"Hustad, Eli; Nakayama, Makoto; Sutcliffe, Norma; Beckfield, Merri; ",Knowledge mobilization in agile information systems projects: A literature analysis,European Conference on Knowledge Management,23,1,533-541,2022,
"Brasen, Lucas Peter Høj; Tambo, Torben; ",Agile and asset management: Efficiency in decision-making for operational life-cycle projects in transmission system operators,Energy Research & Social Science,129,,104383,2025,Elsevier
"Souza, Luana; Brito, Tiago; Lucena, Marcia; Gomes, Apuena; ",Desenvolvimento Ágil e Documentação de Requisitos Rumo a Práticas Mais Efetivas: Uma Revisão Sistemática,Workshop on Requirements Engineering (WER),,,,2024,
"Costa, Ana Claudia MP; Fantini, Julia Beiroco O; de Souza, Érica Ferreira; BragaeSilva, Glaucia; Rebelo, Luciana; Felizardo, Katia Romero; Meinerz, Giovani Volnei; ",Impact of Generative Artificial Intelligence on Knowledge Management in Software Engineering: A Systematic Mapping Study,Simpósio Brasileiro de Qualidade de Software (SBQS),,,55-66,2025,SBC
"Straccia, Luciano; Pollo-Cattaneo, María F; ","Knowledge Management: Innovation, Technology and Ontologies",,,,,2024,
"de Souza, Érica Ferreira; de Almeida Falbo, Ricardo; Vijaykumar, Nandamudi L; Felizardo, Katia R; Meinerz, Giovani V; Specimille, Marcos S; Coelho, Alexandre GN; ",Development of an Ontology-based Approach for Knowledge Management in Software Testing: an Experience Report,Journal of Software Engineering Research and Development,9,,12: 1-12: 21,2021,
"Brasen, Lucas Peter Høj; Tambo, Torben; BTECH, Aarhus BSS; ","The role of Knowledge, Control, and work Processes Within Agility","Proceedings of the 17th European Conference on Management, Leadership and Governance, ECMLG 2021",,,83-89,2021,Academic Conferences and Publishing International Limited
"Dobrica, Liliana; ",Ontology-Based Tools For Architecture Analysis Of Cyber-Physical Systems,Management Research and Practice,15,3,22-30,2023,Academia de Studii Economice-Centrul de Cercetare in Administratie si …
"Erhan, Trihadi; ","Absorptive capacity, a reconceptualized view of knowledge processes in new digital product development",,,,,2025,
"VILLELA, THIAGO PREVIATELLO; ZAIDAN, FERNANDO HADAD; BRAGA, JOSÉ LUIS; LARA, JOSÉ EDSON; ",GESTÃO DO CONHECIMENTO EM PROJETOS DE DESENVOLVIMENTO DE SOFTWARE GERENCIADOS POR MEIO DE MÉTODOS ÁGEIS E EXECUTADOS POR EQUIPES DISTRIBUÍDAS: REVISÃO SISTEMÁTICA DA LITERATURA,,,,,,
"Albarran Salazar, Harvy Jefferson; Delgado Farro, Javier Manuel; ",Implementación del modelo CALMS de DevOps para la optimización del proceso de desarrollo de software: caso de estudio empresa Ayarcode,,,,,2024,Universidad Señor de Sipán
"Oropallo, Eugenio; ",La gestione della conoscenza nell'era della transizione digitale.,,,,,2023,Università degli studi di Bergamo
"Друкаренко, Інна Ярославівна; ",Удосконалення тайм-менеджменту підприємства,,,,,2022,
"Ятченко, Павло Євгенович; ",Інформаційно-інноваційні підходи до управління продуктивністю праці підприємства,,,,,2021,
