"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"66WG5EVI","journalArticle","2024","Souza, Wesley; Silva, Williamson; Guedes, Gilleanes Thorwald Araujo","Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension","Proceedings of the 20th Brazilian Symposium on Information Systems","","","","https://api.semanticscholar.org/CorpusID:269987672","","2024","2026-01-23 03:00:45","2026-01-23 03:00:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCG645A6","journalArticle","2020","","Improving organizational learning some key development factors","Continuity & Resilience Review","","","","https://api.semanticscholar.org/CorpusID:242580542","","2020","2026-01-23 03:00:45","2026-01-23 03:00:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZRAVTMW","journalArticle","2024","Pratiwi, Maharani Eka; Ramadhan, Yudistira; Sensuse, Dana Indra; Lusa, Sofian; Safitri, Nadya; Elisabeth, Damayanti","Knowledge Capture in Agile Organizations: Methods and Strategies for Enhancing Effective and Efficient Process","International Journal of Artificial Intelligence Research","","","","https://api.semanticscholar.org/CorpusID:270816824","","2024","2026-01-23 03:00:45","2026-01-23 03:00:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGSQBP32","journalArticle","2023","Annan-Prah, Elizabeth Cornelia; Baffoe, Florence; Andoh, Raphael Papa Kweku","People aspect of learning organisation and performance of administrative staff in a public university context","The Learning Organization","","","","https://api.semanticscholar.org/CorpusID:258813553","","2023","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HM7L6VCF","journalArticle","2021","Manko, Barbara A.","The adaptability of Monday.com’s app-based software: Discover the company building a flexible business model that adapts to individual company needs","Journal of Information Technology Teaching Cases","","","","https://api.semanticscholar.org/CorpusID:239627329","","2021","2026-01-23 03:00:46","2026-01-23 03:00:46","","156 - 162","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AAY2BU98","conferencePaper","2022","Evenseth, Lise Lotte; Sydnes, Maria; Gausdal, Anne Haugen","Building Organizational Resilience Through Organizational Learning: A Systematic Review","Frontiers in Communication","","","","https://api.semanticscholar.org/CorpusID:247085630","","2022","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTMDWM7D","journalArticle","2024","Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Kátia Romero; Vijaykumar, Nandamudi Lankalapalli","Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Proceedings of the XXIII Brazilian Symposium on Software Quality","","","","https://api.semanticscholar.org/CorpusID:274967657","","2024","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JD6XHZZC","journalArticle","2020","Field, Laurie","Using fieldwork to deepen understanding of organizational learning and/or the learning organization","The Learning Organization","","","","https://api.semanticscholar.org/CorpusID:213740222","","2020","2026-01-23 03:00:46","2026-01-23 03:00:46","","211-222","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGG7FINX","journalArticle","2017","Lenberg, Per; Feldt, Robert; Gren, Lucas; Tengberg, Lars Göran Wallgren; Tidefors, Inga; Graziotin, Daniel","Qualitative software engineering research: Reflections and guidelines","Journal of Software: Evolution and Process","","","","https://api.semanticscholar.org/CorpusID:220249891","","2017","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XH7GE4GQ","conferencePaper","2019","","Making a difference through organizational learning Organizational learning: an ongoing journey Organizational learning theory","","","","","https://api.semanticscholar.org/CorpusID:212630663","","2019","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8JDC9LJB","journalArticle","2023","P, Arunprasad; Dey, Chitra; Santhanam, Nivethitha; Ahmad, Kamarul Zaman Bin","Strategic HRM practices, learning orientation and learning competence: study from retail industry","The Learning Organization","","","","https://api.semanticscholar.org/CorpusID:258471606","","2023","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSDFICS3","journalArticle","2024","Ali, Rozaina; Latiff, Ahmad Shaharudin Abdul; Wahab, Sazali Abdul","Exploring the Black Box of Knowledge Capture in Public Complaint Management","Malaysian Journal of Social Sciences and Humanities (MJSSH)","","","","https://api.semanticscholar.org/CorpusID:273034389","","2024","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4RG35V2Q","journalArticle","2019","Poole, Cynthia Denise McGowan","IT outsourcing, knowledge transfer and project transition phases","VINE Journal of Information and Knowledge Management Systems","","","","https://api.semanticscholar.org/CorpusID:213464928","","2019","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"972Y5IS4","journalArticle","2022","Yang, Qiongqiong; Zhou, Wei","English Online Learning Platform Based on Mobile Android App","2022 Second International Conference on Advanced Technologies in Intelligent Control, Environment, Computing & Communication Engineering (ICATIECE)","","","","https://api.semanticscholar.org/CorpusID:257157552","","2022","2026-01-23 03:00:46","2026-01-23 03:00:46","","1-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYEEV7D2","journalArticle","2025","Abdulkadir, Hajara; Alhaji, Bello Aminu; Buhari; Umar, Abdulrahman","Investigating the Level of Experience in Using More Effective Software Design Tools for Enhancing Security among Federal College of Education, Gidan Madi Staff and Students","Journal of Computers and Digital Business","","","","https://api.semanticscholar.org/CorpusID:276063291","","2025","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7KSCWSP","journalArticle","2019","Reese, Simon","The practitioner’s part in making a difference through organizational learning","The Learning Organization","","","","https://api.semanticscholar.org/CorpusID:149865210","","2019","2026-01-23 03:00:46","2026-01-23 03:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2N69XYY","journalArticle","2019","LouisG.Michael, I. V.; Donohue, James; Davis, James C.; Lee, Dongyoon; Servant, Francisco","Regexes are Hard: Decision-Making, Difficulties, and Risks in Programming Regular Expressions","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","","","https://api.semanticscholar.org/CorpusID:201628664","","2019","2026-01-23 03:00:46","2026-01-23 03:00:46","","415-426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
