Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"TIETZ‐SOKOLSKAYA, NICOLE; Walsh, Suzanne; ",Foundations of Practice: An Ethnographic Exploration of Software Documentation and its Cultural Implications for an Agile Startup,Ethnographic Praxis in Industry Conference Proceedings,2024,1,378-396,2024,Wiley Online Library
"Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Katia Romero; Vijaykumar, Nandamudi L; ",Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,Proceedings of the XXIII Brazilian Symposium on Software Quality,,,125-135,2024,
"Souza, Wesley; Silva, Williamson; Guedes, Gilleanes Thorwald Araujo; ",Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension,Proceedings of the 20th Brazilian Symposium on Information Systems,,,1-10,2024,
"Souza, Wesley S; Silva, Williamson; Guedes, Gilleanes TA; ",Knowledge Management Diagnosis in Software Organizations,,,,,2024,
"Kishore, Kamal; Khare, Shanu; Uniyal, Vaibhav; Verma, Sahil; ",Performance and stability comparison of react and flutter: Cross-platform application development,2022 international conference on cyber resilience (ICCR),,,1-4,2022,IEEE
"Qadri, Usman Ahmad; Ghani, Mazuri Binti abd; Bibi, Shumaila; Tahir, Abdul Haseeb; Farooq, Muhammad Imran; Kashif, Abdul Rauf; ","The learning effect on organizational performance during a crisis: a serial mediation analysis with knowledge creation, storage and sharing",European Journal of Management and Business Economics,33,1,37-53,2024,Emerald Publishing Limited
"Elhassan, Hatim; Abaker, Mohammed; Abdelmaboud, Abdelzahir; Rehman, Mohammed Burhanur; ",Requirements Engineering: Conflict Detection Automation Using Machine Learning.,Intelligent Automation & Soft Computing,33,1,,2022,
"Kamal, Alya Hannah Ahmad; Yen, Caryn Chuah Yi; Hui, Gan Jia; Ling, Pang Sze; ","Risk assessment, threat modeling and security testing in SDLC",arXiv preprint arXiv:2012.07226,,,,2020,
"Ashraf, Humaira Z; ",Security Concerns: Machine Learning Approaches in the Modern Era and Web Engineering,Generative AI for Web Engineering Models,,,241-268,2025,IGI Global
"Hamid, Muneeb Ali; Hafeez, Yaser; Hamid, Bushra; Humayun, Mamoona; Jhanjhi, Noor Zaman; ",Towards an effective approach for architectural knowledge management considering global software development,International Journal of Grid and Utility Computing,11,6,780-791,2020,Inderscience Publishers (IEL)
"Tietz, Stephanie; Werner, Katja; ",Influencing factors on knowledge sharing in virtual teams,Work,72,4,1745-1763,2022,"SAGE Publications Sage UK: London, England"
"Kiani, Azaz Ahmed; Hafeez, Yaser; Hashmi, Amber Sarwar; Iqbal, Javed; ",Towards variability process model for agile product line configuration engineering,Innovations in Systems and Software Engineering,,,1-28,2025,Springer
"Khan, Qaiser Sarwar; Adnan, Adil Adnan; Jan, Muhammad Farooq; Jamal, Waseef; ",The Effect of Explicit Knowledge Sharing on Human Resource Performance Efficiency: Moderating Role of Human Capacity Development.,Abasyn University Journal of Social Sciences,13,2,,2020,
"dos Santos, Julio Cesar; Coelho, Vicente Pinto Alves; Fonseca, Felipe Mello; Mendonça, Diogo Silveira; ",Implementing a simplified risk management approach in agile software development: an experience report,Proceedings of the XXII Brazilian Symposium on Software Quality,,,254-263,2023,
"Kaur, Simranjeet; Yadav, Anup Lal; Joshi, Abhishek; ",Real time object detection,2022 International Conference on Cyber Resilience (ICCR),,,1-5,2022,IEEE
"Suparman, Nanang; ",Bureaucratic Corruptive Behavior: Causes And Motivation of State Civil Aparatures in Indonesia,International Journal of Psychosocial Rehabilitation,24,2,5290-5303,2020,Hampstead Psychological Associates
"Mahi Gayathri, Y; Rekha, KS; ",Comparative analysis of identity-based-broadcast encryption with attribute-based encryption for reduced storage cost of multi users in a public cloud,AIP Conference Proceedings,2729,1,030001,2024,AIP Publishing LLC
"Fernando, Ricky; Sama, Hendi; ",Information Technology Management System of Sharing Knowledge Between Universities Using Systematic Literature Review,Jurnal Teknologi Dan Sistem Informasi Bisnis,7,1,82-90,2025,
"Argôlo, Matheus; Barbosa, Carlos Eduardo; Nóbrega, Lucas; Martinez, Luiz Felipe; Oliveira, Yuri; de Souza, Jano; ",Challenges and Practices for Knowledge Transfer in Global Software Development: An Updated Literature Review,European Conference on Knowledge Management,1,,87-96,2025,Academic Conferences International Limited
"Thakkar, Aditya; Dash, Sonali; Joshi, Sanjeev Kumar; ",Sorting Algorithm visualizer,2022 International Conference on Cyber Resilience (ICCR),,,1-5,2022,IEEE
"Adel, Rehab; Harb, Hany; Elshenawy, Ayman; ",A risk management framework for large scale scrum using metadata outer request management methodology,International Journal of Advanced Computer Science and Applications,13,3,,2022,Science and Information (SAI) Organization Limited
"Singh, Gurpartap; Yadav, Anup Lal; Sehgal, Satbir S; ",JavaScript Quiz Game,2022 International Conference on Cyber Resilience (ICCR),,,1-5,2022,IEEE
"Nadim, Muhammad; Latif, Rana M Amir; Hussain, Khalid; Jhanjhi, NZ; Masud, Mehedi; Alyahyan, Saleh Yahya; Habeeb, Riyaz Ahamed Ariyaluran; ",Towards requirements elicitation and analysis model for distributed audience,Turkish Online Journal of Qualitative Inquiry,12,5,,2021,
"Kannisto, Minerva; ",Understanding barriers and enablers of inter-team knowledge sharing: A case study in a non-profit IT organisation,,,,,2025,
"Enabudoso, Patrick Oaiye; ",Organization Global Software Development Challenges of Software Product Quality,,,,,2020,Walden University
"Praditha, Villy Satria; Lubis, Muharman; ",A theoretical literature review on knowledge management framework,AIP Conference Proceedings,2987,1,020032,2024,AIP Publishing LLC
"Roshaidie, Muhammad Danish; Liang, William Pang Han; Jun, Calvin Goh Kai; Yew, Kok Hong; ",Importance of secure software development processes and tools for developers,arXiv preprint arXiv:2012.15153,,,,2020,
"Amunkete, Katazo Natasha; Seymour, Lisa F; ",Socio-Technical Challenges Inhibiting Effective Knowledge Sharing Among ICT Workers in Under-Resourced E-Government Project Teams,,,,,2024,
"Chugh, Mitali; ",Knowledge Sharing in Software Development: A Conceptual Framework.,Grenze International Journal of Engineering & Technology (GIJET),10,,,2024,
"Ahmed, Md Meraj; Kaur, Navneet; Gairola, Shikha Uniyal; ",Hospital Management System Based on IoT,2022 International Conference on Cyber Resilience (ICCR),,,1-5,2022,IEEE
"Kaur, Damandeep; Sehgal, Satbir S; ",Agile Lifestyle of Development,2022 International Conference on Cyber Resilience (ICCR),,,1-5,2022,IEEE
"Khan, Muhammad Younas; Faiz, Shazia; ",Abasyn Journal of Social Sciences,Performance Evaluation,16,1,,2023,
"Satria, Villy; Lubis, Muharman; ",A Theoretical Literature Review on Knowledge Management Framework,,,,,,
"Saeed, Soobia; Jhanjhi, NZ; Naqvi, Memood; ",Globally Renewable Energy Consumption Sources,Role of IoT in Green Energy Systems,,,319-355,2021,IGI Global
"Ullah, Rehmat Ali; ",Analyzing the Relationship between Explicit Knowledge Sharing and Human Resource Performance Efficiency: Evaluating the Moderating Role of Trust,,,,,,
"Weixiong, Yong; Dozono, Kohei; Lee, Robin; Seng, Alvin Kon Soon; tuz Zahra, Fatima; ",Securing Software Systems-A Survey,Authorea Preprints,,,,2023,Authorea
"Ahmad, Adnan; Bilal, Pir; Khan, Ihtesham; ",Abasyn Journal of Social Sciences,,,,,,
"Weihs, Philipp; ",Möglichkeiten und Grenzen von Werkzeugen zur digitalen Wissensspeicherung und-bereitstellung für Dokumentationen und Self-Service Prozesse in der Softwareentwicklung bei steigendem Teleworking,,,,,2021,FH CAMPUS 02 (CAMPUS 02 Fachhochschule der Wirtschaft)
